네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패딩우주복"
"2017-08-01",1
"2017-08-02",2
"2017-08-03",1
"2017-08-04",1
"2017-08-05",2
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",2
"2017-08-10",3
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",3
"2017-08-15",2
"2017-08-16",2
"2017-08-17",3
"2017-08-18",2
"2017-08-19",3
"2017-08-20",3
"2017-08-21",5
"2017-08-22",3
"2017-08-23",3
"2017-08-24",3
"2017-08-25",3
"2017-08-26",3
"2017-08-27",3
"2017-08-28",4
"2017-08-29",5
"2017-08-30",6
"2017-08-31",6
"2017-09-01",4
"2017-09-02",5
"2017-09-03",8
"2017-09-04",7
"2017-09-05",7
"2017-09-06",8
"2017-09-07",6
"2017-09-08",6
"2017-09-09",3
"2017-09-10",6
"2017-09-11",6
"2017-09-12",7
"2017-09-13",7
"2017-09-14",7
"2017-09-15",8
"2017-09-16",8
"2017-09-17",9
"2017-09-18",6
"2017-09-19",9
"2017-09-20",10
"2017-09-21",10
"2017-09-22",8
"2017-09-23",8
"2017-09-24",9
"2017-09-25",9
"2017-09-26",12
"2017-09-27",14
"2017-09-28",10
"2017-09-29",13
"2017-09-30",16
"2017-10-01",17
"2017-10-02",12
"2017-10-03",15
"2017-10-04",13
"2017-10-05",17
"2017-10-06",23
"2017-10-07",25
"2017-10-08",18
"2017-10-09",16
"2017-10-10",18
"2017-10-11",19
"2017-10-12",43
"2017-10-13",40
"2017-10-14",36
"2017-10-15",38
"2017-10-16",34
"2017-10-17",38
"2017-10-18",42
"2017-10-19",30
"2017-10-20",23
"2017-10-21",28
"2017-10-22",27
"2017-10-23",36
"2017-10-24",38
"2017-10-25",39
"2017-10-26",34
"2017-10-27",28
"2017-10-28",26
"2017-10-29",43
"2017-10-30",72
"2017-10-31",72
"2017-11-01",54
"2017-11-02",39
"2017-11-03",40
"2017-11-04",45
"2017-11-05",54
"2017-11-06",50
"2017-11-07",47
"2017-11-08",55
"2017-11-09",44
"2017-11-10",32
"2017-11-11",43
"2017-11-12",50
"2017-11-13",71
"2017-11-14",66
"2017-11-15",67
"2017-11-16",63
"2017-11-17",66
"2017-11-18",57
"2017-11-19",69
"2017-11-20",100
"2017-11-21",89
"2017-11-22",69
"2017-11-23",61
"2017-11-24",55
"2017-11-25",40
"2017-11-26",43
"2017-11-27",49
"2017-11-28",42
"2017-11-29",44
"2017-11-30",40
"2017-12-01",42
"2017-12-02",40
"2017-12-03",36
"2017-12-04",47
"2017-12-05",53
"2017-12-06",40
"2017-12-07",32
"2017-12-08",34
"2017-12-09",26
"2017-12-10",43
"2017-12-11",53
"2017-12-12",53
"2017-12-13",44
"2017-12-14",39
"2017-12-15",28
"2017-12-16",30
"2017-12-17",29
"2017-12-18",35
"2017-12-19",32
"2017-12-20",32
"2017-12-21",22
"2017-12-22",20
"2017-12-23",14
"2017-12-24",10
"2017-12-25",13
"2017-12-26",20
"2017-12-27",19
"2017-12-28",18
"2017-12-29",19
"2017-12-30",12
"2017-12-31",13
"2018-01-01",11
"2018-01-02",15
"2018-01-03",17
"2018-01-04",18
"2018-01-05",16
"2018-01-06",14
"2018-01-07",15
"2018-01-08",17
"2018-01-09",24
"2018-01-10",27
"2018-01-11",19
"2018-01-12",18
"2018-01-13",20
"2018-01-14",18
"2018-01-15",11
"2018-01-16",13
"2018-01-17",10
"2018-01-18",6
"2018-01-19",7
"2018-01-20",6
"2018-01-21",6
"2018-01-22",8
"2018-01-23",11
"2018-01-24",13
"2018-01-25",10
"2018-01-26",9
"2018-01-27",9
"2018-01-28",13
"2018-01-29",16
"2018-01-30",15
"2018-01-31",10
"2018-02-01",15
"2018-02-02",4
"2018-02-03",11
"2018-02-04",9
"2018-02-05",11
"2018-02-06",15
"2018-02-07",11
"2018-02-08",11
"2018-02-09",5
"2018-02-10",6
"2018-02-11",6
"2018-02-12",3
"2018-02-13",5
"2018-02-14",2
"2018-02-15",2
"2018-02-16",2
"2018-02-17",3
"2018-02-18",4
"2018-02-19",5
"2018-02-20",3
"2018-02-21",3
"2018-02-22",2
"2018-02-23",2
"2018-02-24",2
"2018-02-25",2
"2018-02-26",2
"2018-02-27",2
"2018-02-28",3
"2018-03-01",1
"2018-03-02",1
"2018-03-03",2
"2018-03-04",1
"2018-03-05",
"2018-03-06",1
"2018-03-07",2
"2018-03-08",1
"2018-03-09",2
"2018-03-10",
"2018-03-11",1
"2018-03-12",2
"2018-03-13",1
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-17",
"2018-03-18",2
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",1
"2018-04-06",
"2018-04-07",1
"2018-04-08",
"2018-04-09",1
"2018-04-10",1
"2018-04-11",
"2018-04-13",1
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",1
