네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","더블하트젖꼭지"
"2017-08-01",53
"2017-08-02",53
"2017-08-03",47
"2017-08-04",47
"2017-08-05",34
"2017-08-06",51
"2017-08-07",60
"2017-08-08",46
"2017-08-09",52
"2017-08-10",49
"2017-08-11",39
"2017-08-12",36
"2017-08-13",36
"2017-08-14",51
"2017-08-15",51
"2017-08-16",51
"2017-08-17",53
"2017-08-18",40
"2017-08-19",40
"2017-08-20",51
"2017-08-21",59
"2017-08-22",60
"2017-08-23",58
"2017-08-24",50
"2017-08-25",48
"2017-08-26",33
"2017-08-27",43
"2017-08-28",44
"2017-08-29",51
"2017-08-30",52
"2017-08-31",46
"2017-09-01",45
"2017-09-02",36
"2017-09-03",43
"2017-09-04",52
"2017-09-05",49
"2017-09-06",54
"2017-09-07",43
"2017-09-08",38
"2017-09-09",33
"2017-09-10",44
"2017-09-11",51
"2017-09-12",45
"2017-09-13",56
"2017-09-14",44
"2017-09-15",41
"2017-09-16",36
"2017-09-17",42
"2017-09-18",59
"2017-09-19",52
"2017-09-20",44
"2017-09-21",41
"2017-09-22",38
"2017-09-23",44
"2017-09-24",52
"2017-09-25",70
"2017-09-26",74
"2017-09-27",67
"2017-09-28",51
"2017-09-29",30
"2017-09-30",20
"2017-10-01",30
"2017-10-02",30
"2017-10-03",30
"2017-10-04",28
"2017-10-05",41
"2017-10-06",55
"2017-10-07",43
"2017-10-08",69
"2017-10-09",87
"2017-10-10",93
"2017-10-11",86
"2017-10-12",73
"2017-10-13",60
"2017-10-14",39
"2017-10-15",63
"2017-10-16",76
"2017-10-17",58
"2017-10-18",60
"2017-10-19",56
"2017-10-20",53
"2017-10-21",39
"2017-10-22",58
"2017-10-23",82
"2017-10-24",71
"2017-10-25",75
"2017-10-26",74
"2017-10-27",63
"2017-10-28",46
"2017-10-29",57
"2017-10-30",77
"2017-10-31",63
"2017-11-01",65
"2017-11-02",64
"2017-11-03",59
"2017-11-04",54
"2017-11-05",61
"2017-11-06",69
"2017-11-07",68
"2017-11-08",67
"2017-11-09",63
"2017-11-10",55
"2017-11-11",44
"2017-11-12",65
"2017-11-13",77
"2017-11-14",67
"2017-11-15",74
"2017-11-16",60
"2017-11-17",52
"2017-11-18",45
"2017-11-19",63
"2017-11-20",78
"2017-11-21",61
"2017-11-22",74
"2017-11-23",59
"2017-11-24",58
"2017-11-25",44
"2017-11-26",50
"2017-11-27",96
"2017-11-28",99
"2017-11-29",88
"2017-11-30",99
"2017-12-01",82
"2017-12-02",62
"2017-12-03",89
"2017-12-04",99
"2017-12-05",98
"2017-12-06",84
"2017-12-07",83
"2017-12-08",82
"2017-12-09",57
"2017-12-10",84
"2017-12-11",100
"2017-12-12",82
"2017-12-13",70
"2017-12-14",73
"2017-12-15",50
"2017-12-16",38
"2017-12-17",54
"2017-12-18",72
"2017-12-19",59
"2017-12-20",62
"2017-12-21",51
"2017-12-22",51
"2017-12-23",33
"2017-12-24",41
"2017-12-25",43
"2017-12-26",79
"2017-12-27",61
"2017-12-28",60
"2017-12-29",49
"2017-12-30",36
"2017-12-31",35
"2018-01-01",60
"2018-01-02",69
"2018-01-03",70
"2018-01-04",62
"2018-01-05",51
"2018-01-06",39
"2018-01-07",53
"2018-01-08",73
"2018-01-09",70
"2018-01-10",56
"2018-01-11",61
"2018-01-12",54
"2018-01-13",40
"2018-01-14",51
"2018-01-15",62
"2018-01-16",72
"2018-01-17",58
"2018-01-18",61
"2018-01-19",49
"2018-01-20",44
"2018-01-21",58
"2018-01-22",59
"2018-01-23",47
"2018-01-24",54
"2018-01-25",51
"2018-01-26",44
"2018-01-27",35
"2018-01-28",50
"2018-01-29",51
"2018-01-30",51
"2018-01-31",61
"2018-02-01",49
"2018-02-02",45
"2018-02-03",53
"2018-02-04",48
"2018-02-05",69
"2018-02-06",56
"2018-02-07",50
"2018-02-08",53
"2018-02-09",43
"2018-02-10",43
"2018-02-11",49
"2018-02-12",44
"2018-02-13",28
"2018-02-14",27
"2018-02-15",16
"2018-02-16",21
"2018-02-17",30
"2018-02-18",52
"2018-02-19",68
"2018-02-20",61
"2018-02-21",54
"2018-02-22",54
"2018-02-23",51
"2018-02-24",32
"2018-02-25",44
"2018-02-26",62
"2018-02-27",48
"2018-02-28",41
"2018-03-01",62
"2018-03-02",60
"2018-03-03",37
"2018-03-04",58
"2018-03-05",63
"2018-03-06",44
"2018-03-07",52
"2018-03-08",53
"2018-03-09",52
"2018-03-10",39
"2018-03-11",40
"2018-03-12",60
"2018-03-13",60
"2018-03-14",56
"2018-03-15",51
"2018-03-16",55
"2018-03-17",42
"2018-03-18",48
"2018-03-19",51
"2018-03-20",52
"2018-03-21",56
"2018-03-22",43
"2018-03-23",43
"2018-03-24",23
"2018-03-25",41
"2018-03-26",47
"2018-03-27",47
"2018-03-28",50
"2018-03-29",49
"2018-03-30",33
"2018-03-31",29
"2018-04-01",41
"2018-04-02",48
"2018-04-03",43
"2018-04-04",56
"2018-04-05",43
"2018-04-06",44
"2018-04-07",43
"2018-04-08",49
"2018-04-09",66
"2018-04-10",61
"2018-04-11",62
"2018-04-12",56
"2018-04-13",53
"2018-04-14",38
"2018-04-15",40
"2018-04-16",59
"2018-04-17",51
"2018-04-18",49
"2018-04-19",46
