네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","콜롬비아우주복"
"2017-08-01",2
"2017-08-02",3
"2017-08-03",2
"2017-08-04",2
"2017-08-05",3
"2017-08-06",2
"2017-08-07",3
"2017-08-08",1
"2017-08-09",4
"2017-08-10",4
"2017-08-11",2
"2017-08-12",3
"2017-08-13",2
"2017-08-14",9
"2017-08-15",7
"2017-08-16",11
"2017-08-17",9
"2017-08-18",6
"2017-08-19",4
"2017-08-20",8
"2017-08-21",12
"2017-08-22",7
"2017-08-23",11
"2017-08-24",6
"2017-08-25",6
"2017-08-26",5
"2017-08-27",7
"2017-08-28",7
"2017-08-29",11
"2017-08-30",15
"2017-08-31",13
"2017-09-01",13
"2017-09-02",10
"2017-09-03",14
"2017-09-04",13
"2017-09-05",11
"2017-09-06",11
"2017-09-07",11
"2017-09-08",10
"2017-09-09",7
"2017-09-10",8
"2017-09-11",11
"2017-09-12",11
"2017-09-13",8
"2017-09-14",11
"2017-09-15",12
"2017-09-16",11
"2017-09-17",14
"2017-09-18",14
"2017-09-19",16
"2017-09-20",12
"2017-09-21",11
"2017-09-22",12
"2017-09-23",10
"2017-09-24",10
"2017-09-25",16
"2017-09-26",24
"2017-09-27",19
"2017-09-28",15
"2017-09-29",15
"2017-09-30",15
"2017-10-01",18
"2017-10-02",16
"2017-10-03",17
"2017-10-04",14
"2017-10-05",20
"2017-10-06",28
"2017-10-07",31
"2017-10-08",29
"2017-10-09",28
"2017-10-10",24
"2017-10-11",33
"2017-10-12",40
"2017-10-13",37
"2017-10-14",33
"2017-10-15",37
"2017-10-16",44
"2017-10-17",38
"2017-10-18",49
"2017-10-19",36
"2017-10-20",33
"2017-10-21",21
"2017-10-22",25
"2017-10-23",32
"2017-10-24",31
"2017-10-25",21
"2017-10-26",24
"2017-10-27",23
"2017-10-28",22
"2017-10-29",36
"2017-10-30",72
"2017-10-31",68
"2017-11-01",45
"2017-11-02",38
"2017-11-03",32
"2017-11-04",41
"2017-11-05",48
"2017-11-06",45
"2017-11-07",33
"2017-11-08",37
"2017-11-09",31
"2017-11-10",28
"2017-11-11",31
"2017-11-12",33
"2017-11-13",45
"2017-11-14",50
"2017-11-15",54
"2017-11-16",69
"2017-11-17",66
"2017-11-18",57
"2017-11-19",77
"2017-11-20",100
"2017-11-21",83
"2017-11-22",64
"2017-11-23",73
"2017-11-24",81
"2017-11-25",47
"2017-11-26",53
"2017-11-27",61
"2017-11-28",72
"2017-11-29",60
"2017-11-30",60
"2017-12-01",57
"2017-12-02",53
"2017-12-03",43
"2017-12-04",65
"2017-12-05",67
"2017-12-06",61
"2017-12-07",49
"2017-12-08",40
"2017-12-09",33
"2017-12-10",44
"2017-12-11",62
"2017-12-12",69
"2017-12-13",70
"2017-12-14",59
"2017-12-15",41
"2017-12-16",36
"2017-12-17",39
"2017-12-18",64
"2017-12-19",44
"2017-12-20",48
"2017-12-21",45
"2017-12-22",29
"2017-12-23",22
"2017-12-24",18
"2017-12-25",23
"2017-12-26",32
"2017-12-27",26
"2017-12-28",28
"2017-12-29",18
"2017-12-30",12
"2017-12-31",10
"2018-01-01",15
"2018-01-02",15
"2018-01-03",16
"2018-01-04",14
"2018-01-05",10
"2018-01-06",11
"2018-01-07",11
"2018-01-08",11
"2018-01-09",18
"2018-01-10",19
"2018-01-11",19
"2018-01-12",18
"2018-01-13",11
"2018-01-14",10
"2018-01-15",12
"2018-01-16",9
"2018-01-17",8
"2018-01-18",7
"2018-01-19",10
"2018-01-20",5
"2018-01-21",6
"2018-01-22",7
"2018-01-23",11
"2018-01-24",13
"2018-01-25",9
"2018-01-26",8
"2018-01-27",12
"2018-01-28",8
"2018-01-29",10
"2018-01-30",11
"2018-01-31",11
"2018-02-01",20
"2018-02-02",13
"2018-02-03",11
"2018-02-04",12
"2018-02-05",12
"2018-02-06",18
"2018-02-07",14
"2018-02-08",11
"2018-02-09",9
"2018-02-10",7
"2018-02-11",7
"2018-02-12",8
"2018-02-13",5
"2018-02-14",4
"2018-02-15",2
"2018-02-16",4
"2018-02-17",3
"2018-02-18",5
"2018-02-19",6
"2018-02-20",4
"2018-02-21",4
"2018-02-22",4
"2018-02-23",3
"2018-02-24",2
"2018-02-25",2
"2018-02-26",3
"2018-02-27",2
"2018-02-28",3
"2018-03-01",3
"2018-03-02",2
"2018-03-03",2
"2018-03-04",3
"2018-03-05",2
"2018-03-06",3
"2018-03-07",1
"2018-03-08",2
"2018-03-09",2
"2018-03-10",1
"2018-03-11",
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",2
"2018-03-20",2
"2018-03-21",4
"2018-03-22",2
"2018-03-23",2
"2018-03-24",2
"2018-03-25",
"2018-03-26",1
"2018-03-27",1
"2018-03-28",1
"2018-03-29",1
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",1
"2018-04-03",1
"2018-04-04",
"2018-04-05",1
"2018-04-06",1
"2018-04-07",
"2018-04-08",
"2018-04-09",1
"2018-04-10",
"2018-04-11",1
"2018-04-12",1
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",1
"2018-04-17",
"2018-04-18",1
"2018-04-19",
