네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스텝2주방놀이"
"2017-08-01",19
"2017-08-02",27
"2017-08-03",31
"2017-08-04",21
"2017-08-05",21
"2017-08-06",31
"2017-08-07",23
"2017-08-08",33
"2017-08-09",28
"2017-08-10",25
"2017-08-11",20
"2017-08-12",28
"2017-08-13",28
"2017-08-14",30
"2017-08-15",32
"2017-08-16",35
"2017-08-17",36
"2017-08-18",21
"2017-08-19",29
"2017-08-20",35
"2017-08-21",29
"2017-08-22",37
"2017-08-23",35
"2017-08-24",31
"2017-08-25",27
"2017-08-26",27
"2017-08-27",28
"2017-08-28",24
"2017-08-29",28
"2017-08-30",30
"2017-08-31",30
"2017-09-01",25
"2017-09-02",22
"2017-09-03",37
"2017-09-04",29
"2017-09-05",40
"2017-09-06",29
"2017-09-07",36
"2017-09-08",32
"2017-09-09",18
"2017-09-10",33
"2017-09-11",34
"2017-09-12",43
"2017-09-13",29
"2017-09-14",30
"2017-09-15",22
"2017-09-16",25
"2017-09-17",22
"2017-09-18",44
"2017-09-19",34
"2017-09-20",27
"2017-09-21",27
"2017-09-22",22
"2017-09-23",21
"2017-09-24",25
"2017-09-25",31
"2017-09-26",47
"2017-09-27",33
"2017-09-28",30
"2017-09-29",31
"2017-09-30",33
"2017-10-01",29
"2017-10-02",21
"2017-10-03",23
"2017-10-04",20
"2017-10-05",39
"2017-10-06",49
"2017-10-07",49
"2017-10-08",50
"2017-10-09",54
"2017-10-10",46
"2017-10-11",58
"2017-10-12",54
"2017-10-13",48
"2017-10-14",50
"2017-10-15",60
"2017-10-16",55
"2017-10-17",65
"2017-10-18",49
"2017-10-19",47
"2017-10-20",51
"2017-10-21",44
"2017-10-22",57
"2017-10-23",68
"2017-10-24",67
"2017-10-25",52
"2017-10-26",46
"2017-10-27",60
"2017-10-28",43
"2017-10-29",56
"2017-10-30",63
"2017-10-31",52
"2017-11-01",52
"2017-11-02",44
"2017-11-03",52
"2017-11-04",54
"2017-11-05",53
"2017-11-06",65
"2017-11-07",55
"2017-11-08",64
"2017-11-09",55
"2017-11-10",47
"2017-11-11",51
"2017-11-12",57
"2017-11-13",50
"2017-11-14",61
"2017-11-15",62
"2017-11-16",71
"2017-11-17",71
"2017-11-18",55
"2017-11-19",60
"2017-11-20",67
"2017-11-21",80
"2017-11-22",82
"2017-11-23",78
"2017-11-24",65
"2017-11-25",64
"2017-11-26",73
"2017-11-27",71
"2017-11-28",59
"2017-11-29",74
"2017-11-30",62
"2017-12-01",73
"2017-12-02",65
"2017-12-03",70
"2017-12-04",75
"2017-12-05",92
"2017-12-06",68
"2017-12-07",62
"2017-12-08",67
"2017-12-09",59
"2017-12-10",75
"2017-12-11",69
"2017-12-12",89
"2017-12-13",83
"2017-12-14",70
"2017-12-15",63
"2017-12-16",61
"2017-12-17",85
"2017-12-18",95
"2017-12-19",100
"2017-12-20",71
"2017-12-21",68
"2017-12-22",58
"2017-12-23",59
"2017-12-24",60
"2017-12-25",63
"2017-12-26",62
"2017-12-27",59
"2017-12-28",60
"2017-12-29",49
"2017-12-30",34
"2017-12-31",33
"2018-01-01",33
"2018-01-02",43
"2018-01-03",41
"2018-01-04",45
"2018-01-05",39
"2018-01-06",40
"2018-01-07",39
"2018-01-08",42
"2018-01-09",36
"2018-01-10",38
"2018-01-11",41
"2018-01-12",37
"2018-01-13",40
"2018-01-14",43
"2018-01-15",42
"2018-01-16",46
"2018-01-17",38
"2018-01-18",36
"2018-01-19",35
"2018-01-20",39
"2018-01-21",45
"2018-01-22",45
"2018-01-23",42
"2018-01-24",43
"2018-01-25",46
"2018-01-26",31
"2018-01-27",40
"2018-01-28",46
"2018-01-29",40
"2018-01-30",40
"2018-01-31",39
"2018-02-01",35
"2018-02-02",35
"2018-02-03",34
"2018-02-04",42
"2018-02-05",44
"2018-02-06",40
"2018-02-07",54
"2018-02-08",47
"2018-02-09",33
"2018-02-10",37
"2018-02-11",41
"2018-02-12",45
"2018-02-13",38
"2018-02-14",36
"2018-02-15",28
"2018-02-16",27
"2018-02-17",42
"2018-02-18",68
"2018-02-19",72
"2018-02-20",50
"2018-02-21",50
"2018-02-22",44
"2018-02-23",34
"2018-02-24",40
"2018-02-25",42
"2018-02-26",41
"2018-02-27",49
"2018-02-28",44
"2018-03-01",48
"2018-03-02",42
"2018-03-03",42
"2018-03-04",48
"2018-03-05",48
"2018-03-06",37
"2018-03-07",41
"2018-03-08",37
"2018-03-09",42
"2018-03-10",34
"2018-03-11",37
"2018-03-12",37
"2018-03-13",37
"2018-03-14",30
"2018-03-15",26
"2018-03-16",28
"2018-03-17",32
"2018-03-18",38
"2018-03-19",29
"2018-03-20",31
"2018-03-21",45
"2018-03-22",39
"2018-03-23",25
"2018-03-24",26
"2018-03-25",31
"2018-03-26",33
"2018-03-27",32
"2018-03-28",21
"2018-03-29",24
"2018-03-30",25
"2018-03-31",22
"2018-04-01",28
"2018-04-02",27
"2018-04-03",27
"2018-04-04",27
"2018-04-05",34
"2018-04-06",30
"2018-04-07",33
"2018-04-08",36
"2018-04-09",35
"2018-04-10",36
"2018-04-11",31
"2018-04-12",33
"2018-04-13",28
"2018-04-14",36
"2018-04-15",40
"2018-04-16",34
"2018-04-17",41
"2018-04-18",46
"2018-04-19",41
