네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","21세기킥보드"
"2017-08-01",14
"2017-08-02",11
"2017-08-03",16
"2017-08-04",11
"2017-08-05",8
"2017-08-06",11
"2017-08-07",11
"2017-08-08",15
"2017-08-09",15
"2017-08-10",15
"2017-08-11",11
"2017-08-12",12
"2017-08-13",16
"2017-08-14",15
"2017-08-15",13
"2017-08-16",15
"2017-08-17",18
"2017-08-18",18
"2017-08-19",19
"2017-08-20",20
"2017-08-21",19
"2017-08-22",24
"2017-08-23",19
"2017-08-24",17
"2017-08-25",18
"2017-08-26",28
"2017-08-27",35
"2017-08-28",27
"2017-08-29",37
"2017-08-30",29
"2017-08-31",33
"2017-09-01",36
"2017-09-02",26
"2017-09-03",38
"2017-09-04",39
"2017-09-05",31
"2017-09-06",24
"2017-09-07",25
"2017-09-08",30
"2017-09-09",30
"2017-09-10",35
"2017-09-11",35
"2017-09-12",36
"2017-09-13",42
"2017-09-14",36
"2017-09-15",38
"2017-09-16",39
"2017-09-17",48
"2017-09-18",51
"2017-09-19",42
"2017-09-20",36
"2017-09-21",38
"2017-09-22",36
"2017-09-23",35
"2017-09-24",42
"2017-09-25",53
"2017-09-26",48
"2017-09-27",38
"2017-09-28",27
"2017-09-29",19
"2017-09-30",22
"2017-10-01",19
"2017-10-02",19
"2017-10-03",15
"2017-10-04",16
"2017-10-05",26
"2017-10-06",30
"2017-10-07",34
"2017-10-08",50
"2017-10-09",77
"2017-10-10",58
"2017-10-11",47
"2017-10-12",25
"2017-10-13",22
"2017-10-14",24
"2017-10-15",25
"2017-10-16",31
"2017-10-17",30
"2017-10-18",21
"2017-10-19",23
"2017-10-20",19
"2017-10-21",20
"2017-10-22",24
"2017-10-23",30
"2017-10-24",28
"2017-10-25",25
"2017-10-26",23
"2017-10-27",18
"2017-10-28",23
"2017-10-29",25
"2017-10-30",19
"2017-10-31",18
"2017-11-01",19
"2017-11-02",19
"2017-11-03",14
"2017-11-04",11
"2017-11-05",13
"2017-11-06",15
"2017-11-07",18
"2017-11-08",14
"2017-11-09",15
"2017-11-10",8
"2017-11-11",9
"2017-11-12",10
"2017-11-13",8
"2017-11-14",7
"2017-11-15",6
"2017-11-16",6
"2017-11-17",3
"2017-11-18",3
"2017-11-19",3
"2017-11-20",3
"2017-11-21",7
"2017-11-22",5
"2017-11-23",4
"2017-11-24",3
"2017-11-25",2
"2017-11-26",3
"2017-11-27",2
"2017-11-28",3
"2017-11-29",5
"2017-11-30",4
"2017-12-01",3
"2017-12-02",3
"2017-12-03",4
"2017-12-04",5
"2017-12-05",4
"2017-12-06",4
"2017-12-07",4
"2017-12-08",6
"2017-12-09",5
"2017-12-10",5
"2017-12-11",6
"2017-12-12",7
"2017-12-13",8
"2017-12-14",6
"2017-12-15",5
"2017-12-16",5
"2017-12-17",6
"2017-12-18",8
"2017-12-19",7
"2017-12-20",8
"2017-12-21",6
"2017-12-22",4
"2017-12-23",4
"2017-12-24",3
"2017-12-25",5
"2017-12-26",3
"2017-12-27",2
"2017-12-28",3
"2017-12-29",1
"2017-12-30",1
"2017-12-31",2
"2018-01-01",1
"2018-01-02",3
"2018-01-03",3
"2018-01-04",2
"2018-01-05",2
"2018-01-06",3
"2018-01-07",2
"2018-01-08",3
"2018-01-09",3
"2018-01-10",2
"2018-01-11",2
"2018-01-12",1
"2018-01-13",1
"2018-01-14",2
"2018-01-15",2
"2018-01-16",2
"2018-01-17",3
"2018-01-18",2
"2018-01-19",2
"2018-01-20",2
"2018-01-21",3
"2018-01-22",2
"2018-01-23",2
"2018-01-24",1
"2018-01-25",1
"2018-01-26",1
"2018-01-27",1
"2018-01-28",2
"2018-01-29",2
"2018-01-30",1
"2018-01-31",2
"2018-02-01",2
"2018-02-02",4
"2018-02-03",3
"2018-02-04",2
"2018-02-05",2
"2018-02-06",1
"2018-02-07",1
"2018-02-08",3
"2018-02-09",2
"2018-02-10",1
"2018-02-11",1
"2018-02-12",3
"2018-02-13",2
"2018-02-14",2
"2018-02-15",1
"2018-02-16",2
"2018-02-17",3
"2018-02-18",5
"2018-02-19",3
"2018-02-20",3
"2018-02-21",5
"2018-02-22",6
"2018-02-23",4
"2018-02-24",4
"2018-02-25",9
"2018-02-26",12
"2018-02-27",11
"2018-02-28",6
"2018-03-01",7
"2018-03-02",7
"2018-03-03",21
"2018-03-04",31
"2018-03-05",24
"2018-03-06",24
"2018-03-07",23
"2018-03-08",19
"2018-03-09",19
"2018-03-10",22
"2018-03-11",41
"2018-03-12",39
"2018-03-13",54
"2018-03-14",100
"2018-03-15",54
"2018-03-16",44
"2018-03-17",61
"2018-03-18",70
"2018-03-19",49
"2018-03-20",29
"2018-03-21",24
"2018-03-22",30
"2018-03-23",34
"2018-03-24",31
"2018-03-25",32
"2018-03-26",32
"2018-03-27",35
"2018-03-28",34
"2018-03-29",32
"2018-03-30",30
"2018-03-31",39
"2018-04-01",56
"2018-04-02",56
"2018-04-03",56
"2018-04-04",59
"2018-04-05",54
"2018-04-06",33
"2018-04-07",31
"2018-04-08",34
"2018-04-09",43
"2018-04-10",52
"2018-04-11",51
"2018-04-12",47
"2018-04-13",42
"2018-04-14",28
"2018-04-15",34
"2018-04-16",44
"2018-04-17",51
"2018-04-18",55
"2018-04-19",50
