네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에그엔젤코코밍"
"2017-08-01",22
"2017-08-02",25
"2017-08-03",24
"2017-08-04",17
"2017-08-05",23
"2017-08-06",22
"2017-08-07",20
"2017-08-08",20
"2017-08-09",20
"2017-08-10",20
"2017-08-11",19
"2017-08-12",25
"2017-08-13",26
"2017-08-14",20
"2017-08-15",32
"2017-08-16",28
"2017-08-17",33
"2017-08-18",28
"2017-08-19",43
"2017-08-20",47
"2017-08-21",34
"2017-08-22",36
"2017-08-23",29
"2017-08-24",24
"2017-08-25",27
"2017-08-26",31
"2017-08-27",30
"2017-08-28",29
"2017-08-29",27
"2017-08-30",24
"2017-08-31",24
"2017-09-01",27
"2017-09-02",39
"2017-09-03",40
"2017-09-04",27
"2017-09-05",24
"2017-09-06",29
"2017-09-07",39
"2017-09-08",30
"2017-09-09",69
"2017-09-10",78
"2017-09-11",38
"2017-09-12",43
"2017-09-13",38
"2017-09-14",35
"2017-09-15",26
"2017-09-16",54
"2017-09-17",53
"2017-09-18",40
"2017-09-19",34
"2017-09-20",28
"2017-09-21",32
"2017-09-22",31
"2017-09-23",37
"2017-09-24",48
"2017-09-25",45
"2017-09-26",53
"2017-09-27",47
"2017-09-28",45
"2017-09-29",34
"2017-09-30",59
"2017-10-01",64
"2017-10-02",56
"2017-10-03",52
"2017-10-04",62
"2017-10-05",64
"2017-10-06",69
"2017-10-07",66
"2017-10-08",66
"2017-10-09",64
"2017-10-10",60
"2017-10-11",45
"2017-10-12",45
"2017-10-13",39
"2017-10-14",58
"2017-10-15",55
"2017-10-16",58
"2017-10-17",49
"2017-10-18",47
"2017-10-19",48
"2017-10-20",45
"2017-10-21",65
"2017-10-22",56
"2017-10-23",60
"2017-10-24",53
"2017-10-25",72
"2017-10-26",45
"2017-10-27",39
"2017-10-28",50
"2017-10-29",58
"2017-10-30",36
"2017-10-31",37
"2017-11-01",38
"2017-11-02",39
"2017-11-03",37
"2017-11-04",44
"2017-11-05",54
"2017-11-06",36
"2017-11-07",42
"2017-11-08",42
"2017-11-09",42
"2017-11-10",34
"2017-11-11",45
"2017-11-12",44
"2017-11-13",44
"2017-11-14",45
"2017-11-15",32
"2017-11-16",30
"2017-11-17",28
"2017-11-18",51
"2017-11-19",45
"2017-11-20",38
"2017-11-21",36
"2017-11-22",36
"2017-11-23",35
"2017-11-24",37
"2017-11-25",47
"2017-11-26",46
"2017-11-27",49
"2017-11-28",52
"2017-11-29",45
"2017-11-30",44
"2017-12-01",53
"2017-12-02",49
"2017-12-03",69
"2017-12-04",77
"2017-12-05",90
"2017-12-06",83
"2017-12-07",68
"2017-12-08",63
"2017-12-09",81
"2017-12-10",89
"2017-12-11",88
"2017-12-12",84
"2017-12-13",77
"2017-12-14",77
"2017-12-15",66
"2017-12-16",69
"2017-12-17",86
"2017-12-18",100
"2017-12-19",78
"2017-12-20",64
"2017-12-21",48
"2017-12-22",31
"2017-12-23",38
"2017-12-24",51
"2017-12-25",49
"2017-12-26",37
"2017-12-27",20
"2017-12-28",25
"2017-12-29",23
"2017-12-30",18
"2017-12-31",19
"2018-01-01",23
"2018-01-02",17
"2018-01-03",20
"2018-01-04",19
"2018-01-05",21
"2018-01-06",26
"2018-01-07",24
"2018-01-08",19
"2018-01-09",20
"2018-01-10",17
"2018-01-11",16
"2018-01-12",22
"2018-01-13",28
"2018-01-14",33
"2018-01-15",21
"2018-01-16",22
"2018-01-17",18
"2018-01-18",19
"2018-01-19",21
"2018-01-20",25
"2018-01-21",20
"2018-01-22",15
"2018-01-23",17
"2018-01-24",21
"2018-01-25",20
"2018-01-26",17
"2018-01-27",26
"2018-01-28",27
"2018-01-29",23
"2018-01-30",22
"2018-01-31",22
"2018-02-01",18
"2018-02-02",18
"2018-02-03",25
"2018-02-04",27
"2018-02-05",19
"2018-02-06",28
"2018-02-07",14
"2018-02-08",17
"2018-02-09",16
"2018-02-10",20
"2018-02-11",22
"2018-02-12",13
"2018-02-13",16
"2018-02-14",15
"2018-02-15",20
"2018-02-16",28
"2018-02-17",32
"2018-02-18",42
"2018-02-19",31
"2018-02-20",19
"2018-02-21",22
"2018-02-22",19
"2018-02-23",16
"2018-02-24",13
"2018-02-25",14
"2018-02-26",19
"2018-02-27",15
"2018-02-28",15
"2018-03-01",28
"2018-03-02",11
"2018-03-03",14
"2018-03-04",14
"2018-03-05",11
"2018-03-06",9
"2018-03-07",9
"2018-03-08",9
"2018-03-09",11
"2018-03-10",13
"2018-03-11",19
"2018-03-12",12
"2018-03-13",11
"2018-03-14",9
"2018-03-15",6
"2018-03-16",6
"2018-03-17",10
"2018-03-18",19
"2018-03-19",14
"2018-03-20",11
"2018-03-21",10
"2018-03-22",8
"2018-03-23",11
"2018-03-24",16
"2018-03-25",14
"2018-03-26",9
"2018-03-27",10
"2018-03-28",10
"2018-03-29",6
"2018-03-30",7
"2018-03-31",7
"2018-04-01",14
"2018-04-02",12
"2018-04-03",7
"2018-04-04",5
"2018-04-05",7
"2018-04-06",5
"2018-04-07",9
"2018-04-08",13
"2018-04-09",6
"2018-04-10",9
"2018-04-11",7
"2018-04-12",7
"2018-04-13",7
"2018-04-14",15
"2018-04-15",15
"2018-04-16",15
"2018-04-17",14
"2018-04-18",11
"2018-04-19",7
