네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","알로앤루"
"2017-08-01",9
"2017-08-02",18
"2017-08-03",13
"2017-08-04",17
"2017-08-05",12
"2017-08-06",12
"2017-08-07",19
"2017-08-08",22
"2017-08-09",22
"2017-08-10",15
"2017-08-11",18
"2017-08-12",12
"2017-08-13",19
"2017-08-14",21
"2017-08-15",37
"2017-08-16",43
"2017-08-17",33
"2017-08-18",37
"2017-08-19",25
"2017-08-20",25
"2017-08-21",26
"2017-08-22",44
"2017-08-23",44
"2017-08-24",35
"2017-08-25",46
"2017-08-26",41
"2017-08-27",56
"2017-08-28",52
"2017-08-29",64
"2017-08-30",79
"2017-08-31",70
"2017-09-01",57
"2017-09-02",63
"2017-09-03",74
"2017-09-04",67
"2017-09-05",90
"2017-09-06",76
"2017-09-07",75
"2017-09-08",64
"2017-09-09",66
"2017-09-10",79
"2017-09-11",87
"2017-09-12",76
"2017-09-13",79
"2017-09-14",71
"2017-09-15",58
"2017-09-16",63
"2017-09-17",72
"2017-09-18",72
"2017-09-19",66
"2017-09-20",60
"2017-09-21",69
"2017-09-22",55
"2017-09-23",67
"2017-09-24",65
"2017-09-25",73
"2017-09-26",68
"2017-09-27",67
"2017-09-28",66
"2017-09-29",62
"2017-09-30",53
"2017-10-01",63
"2017-10-02",47
"2017-10-03",45
"2017-10-04",41
"2017-10-05",62
"2017-10-06",59
"2017-10-07",66
"2017-10-08",65
"2017-10-09",53
"2017-10-10",52
"2017-10-11",60
"2017-10-12",65
"2017-10-13",51
"2017-10-14",45
"2017-10-15",66
"2017-10-16",70
"2017-10-17",57
"2017-10-18",70
"2017-10-19",58
"2017-10-20",49
"2017-10-21",45
"2017-10-22",50
"2017-10-23",53
"2017-10-24",68
"2017-10-25",83
"2017-10-26",66
"2017-10-27",68
"2017-10-28",64
"2017-10-29",78
"2017-10-30",100
"2017-10-31",85
"2017-11-01",90
"2017-11-02",64
"2017-11-03",53
"2017-11-04",65
"2017-11-05",71
"2017-11-06",80
"2017-11-07",76
"2017-11-08",65
"2017-11-09",75
"2017-11-10",55
"2017-11-11",55
"2017-11-12",62
"2017-11-13",76
"2017-11-14",68
"2017-11-15",72
"2017-11-16",79
"2017-11-17",64
"2017-11-18",56
"2017-11-19",56
"2017-11-20",74
"2017-11-21",72
"2017-11-22",68
"2017-11-23",47
"2017-11-24",52
"2017-11-25",56
"2017-11-26",54
"2017-11-27",63
"2017-11-28",54
"2017-11-29",44
"2017-11-30",57
"2017-12-01",41
"2017-12-02",42
"2017-12-03",54
"2017-12-04",61
"2017-12-05",45
"2017-12-06",44
"2017-12-07",42
"2017-12-08",32
"2017-12-09",27
"2017-12-10",31
"2017-12-11",46
"2017-12-12",32
"2017-12-13",41
"2017-12-14",36
"2017-12-15",29
"2017-12-16",32
"2017-12-17",38
"2017-12-18",39
"2017-12-19",36
"2017-12-20",30
"2017-12-21",33
"2017-12-22",27
"2017-12-23",23
"2017-12-24",23
"2017-12-25",26
"2017-12-26",36
"2017-12-27",33
"2017-12-28",30
"2017-12-29",25
"2017-12-30",33
"2017-12-31",22
"2018-01-01",30
"2018-01-02",27
"2018-01-03",22
"2018-01-04",38
"2018-01-05",25
"2018-01-06",25
"2018-01-07",22
"2018-01-08",26
"2018-01-09",33
"2018-01-10",21
"2018-01-11",29
"2018-01-12",21
"2018-01-13",23
"2018-01-14",29
"2018-01-15",27
"2018-01-16",27
"2018-01-17",20
"2018-01-18",25
"2018-01-19",27
"2018-01-20",25
"2018-01-21",32
"2018-01-22",28
"2018-01-23",33
"2018-01-24",26
"2018-01-25",32
"2018-01-26",26
"2018-01-27",30
"2018-01-28",35
"2018-01-29",32
"2018-01-30",36
"2018-01-31",33
"2018-02-01",31
"2018-02-02",35
"2018-02-03",28
"2018-02-04",24
"2018-02-05",28
"2018-02-06",37
"2018-02-07",33
"2018-02-08",33
"2018-02-09",32
"2018-02-10",37
"2018-02-11",40
"2018-02-12",31
"2018-02-13",28
"2018-02-14",26
"2018-02-15",24
"2018-02-16",16
"2018-02-17",30
"2018-02-18",32
"2018-02-19",34
"2018-02-20",27
"2018-02-21",33
"2018-02-22",34
"2018-02-23",33
"2018-02-24",35
"2018-02-25",35
"2018-02-26",44
"2018-02-27",42
"2018-02-28",37
"2018-03-01",42
"2018-03-02",39
"2018-03-03",35
"2018-03-04",49
"2018-03-05",36
"2018-03-06",47
"2018-03-07",43
"2018-03-08",44
"2018-03-09",39
"2018-03-10",31
"2018-03-11",35
"2018-03-12",38
"2018-03-13",33
"2018-03-14",33
"2018-03-15",38
"2018-03-16",31
"2018-03-17",33
"2018-03-18",38
"2018-03-19",32
"2018-03-20",38
"2018-03-21",34
"2018-03-22",30
"2018-03-23",33
"2018-03-24",24
"2018-03-25",32
"2018-03-26",34
"2018-03-27",42
"2018-03-28",33
"2018-03-29",44
"2018-03-30",44
"2018-03-31",36
"2018-04-01",32
"2018-04-02",39
"2018-04-03",48
"2018-04-04",50
"2018-04-05",33
"2018-04-06",34
"2018-04-07",24
"2018-04-08",29
"2018-04-09",33
"2018-04-10",31
"2018-04-11",30
"2018-04-12",34
"2018-04-13",31
"2018-04-14",31
"2018-04-15",34
"2018-04-16",33
"2018-04-17",33
"2018-04-18",36
"2018-04-19",22
