네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패딩"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",3
"2017-08-06",3
"2017-08-07",2
"2017-08-08",2
"2017-08-09",3
"2017-08-10",4
"2017-08-11",3
"2017-08-12",3
"2017-08-13",4
"2017-08-14",4
"2017-08-15",5
"2017-08-16",5
"2017-08-17",5
"2017-08-18",5
"2017-08-19",5
"2017-08-20",6
"2017-08-21",4
"2017-08-22",4
"2017-08-23",4
"2017-08-24",4
"2017-08-25",4
"2017-08-26",4
"2017-08-27",5
"2017-08-28",4
"2017-08-29",4
"2017-08-30",6
"2017-08-31",5
"2017-09-01",5
"2017-09-02",5
"2017-09-03",5
"2017-09-04",4
"2017-09-05",4
"2017-09-06",4
"2017-09-07",4
"2017-09-08",3
"2017-09-09",4
"2017-09-10",5
"2017-09-11",4
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",4
"2017-09-16",4
"2017-09-17",6
"2017-09-18",4
"2017-09-19",4
"2017-09-20",4
"2017-09-21",4
"2017-09-22",3
"2017-09-23",4
"2017-09-24",5
"2017-09-25",4
"2017-09-26",3
"2017-09-27",4
"2017-09-28",4
"2017-09-29",4
"2017-09-30",4
"2017-10-01",7
"2017-10-02",5
"2017-10-03",7
"2017-10-04",7
"2017-10-05",8
"2017-10-06",9
"2017-10-07",9
"2017-10-08",8
"2017-10-09",8
"2017-10-10",6
"2017-10-11",9
"2017-10-12",14
"2017-10-13",16
"2017-10-14",16
"2017-10-15",19
"2017-10-16",16
"2017-10-17",16
"2017-10-18",16
"2017-10-19",14
"2017-10-20",11
"2017-10-21",13
"2017-10-22",18
"2017-10-23",16
"2017-10-24",18
"2017-10-25",19
"2017-10-26",18
"2017-10-27",15
"2017-10-28",16
"2017-10-29",30
"2017-10-30",53
"2017-10-31",50
"2017-11-01",43
"2017-11-02",35
"2017-11-03",32
"2017-11-04",48
"2017-11-05",56
"2017-11-06",49
"2017-11-07",40
"2017-11-08",36
"2017-11-09",40
"2017-11-10",37
"2017-11-11",49
"2017-11-12",63
"2017-11-13",55
"2017-11-14",58
"2017-11-15",72
"2017-11-16",89
"2017-11-17",78
"2017-11-18",96
"2017-11-19",97
"2017-11-20",100
"2017-11-21",88
"2017-11-22",75
"2017-11-23",67
"2017-11-24",63
"2017-11-25",60
"2017-11-26",65
"2017-11-27",50
"2017-11-28",44
"2017-11-29",41
"2017-11-30",50
"2017-12-01",50
"2017-12-02",51
"2017-12-03",57
"2017-12-04",59
"2017-12-05",58
"2017-12-06",50
"2017-12-07",45
"2017-12-08",39
"2017-12-09",40
"2017-12-10",51
"2017-12-11",56
"2017-12-12",57
"2017-12-13",56
"2017-12-14",46
"2017-12-15",35
"2017-12-16",37
"2017-12-17",46
"2017-12-18",38
"2017-12-19",32
"2017-12-20",32
"2017-12-21",26
"2017-12-22",21
"2017-12-23",20
"2017-12-24",21
"2017-12-25",22
"2017-12-26",25
"2017-12-27",23
"2017-12-28",23
"2017-12-29",15
"2017-12-30",17
"2017-12-31",17
"2018-01-01",19
"2018-01-02",23
"2018-01-03",21
"2018-01-04",18
"2018-01-05",17
"2018-01-06",16
"2018-01-07",22
"2018-01-08",20
"2018-01-09",22
"2018-01-10",23
"2018-01-11",23
"2018-01-12",21
"2018-01-13",20
"2018-01-14",22
"2018-01-15",16
"2018-01-16",13
"2018-01-17",12
"2018-01-18",11
"2018-01-19",8
"2018-01-20",11
"2018-01-21",15
"2018-01-22",13
"2018-01-23",19
"2018-01-24",24
"2018-01-25",21
"2018-01-26",21
"2018-01-27",18
"2018-01-28",22
"2018-01-29",19
"2018-01-30",19
"2018-01-31",15
"2018-02-01",14
"2018-02-02",12
"2018-02-03",15
"2018-02-04",20
"2018-02-05",21
"2018-02-06",19
"2018-02-07",16
"2018-02-08",12
"2018-02-09",9
"2018-02-10",11
"2018-02-11",15
"2018-02-12",10
"2018-02-13",8
"2018-02-14",7
"2018-02-15",6
"2018-02-16",7
"2018-02-17",9
"2018-02-18",9
"2018-02-19",7
"2018-02-20",7
"2018-02-21",6
"2018-02-22",5
"2018-02-23",4
"2018-02-24",5
"2018-02-25",6
"2018-02-26",6
"2018-02-27",4
"2018-02-28",4
"2018-03-01",4
"2018-03-02",5
"2018-03-03",3
"2018-03-04",4
"2018-03-05",3
"2018-03-06",3
"2018-03-07",3
"2018-03-08",2
"2018-03-09",2
"2018-03-10",3
"2018-03-11",2
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",1
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
