네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","코트"
"2017-08-01",6
"2017-08-02",8
"2017-08-03",5
"2017-08-04",7
"2017-08-05",7
"2017-08-06",20
"2017-08-07",12
"2017-08-08",10
"2017-08-09",10
"2017-08-10",10
"2017-08-11",9
"2017-08-12",12
"2017-08-13",13
"2017-08-14",12
"2017-08-15",16
"2017-08-16",13
"2017-08-17",13
"2017-08-18",12
"2017-08-19",17
"2017-08-20",20
"2017-08-21",16
"2017-08-22",12
"2017-08-23",9
"2017-08-24",10
"2017-08-25",9
"2017-08-26",11
"2017-08-27",11
"2017-08-28",7
"2017-08-29",9
"2017-08-30",10
"2017-08-31",10
"2017-09-01",9
"2017-09-02",8
"2017-09-03",12
"2017-09-04",9
"2017-09-05",9
"2017-09-06",10
"2017-09-07",9
"2017-09-08",9
"2017-09-09",7
"2017-09-10",10
"2017-09-11",7
"2017-09-12",6
"2017-09-13",6
"2017-09-14",6
"2017-09-15",6
"2017-09-16",7
"2017-09-17",9
"2017-09-18",6
"2017-09-19",7
"2017-09-20",8
"2017-09-21",5
"2017-09-22",4
"2017-09-23",8
"2017-09-24",7
"2017-09-25",6
"2017-09-26",7
"2017-09-27",7
"2017-09-28",7
"2017-09-29",7
"2017-09-30",10
"2017-10-01",12
"2017-10-02",16
"2017-10-03",13
"2017-10-04",16
"2017-10-05",13
"2017-10-06",19
"2017-10-07",15
"2017-10-08",20
"2017-10-09",16
"2017-10-10",15
"2017-10-11",17
"2017-10-12",24
"2017-10-13",27
"2017-10-14",29
"2017-10-15",36
"2017-10-16",33
"2017-10-17",30
"2017-10-18",32
"2017-10-19",30
"2017-10-20",24
"2017-10-21",31
"2017-10-22",35
"2017-10-23",35
"2017-10-24",38
"2017-10-25",38
"2017-10-26",36
"2017-10-27",30
"2017-10-28",32
"2017-10-29",56
"2017-10-30",64
"2017-10-31",74
"2017-11-01",69
"2017-11-02",66
"2017-11-03",56
"2017-11-04",76
"2017-11-05",95
"2017-11-06",87
"2017-11-07",83
"2017-11-08",76
"2017-11-09",75
"2017-11-10",70
"2017-11-11",77
"2017-11-12",100
"2017-11-13",99
"2017-11-14",94
"2017-11-15",83
"2017-11-16",82
"2017-11-17",69
"2017-11-18",78
"2017-11-19",92
"2017-11-20",80
"2017-11-21",81
"2017-11-22",73
"2017-11-23",64
"2017-11-24",54
"2017-11-25",68
"2017-11-26",78
"2017-11-27",66
"2017-11-28",68
"2017-11-29",65
"2017-11-30",62
"2017-12-01",42
"2017-12-02",56
"2017-12-03",77
"2017-12-04",62
"2017-12-05",58
"2017-12-06",46
"2017-12-07",49
"2017-12-08",42
"2017-12-09",50
"2017-12-10",62
"2017-12-11",52
"2017-12-12",49
"2017-12-13",44
"2017-12-14",42
"2017-12-15",36
"2017-12-16",47
"2017-12-17",57
"2017-12-18",44
"2017-12-19",41
"2017-12-20",36
"2017-12-21",36
"2017-12-22",32
"2017-12-23",37
"2017-12-24",41
"2017-12-25",49
"2017-12-26",41
"2017-12-27",40
"2017-12-28",36
"2017-12-29",36
"2017-12-30",37
"2017-12-31",39
"2018-01-01",49
"2018-01-02",42
"2018-01-03",41
"2018-01-04",40
"2018-01-05",36
"2018-01-06",44
"2018-01-07",53
"2018-01-08",41
"2018-01-09",42
"2018-01-10",41
"2018-01-11",36
"2018-01-12",35
"2018-01-13",36
"2018-01-14",52
"2018-01-15",39
"2018-01-16",44
"2018-01-17",42
"2018-01-18",44
"2018-01-19",34
"2018-01-20",44
"2018-01-21",57
"2018-01-22",49
"2018-01-23",42
"2018-01-24",36
"2018-01-25",35
"2018-01-26",35
"2018-01-27",36
"2018-01-28",44
"2018-01-29",35
"2018-01-30",37
"2018-01-31",40
"2018-02-01",39
"2018-02-02",34
"2018-02-03",48
"2018-02-04",53
"2018-02-05",49
"2018-02-06",40
"2018-02-07",37
"2018-02-08",39
"2018-02-09",32
"2018-02-10",36
"2018-02-11",45
"2018-02-12",31
"2018-02-13",30
"2018-02-14",28
"2018-02-15",31
"2018-02-16",29
"2018-02-17",33
"2018-02-18",39
"2018-02-19",39
"2018-02-20",32
"2018-02-21",31
"2018-02-22",32
"2018-02-23",28
"2018-02-24",32
"2018-02-25",37
"2018-02-26",34
"2018-02-27",35
"2018-02-28",29
"2018-03-01",30
"2018-03-02",23
"2018-03-03",24
"2018-03-04",31
"2018-03-05",19
"2018-03-06",20
"2018-03-07",19
"2018-03-08",15
"2018-03-09",13
"2018-03-10",16
"2018-03-11",19
"2018-03-12",16
"2018-03-13",13
"2018-03-14",9
"2018-03-15",7
"2018-03-16",7
"2018-03-17",8
"2018-03-18",10
"2018-03-19",8
"2018-03-20",9
"2018-03-21",10
"2018-03-22",9
"2018-03-23",7
"2018-03-24",6
"2018-03-25",9
"2018-03-26",8
"2018-03-27",4
"2018-03-28",5
"2018-03-29",4
"2018-03-30",4
"2018-03-31",3
"2018-04-01",3
"2018-04-02",3
"2018-04-03",3
"2018-04-04",2
"2018-04-05",2
"2018-04-06",2
"2018-04-07",3
"2018-04-08",4
"2018-04-09",2
"2018-04-10",3
"2018-04-11",3
"2018-04-12",2
"2018-04-13",2
"2018-04-14",3
"2018-04-15",2
"2018-04-16",2
"2018-04-17",1
"2018-04-18",2
"2018-04-19",2
