네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","맨투맨"
"2017-08-01",4
"2017-08-02",3
"2017-08-03",2
"2017-08-04",3
"2017-08-05",4
"2017-08-06",4
"2017-08-07",6
"2017-08-08",4
"2017-08-09",5
"2017-08-10",6
"2017-08-11",7
"2017-08-12",6
"2017-08-13",11
"2017-08-14",13
"2017-08-15",24
"2017-08-16",20
"2017-08-17",20
"2017-08-18",15
"2017-08-19",18
"2017-08-20",25
"2017-08-21",27
"2017-08-22",23
"2017-08-23",24
"2017-08-24",25
"2017-08-25",17
"2017-08-26",24
"2017-08-27",40
"2017-08-28",45
"2017-08-29",66
"2017-08-30",79
"2017-08-31",71
"2017-09-01",68
"2017-09-02",68
"2017-09-03",87
"2017-09-04",70
"2017-09-05",75
"2017-09-06",70
"2017-09-07",76
"2017-09-08",66
"2017-09-09",72
"2017-09-10",91
"2017-09-11",87
"2017-09-12",80
"2017-09-13",81
"2017-09-14",77
"2017-09-15",64
"2017-09-16",86
"2017-09-17",100
"2017-09-18",93
"2017-09-19",84
"2017-09-20",83
"2017-09-21",73
"2017-09-22",65
"2017-09-23",66
"2017-09-24",88
"2017-09-25",85
"2017-09-26",75
"2017-09-27",66
"2017-09-28",53
"2017-09-29",50
"2017-09-30",57
"2017-10-01",72
"2017-10-02",66
"2017-10-03",61
"2017-10-04",65
"2017-10-05",67
"2017-10-06",80
"2017-10-07",82
"2017-10-08",88
"2017-10-09",90
"2017-10-10",75
"2017-10-11",85
"2017-10-12",83
"2017-10-13",65
"2017-10-14",71
"2017-10-15",84
"2017-10-16",85
"2017-10-17",81
"2017-10-18",82
"2017-10-19",62
"2017-10-20",52
"2017-10-21",58
"2017-10-22",70
"2017-10-23",75
"2017-10-24",69
"2017-10-25",68
"2017-10-26",55
"2017-10-27",45
"2017-10-28",49
"2017-10-29",66
"2017-10-30",61
"2017-10-31",53
"2017-11-01",60
"2017-11-02",52
"2017-11-03",42
"2017-11-04",47
"2017-11-05",64
"2017-11-06",53
"2017-11-07",54
"2017-11-08",50
"2017-11-09",40
"2017-11-10",37
"2017-11-11",43
"2017-11-12",55
"2017-11-13",47
"2017-11-14",47
"2017-11-15",42
"2017-11-16",42
"2017-11-17",31
"2017-11-18",37
"2017-11-19",52
"2017-11-20",45
"2017-11-21",45
"2017-11-22",40
"2017-11-23",35
"2017-11-24",30
"2017-11-25",35
"2017-11-26",41
"2017-11-27",41
"2017-11-28",40
"2017-11-29",35
"2017-11-30",32
"2017-12-01",34
"2017-12-02",38
"2017-12-03",50
"2017-12-04",42
"2017-12-05",46
"2017-12-06",46
"2017-12-07",40
"2017-12-08",37
"2017-12-09",38
"2017-12-10",52
"2017-12-11",54
"2017-12-12",50
"2017-12-13",42
"2017-12-14",35
"2017-12-15",28
"2017-12-16",33
"2017-12-17",46
"2017-12-18",45
"2017-12-19",44
"2017-12-20",39
"2017-12-21",34
"2017-12-22",27
"2017-12-23",25
"2017-12-24",34
"2017-12-25",36
"2017-12-26",40
"2017-12-27",36
"2017-12-28",28
"2017-12-29",26
"2017-12-30",27
"2017-12-31",29
"2018-01-01",34
"2018-01-02",30
"2018-01-03",33
"2018-01-04",27
"2018-01-05",29
"2018-01-06",29
"2018-01-07",38
"2018-01-08",35
"2018-01-09",35
"2018-01-10",33
"2018-01-11",33
"2018-01-12",26
"2018-01-13",32
"2018-01-14",35
"2018-01-15",40
"2018-01-16",37
"2018-01-17",30
"2018-01-18",31
"2018-01-19",26
"2018-01-20",29
"2018-01-21",35
"2018-01-22",37
"2018-01-23",35
"2018-01-24",37
"2018-01-25",36
"2018-01-26",30
"2018-01-27",27
"2018-01-28",43
"2018-01-29",37
"2018-01-30",38
"2018-01-31",37
"2018-02-01",35
"2018-02-02",31
"2018-02-03",37
"2018-02-04",53
"2018-02-05",50
"2018-02-06",43
"2018-02-07",44
"2018-02-08",38
"2018-02-09",32
"2018-02-10",32
"2018-02-11",46
"2018-02-12",32
"2018-02-13",32
"2018-02-14",24
"2018-02-15",32
"2018-02-16",29
"2018-02-17",38
"2018-02-18",55
"2018-02-19",50
"2018-02-20",45
"2018-02-21",47
"2018-02-22",43
"2018-02-23",39
"2018-02-24",35
"2018-02-25",49
"2018-02-26",46
"2018-02-27",52
"2018-02-28",47
"2018-03-01",58
"2018-03-02",43
"2018-03-03",51
"2018-03-04",77
"2018-03-05",57
"2018-03-06",55
"2018-03-07",53
"2018-03-08",51
"2018-03-09",40
"2018-03-10",54
"2018-03-11",76
"2018-03-12",67
"2018-03-13",62
"2018-03-14",58
"2018-03-15",56
"2018-03-16",45
"2018-03-17",46
"2018-03-18",73
"2018-03-19",59
"2018-03-20",52
"2018-03-21",50
"2018-03-22",44
"2018-03-23",41
"2018-03-24",46
"2018-03-25",69
"2018-03-26",59
"2018-03-27",57
"2018-03-28",49
"2018-03-29",47
"2018-03-30",35
"2018-03-31",42
"2018-04-01",54
"2018-04-02",38
"2018-04-03",37
"2018-04-04",34
"2018-04-05",32
"2018-04-06",27
"2018-04-07",29
"2018-04-08",41
"2018-04-09",31
"2018-04-10",32
"2018-04-11",32
"2018-04-12",29
"2018-04-13",26
"2018-04-14",28
"2018-04-15",38
"2018-04-16",38
"2018-04-17",38
"2018-04-18",30
"2018-04-19",25
