네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자코트"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",3
"2017-08-04",5
"2017-08-05",4
"2017-08-06",5
"2017-08-07",5
"2017-08-08",4
"2017-08-09",5
"2017-08-10",5
"2017-08-11",3
"2017-08-12",5
"2017-08-13",5
"2017-08-14",5
"2017-08-15",7
"2017-08-16",6
"2017-08-17",6
"2017-08-18",6
"2017-08-19",5
"2017-08-20",4
"2017-08-21",7
"2017-08-22",5
"2017-08-23",6
"2017-08-24",6
"2017-08-25",6
"2017-08-26",5
"2017-08-27",7
"2017-08-28",6
"2017-08-29",5
"2017-08-30",6
"2017-08-31",7
"2017-09-01",7
"2017-09-02",7
"2017-09-03",11
"2017-09-04",9
"2017-09-05",9
"2017-09-06",10
"2017-09-07",11
"2017-09-08",7
"2017-09-09",7
"2017-09-10",9
"2017-09-11",8
"2017-09-12",8
"2017-09-13",7
"2017-09-14",8
"2017-09-15",7
"2017-09-16",9
"2017-09-17",9
"2017-09-18",10
"2017-09-19",8
"2017-09-20",8
"2017-09-21",8
"2017-09-22",6
"2017-09-23",8
"2017-09-24",9
"2017-09-25",8
"2017-09-26",9
"2017-09-27",8
"2017-09-28",8
"2017-09-29",9
"2017-09-30",12
"2017-10-01",15
"2017-10-02",12
"2017-10-03",14
"2017-10-04",15
"2017-10-05",18
"2017-10-06",18
"2017-10-07",16
"2017-10-08",16
"2017-10-09",19
"2017-10-10",17
"2017-10-11",17
"2017-10-12",28
"2017-10-13",30
"2017-10-14",26
"2017-10-15",35
"2017-10-16",39
"2017-10-17",36
"2017-10-18",34
"2017-10-19",30
"2017-10-20",30
"2017-10-21",24
"2017-10-22",37
"2017-10-23",43
"2017-10-24",41
"2017-10-25",46
"2017-10-26",36
"2017-10-27",30
"2017-10-28",32
"2017-10-29",57
"2017-10-30",70
"2017-10-31",71
"2017-11-01",67
"2017-11-02",63
"2017-11-03",60
"2017-11-04",66
"2017-11-05",88
"2017-11-06",93
"2017-11-07",83
"2017-11-08",79
"2017-11-09",70
"2017-11-10",59
"2017-11-11",78
"2017-11-12",98
"2017-11-13",99
"2017-11-14",98
"2017-11-15",95
"2017-11-16",86
"2017-11-17",68
"2017-11-18",73
"2017-11-19",100
"2017-11-20",98
"2017-11-21",82
"2017-11-22",76
"2017-11-23",71
"2017-11-24",58
"2017-11-25",60
"2017-11-26",78
"2017-11-27",68
"2017-11-28",70
"2017-11-29",65
"2017-11-30",57
"2017-12-01",48
"2017-12-02",49
"2017-12-03",75
"2017-12-04",72
"2017-12-05",64
"2017-12-06",59
"2017-12-07",56
"2017-12-08",49
"2017-12-09",51
"2017-12-10",69
"2017-12-11",63
"2017-12-12",61
"2017-12-13",55
"2017-12-14",50
"2017-12-15",40
"2017-12-16",37
"2017-12-17",56
"2017-12-18",59
"2017-12-19",49
"2017-12-20",51
"2017-12-21",37
"2017-12-22",32
"2017-12-23",36
"2017-12-24",43
"2017-12-25",56
"2017-12-26",48
"2017-12-27",40
"2017-12-28",39
"2017-12-29",33
"2017-12-30",34
"2017-12-31",41
"2018-01-01",48
"2018-01-02",41
"2018-01-03",40
"2018-01-04",35
"2018-01-05",29
"2018-01-06",37
"2018-01-07",50
"2018-01-08",48
"2018-01-09",40
"2018-01-10",35
"2018-01-11",33
"2018-01-12",24
"2018-01-13",30
"2018-01-14",40
"2018-01-15",37
"2018-01-16",36
"2018-01-17",35
"2018-01-18",29
"2018-01-19",24
"2018-01-20",29
"2018-01-21",40
"2018-01-22",37
"2018-01-23",34
"2018-01-24",35
"2018-01-25",29
"2018-01-26",23
"2018-01-27",26
"2018-01-28",39
"2018-01-29",34
"2018-01-30",33
"2018-01-31",29
"2018-02-01",33
"2018-02-02",23
"2018-02-03",35
"2018-02-04",46
"2018-02-05",39
"2018-02-06",32
"2018-02-07",28
"2018-02-08",27
"2018-02-09",22
"2018-02-10",22
"2018-02-11",31
"2018-02-12",22
"2018-02-13",19
"2018-02-14",20
"2018-02-15",17
"2018-02-16",17
"2018-02-17",24
"2018-02-18",26
"2018-02-19",28
"2018-02-20",25
"2018-02-21",25
"2018-02-22",21
"2018-02-23",18
"2018-02-24",20
"2018-02-25",22
"2018-02-26",24
"2018-02-27",24
"2018-02-28",19
"2018-03-01",24
"2018-03-02",18
"2018-03-03",18
"2018-03-04",19
"2018-03-05",15
"2018-03-06",17
"2018-03-07",18
"2018-03-08",14
"2018-03-09",13
"2018-03-10",14
"2018-03-11",18
"2018-03-12",16
"2018-03-13",12
"2018-03-14",13
"2018-03-15",8
"2018-03-16",6
"2018-03-17",8
"2018-03-18",12
"2018-03-19",9
"2018-03-20",8
"2018-03-21",9
"2018-03-22",8
"2018-03-23",10
"2018-03-24",9
"2018-03-25",11
"2018-03-26",10
"2018-03-27",8
"2018-03-28",6
"2018-03-29",5
"2018-03-30",4
"2018-03-31",4
"2018-04-01",6
"2018-04-02",4
"2018-04-03",4
"2018-04-04",5
"2018-04-05",4
"2018-04-06",3
"2018-04-07",5
"2018-04-08",5
"2018-04-09",6
"2018-04-10",3
"2018-04-11",4
"2018-04-12",3
"2018-04-13",3
"2018-04-14",3
"2018-04-15",4
"2018-04-16",3
"2018-04-17",3
"2018-04-18",3
"2018-04-19",2
