네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성트레이닝세트"
"2017-08-01",25
"2017-08-02",26
"2017-08-03",19
"2017-08-04",17
"2017-08-05",18
"2017-08-06",28
"2017-08-07",32
"2017-08-08",28
"2017-08-09",26
"2017-08-10",23
"2017-08-11",17
"2017-08-12",18
"2017-08-13",24
"2017-08-14",25
"2017-08-15",31
"2017-08-16",30
"2017-08-17",28
"2017-08-18",23
"2017-08-19",20
"2017-08-20",35
"2017-08-21",36
"2017-08-22",33
"2017-08-23",30
"2017-08-24",30
"2017-08-25",23
"2017-08-26",26
"2017-08-27",38
"2017-08-28",38
"2017-08-29",42
"2017-08-30",49
"2017-08-31",42
"2017-09-01",37
"2017-09-02",38
"2017-09-03",50
"2017-09-04",49
"2017-09-05",56
"2017-09-06",60
"2017-09-07",52
"2017-09-08",42
"2017-09-09",43
"2017-09-10",55
"2017-09-11",68
"2017-09-12",60
"2017-09-13",65
"2017-09-14",62
"2017-09-15",56
"2017-09-16",59
"2017-09-17",84
"2017-09-18",70
"2017-09-19",77
"2017-09-20",76
"2017-09-21",72
"2017-09-22",63
"2017-09-23",63
"2017-09-24",89
"2017-09-25",100
"2017-09-26",83
"2017-09-27",65
"2017-09-28",51
"2017-09-29",39
"2017-09-30",36
"2017-10-01",47
"2017-10-02",44
"2017-10-03",51
"2017-10-04",48
"2017-10-05",58
"2017-10-06",71
"2017-10-07",60
"2017-10-08",62
"2017-10-09",73
"2017-10-10",74
"2017-10-11",75
"2017-10-12",77
"2017-10-13",52
"2017-10-14",61
"2017-10-15",76
"2017-10-16",94
"2017-10-17",85
"2017-10-18",77
"2017-10-19",70
"2017-10-20",62
"2017-10-21",52
"2017-10-22",68
"2017-10-23",84
"2017-10-24",80
"2017-10-25",77
"2017-10-26",68
"2017-10-27",54
"2017-10-28",48
"2017-10-29",65
"2017-10-30",69
"2017-10-31",60
"2017-11-01",68
"2017-11-02",59
"2017-11-03",61
"2017-11-04",54
"2017-11-05",60
"2017-11-06",72
"2017-11-07",70
"2017-11-08",65
"2017-11-09",56
"2017-11-10",44
"2017-11-11",43
"2017-11-12",55
"2017-11-13",60
"2017-11-14",59
"2017-11-15",56
"2017-11-16",48
"2017-11-17",39
"2017-11-18",33
"2017-11-19",42
"2017-11-20",55
"2017-11-21",51
"2017-11-22",47
"2017-11-23",40
"2017-11-24",37
"2017-11-25",38
"2017-11-26",44
"2017-11-27",51
"2017-11-28",45
"2017-11-29",51
"2017-11-30",42
"2017-12-01",34
"2017-12-02",32
"2017-12-03",43
"2017-12-04",49
"2017-12-05",54
"2017-12-06",43
"2017-12-07",37
"2017-12-08",35
"2017-12-09",39
"2017-12-10",51
"2017-12-11",49
"2017-12-12",54
"2017-12-13",55
"2017-12-14",41
"2017-12-15",35
"2017-12-16",34
"2017-12-17",46
"2017-12-18",51
"2017-12-19",55
"2017-12-20",44
"2017-12-21",42
"2017-12-22",30
"2017-12-23",23
"2017-12-24",25
"2017-12-25",45
"2017-12-26",54
"2017-12-27",47
"2017-12-28",36
"2017-12-29",32
"2017-12-30",29
"2017-12-31",32
"2018-01-01",53
"2018-01-02",62
"2018-01-03",70
"2018-01-04",57
"2018-01-05",52
"2018-01-06",48
"2018-01-07",65
"2018-01-08",60
"2018-01-09",64
"2018-01-10",68
"2018-01-11",58
"2018-01-12",59
"2018-01-13",60
"2018-01-14",73
"2018-01-15",68
"2018-01-16",73
"2018-01-17",64
"2018-01-18",55
"2018-01-19",56
"2018-01-20",52
"2018-01-21",77
"2018-01-22",67
"2018-01-23",70
"2018-01-24",64
"2018-01-25",56
"2018-01-26",43
"2018-01-27",56
"2018-01-28",66
"2018-01-29",77
"2018-01-30",77
"2018-01-31",74
"2018-02-01",69
"2018-02-02",59
"2018-02-03",56
"2018-02-04",76
"2018-02-05",89
"2018-02-06",94
"2018-02-07",85
"2018-02-08",88
"2018-02-09",59
"2018-02-10",54
"2018-02-11",76
"2018-02-12",56
"2018-02-13",42
"2018-02-14",35
"2018-02-15",35
"2018-02-16",43
"2018-02-17",45
"2018-02-18",79
"2018-02-19",69
"2018-02-20",67
"2018-02-21",63
"2018-02-22",56
"2018-02-23",44
"2018-02-24",47
"2018-02-25",68
"2018-02-26",69
"2018-02-27",72
"2018-02-28",73
"2018-03-01",85
"2018-03-02",66
"2018-03-03",67
"2018-03-04",95
"2018-03-05",82
"2018-03-06",86
"2018-03-07",77
"2018-03-08",70
"2018-03-09",53
"2018-03-10",59
"2018-03-11",87
"2018-03-12",89
"2018-03-13",92
"2018-03-14",79
"2018-03-15",79
"2018-03-16",63
"2018-03-17",70
"2018-03-18",86
"2018-03-19",77
"2018-03-20",71
"2018-03-21",76
"2018-03-22",66
"2018-03-23",62
"2018-03-24",64
"2018-03-25",80
"2018-03-26",79
"2018-03-27",78
"2018-03-28",73
"2018-03-29",67
"2018-03-30",55
"2018-03-31",54
"2018-04-01",70
"2018-04-02",78
"2018-04-03",79
"2018-04-04",67
"2018-04-05",63
"2018-04-06",53
"2018-04-07",49
"2018-04-08",69
"2018-04-09",68
"2018-04-10",60
"2018-04-11",57
"2018-04-12",54
"2018-04-13",48
"2018-04-14",54
"2018-04-15",70
"2018-04-16",84
"2018-04-17",76
"2018-04-18",68
"2018-04-19",60
