네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","몽클레어여성패딩"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",3
"2017-08-05",2
"2017-08-06",3
"2017-08-07",3
"2017-08-08",3
"2017-08-09",3
"2017-08-10",4
"2017-08-11",3
"2017-08-12",3
"2017-08-13",4
"2017-08-14",4
"2017-08-15",7
"2017-08-16",5
"2017-08-17",6
"2017-08-18",5
"2017-08-19",7
"2017-08-20",6
"2017-08-21",6
"2017-08-22",5
"2017-08-23",5
"2017-08-24",6
"2017-08-25",6
"2017-08-26",6
"2017-08-27",8
"2017-08-28",7
"2017-08-29",8
"2017-08-30",9
"2017-08-31",7
"2017-09-01",9
"2017-09-02",10
"2017-09-03",11
"2017-09-04",8
"2017-09-05",7
"2017-09-06",10
"2017-09-07",9
"2017-09-08",8
"2017-09-09",7
"2017-09-10",7
"2017-09-11",8
"2017-09-12",7
"2017-09-13",8
"2017-09-14",9
"2017-09-15",9
"2017-09-16",7
"2017-09-17",10
"2017-09-18",9
"2017-09-19",8
"2017-09-20",8
"2017-09-21",10
"2017-09-22",10
"2017-09-23",8
"2017-09-24",9
"2017-09-25",8
"2017-09-26",12
"2017-09-27",12
"2017-09-28",10
"2017-09-29",12
"2017-09-30",11
"2017-10-01",16
"2017-10-02",14
"2017-10-03",12
"2017-10-04",13
"2017-10-05",16
"2017-10-06",20
"2017-10-07",20
"2017-10-08",17
"2017-10-09",17
"2017-10-10",15
"2017-10-11",20
"2017-10-12",29
"2017-10-13",27
"2017-10-14",24
"2017-10-15",26
"2017-10-16",24
"2017-10-17",24
"2017-10-18",29
"2017-10-19",22
"2017-10-20",22
"2017-10-21",20
"2017-10-22",24
"2017-10-23",25
"2017-10-24",26
"2017-10-25",28
"2017-10-26",27
"2017-10-27",27
"2017-10-28",26
"2017-10-29",32
"2017-10-30",50
"2017-10-31",50
"2017-11-01",41
"2017-11-02",39
"2017-11-03",39
"2017-11-04",49
"2017-11-05",53
"2017-11-06",57
"2017-11-07",44
"2017-11-08",49
"2017-11-09",49
"2017-11-10",40
"2017-11-11",52
"2017-11-12",61
"2017-11-13",60
"2017-11-14",61
"2017-11-15",72
"2017-11-16",88
"2017-11-17",85
"2017-11-18",86
"2017-11-19",100
"2017-11-20",100
"2017-11-21",93
"2017-11-22",92
"2017-11-23",90
"2017-11-24",77
"2017-11-25",81
"2017-11-26",74
"2017-11-27",69
"2017-11-28",62
"2017-11-29",66
"2017-11-30",62
"2017-12-01",69
"2017-12-02",69
"2017-12-03",68
"2017-12-04",62
"2017-12-05",61
"2017-12-06",67
"2017-12-07",60
"2017-12-08",56
"2017-12-09",62
"2017-12-10",70
"2017-12-11",62
"2017-12-12",62
"2017-12-13",65
"2017-12-14",58
"2017-12-15",53
"2017-12-16",54
"2017-12-17",63
"2017-12-18",56
"2017-12-19",46
"2017-12-20",47
"2017-12-21",42
"2017-12-22",31
"2017-12-23",38
"2017-12-24",39
"2017-12-25",45
"2017-12-26",39
"2017-12-27",40
"2017-12-28",34
"2017-12-29",32
"2017-12-30",29
"2017-12-31",29
"2018-01-01",27
"2018-01-02",26
"2018-01-03",35
"2018-01-04",30
"2018-01-05",27
"2018-01-06",27
"2018-01-07",30
"2018-01-08",26
"2018-01-09",30
"2018-01-10",31
"2018-01-11",32
"2018-01-12",28
"2018-01-13",35
"2018-01-14",33
"2018-01-15",25
"2018-01-16",23
"2018-01-17",22
"2018-01-18",19
"2018-01-19",20
"2018-01-20",30
"2018-01-21",30
"2018-01-22",24
"2018-01-23",27
"2018-01-24",30
"2018-01-25",30
"2018-01-26",31
"2018-01-27",36
"2018-01-28",40
"2018-01-29",34
"2018-01-30",28
"2018-01-31",24
"2018-02-01",19
"2018-02-02",18
"2018-02-03",22
"2018-02-04",24
"2018-02-05",23
"2018-02-06",21
"2018-02-07",19
"2018-02-08",19
"2018-02-09",13
"2018-02-10",15
"2018-02-11",17
"2018-02-12",14
"2018-02-13",12
"2018-02-14",12
"2018-02-15",12
"2018-02-16",14
"2018-02-17",17
"2018-02-18",18
"2018-02-19",13
"2018-02-20",13
"2018-02-21",12
"2018-02-22",12
"2018-02-23",11
"2018-02-24",11
"2018-02-25",17
"2018-02-26",11
"2018-02-27",10
"2018-02-28",8
"2018-03-01",11
"2018-03-02",11
"2018-03-03",11
"2018-03-04",10
"2018-03-05",8
"2018-03-06",6
"2018-03-07",7
"2018-03-08",9
"2018-03-09",7
"2018-03-10",8
"2018-03-11",7
"2018-03-12",5
"2018-03-13",4
"2018-03-14",2
"2018-03-15",4
"2018-03-16",3
"2018-03-17",3
"2018-03-18",3
"2018-03-19",3
"2018-03-20",3
"2018-03-21",4
"2018-03-22",4
"2018-03-23",3
"2018-03-24",3
"2018-03-25",2
"2018-03-26",1
"2018-03-27",2
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",2
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",1
"2018-04-18",
"2018-04-19",1
