네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여름원피스"
"2017-08-01",58
"2017-08-02",59
"2017-08-03",61
"2017-08-04",48
"2017-08-05",51
"2017-08-06",60
"2017-08-07",45
"2017-08-08",45
"2017-08-09",43
"2017-08-10",30
"2017-08-11",27
"2017-08-12",23
"2017-08-13",27
"2017-08-14",23
"2017-08-15",26
"2017-08-16",24
"2017-08-17",18
"2017-08-18",16
"2017-08-19",21
"2017-08-20",27
"2017-08-21",25
"2017-08-22",31
"2017-08-23",31
"2017-08-24",33
"2017-08-25",26
"2017-08-26",27
"2017-08-27",34
"2017-08-28",27
"2017-08-29",29
"2017-08-30",31
"2017-08-31",25
"2017-09-01",23
"2017-09-02",30
"2017-09-03",32
"2017-09-04",35
"2017-09-05",38
"2017-09-06",42
"2017-09-07",35
"2017-09-08",30
"2017-09-09",36
"2017-09-10",46
"2017-09-11",44
"2017-09-12",46
"2017-09-13",39
"2017-09-14",39
"2017-09-15",34
"2017-09-16",34
"2017-09-17",49
"2017-09-18",46
"2017-09-19",47
"2017-09-20",41
"2017-09-21",43
"2017-09-22",38
"2017-09-23",38
"2017-09-24",50
"2017-09-25",50
"2017-09-26",42
"2017-09-27",38
"2017-09-28",26
"2017-09-29",21
"2017-09-30",17
"2017-10-01",23
"2017-10-02",23
"2017-10-03",25
"2017-10-04",24
"2017-10-05",25
"2017-10-06",30
"2017-10-07",36
"2017-10-08",37
"2017-10-09",48
"2017-10-10",40
"2017-10-11",39
"2017-10-12",34
"2017-10-13",40
"2017-10-14",33
"2017-10-15",45
"2017-10-16",45
"2017-10-17",51
"2017-10-18",48
"2017-10-19",44
"2017-10-20",41
"2017-10-21",50
"2017-10-22",52
"2017-10-23",54
"2017-10-24",51
"2017-10-25",47
"2017-10-26",43
"2017-10-27",40
"2017-10-28",39
"2017-10-29",54
"2017-10-30",46
"2017-10-31",43
"2017-11-01",52
"2017-11-02",40
"2017-11-03",45
"2017-11-04",50
"2017-11-05",56
"2017-11-06",62
"2017-11-07",61
"2017-11-08",60
"2017-11-09",57
"2017-11-10",51
"2017-11-11",49
"2017-11-12",61
"2017-11-13",58
"2017-11-14",65
"2017-11-15",54
"2017-11-16",50
"2017-11-17",47
"2017-11-18",47
"2017-11-19",62
"2017-11-20",50
"2017-11-21",62
"2017-11-22",57
"2017-11-23",52
"2017-11-24",46
"2017-11-25",45
"2017-11-26",63
"2017-11-27",56
"2017-11-28",56
"2017-11-29",53
"2017-11-30",49
"2017-12-01",47
"2017-12-02",58
"2017-12-03",75
"2017-12-04",76
"2017-12-05",69
"2017-12-06",59
"2017-12-07",63
"2017-12-08",52
"2017-12-09",60
"2017-12-10",75
"2017-12-11",61
"2017-12-12",63
"2017-12-13",52
"2017-12-14",54
"2017-12-15",55
"2017-12-16",57
"2017-12-17",71
"2017-12-18",70
"2017-12-19",60
"2017-12-20",52
"2017-12-21",49
"2017-12-22",52
"2017-12-23",53
"2017-12-24",61
"2017-12-25",68
"2017-12-26",62
"2017-12-27",56
"2017-12-28",57
"2017-12-29",59
"2017-12-30",70
"2017-12-31",67
"2018-01-01",77
"2018-01-02",76
"2018-01-03",79
"2018-01-04",83
"2018-01-05",82
"2018-01-06",89
"2018-01-07",96
"2018-01-08",90
"2018-01-09",92
"2018-01-10",89
"2018-01-11",83
"2018-01-12",73
"2018-01-13",72
"2018-01-14",100
"2018-01-15",86
"2018-01-16",97
"2018-01-17",87
"2018-01-18",84
"2018-01-19",75
"2018-01-20",88
"2018-01-21",95
"2018-01-22",86
"2018-01-23",94
"2018-01-24",81
"2018-01-25",84
"2018-01-26",73
"2018-01-27",73
"2018-01-28",86
"2018-01-29",81
"2018-01-30",80
"2018-01-31",73
"2018-02-01",75
"2018-02-02",61
"2018-02-03",74
"2018-02-04",85
"2018-02-05",77
"2018-02-06",72
"2018-02-07",74
"2018-02-08",67
"2018-02-09",61
"2018-02-10",58
"2018-02-11",73
"2018-02-12",64
"2018-02-13",54
"2018-02-14",50
"2018-02-15",49
"2018-02-16",59
"2018-02-17",67
"2018-02-18",81
"2018-02-19",62
"2018-02-20",65
"2018-02-21",60
"2018-02-22",64
"2018-02-23",54
"2018-02-24",62
"2018-02-25",66
"2018-02-26",75
"2018-02-27",64
"2018-02-28",68
"2018-03-01",76
"2018-03-02",63
"2018-03-03",68
"2018-03-04",98
"2018-03-05",80
"2018-03-06",87
"2018-03-07",78
"2018-03-08",80
"2018-03-09",72
"2018-03-10",74
"2018-03-11",87
"2018-03-12",91
"2018-03-13",72
"2018-03-14",65
"2018-03-15",59
"2018-03-16",51
"2018-03-17",66
"2018-03-18",78
"2018-03-19",68
"2018-03-20",69
"2018-03-21",65
"2018-03-22",62
"2018-03-23",60
"2018-03-24",66
"2018-03-25",67
"2018-03-26",53
"2018-03-27",50
"2018-03-28",52
"2018-03-29",58
"2018-03-30",55
"2018-03-31",57
"2018-04-01",69
"2018-04-02",71
"2018-04-03",73
"2018-04-04",63
"2018-04-05",59
"2018-04-06",53
"2018-04-07",53
"2018-04-08",61
"2018-04-09",55
"2018-04-10",54
"2018-04-11",57
"2018-04-12",46
"2018-04-13",45
"2018-04-14",48
"2018-04-15",52
"2018-04-16",46
"2018-04-17",54
"2018-04-18",46
"2018-04-19",51
