네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","플라워원피스"
"2017-08-01",18
"2017-08-02",18
"2017-08-03",15
"2017-08-04",15
"2017-08-05",15
"2017-08-06",15
"2017-08-07",13
"2017-08-08",14
"2017-08-09",12
"2017-08-10",14
"2017-08-11",9
"2017-08-12",10
"2017-08-13",15
"2017-08-14",9
"2017-08-15",13
"2017-08-16",10
"2017-08-17",10
"2017-08-18",9
"2017-08-19",11
"2017-08-20",14
"2017-08-21",10
"2017-08-22",14
"2017-08-23",11
"2017-08-24",9
"2017-08-25",9
"2017-08-26",13
"2017-08-27",14
"2017-08-28",14
"2017-08-29",13
"2017-08-30",13
"2017-08-31",14
"2017-09-01",12
"2017-09-02",15
"2017-09-03",20
"2017-09-04",18
"2017-09-05",18
"2017-09-06",20
"2017-09-07",18
"2017-09-08",16
"2017-09-09",19
"2017-09-10",23
"2017-09-11",19
"2017-09-12",25
"2017-09-13",22
"2017-09-14",23
"2017-09-15",22
"2017-09-16",25
"2017-09-17",35
"2017-09-18",27
"2017-09-19",26
"2017-09-20",28
"2017-09-21",26
"2017-09-22",21
"2017-09-23",22
"2017-09-24",28
"2017-09-25",30
"2017-09-26",34
"2017-09-27",29
"2017-09-28",21
"2017-09-29",18
"2017-09-30",18
"2017-10-01",22
"2017-10-02",18
"2017-10-03",17
"2017-10-04",18
"2017-10-05",15
"2017-10-06",21
"2017-10-07",21
"2017-10-08",31
"2017-10-09",33
"2017-10-10",24
"2017-10-11",23
"2017-10-12",22
"2017-10-13",20
"2017-10-14",17
"2017-10-15",31
"2017-10-16",25
"2017-10-17",23
"2017-10-18",23
"2017-10-19",19
"2017-10-20",21
"2017-10-21",19
"2017-10-22",26
"2017-10-23",22
"2017-10-24",22
"2017-10-25",17
"2017-10-26",19
"2017-10-27",16
"2017-10-28",21
"2017-10-29",24
"2017-10-30",16
"2017-10-31",19
"2017-11-01",15
"2017-11-02",17
"2017-11-03",13
"2017-11-04",12
"2017-11-05",17
"2017-11-06",19
"2017-11-07",20
"2017-11-08",19
"2017-11-09",16
"2017-11-10",13
"2017-11-11",16
"2017-11-12",17
"2017-11-13",12
"2017-11-14",12
"2017-11-15",13
"2017-11-16",13
"2017-11-17",9
"2017-11-18",11
"2017-11-19",12
"2017-11-20",15
"2017-11-21",14
"2017-11-22",10
"2017-11-23",12
"2017-11-24",9
"2017-11-25",11
"2017-11-26",13
"2017-11-27",14
"2017-11-28",14
"2017-11-29",13
"2017-11-30",11
"2017-12-01",13
"2017-12-02",15
"2017-12-03",24
"2017-12-04",17
"2017-12-05",18
"2017-12-06",18
"2017-12-07",19
"2017-12-08",18
"2017-12-09",20
"2017-12-10",26
"2017-12-11",21
"2017-12-12",20
"2017-12-13",17
"2017-12-14",14
"2017-12-15",13
"2017-12-16",12
"2017-12-17",17
"2017-12-18",16
"2017-12-19",17
"2017-12-20",17
"2017-12-21",13
"2017-12-22",13
"2017-12-23",13
"2017-12-24",15
"2017-12-25",19
"2017-12-26",19
"2017-12-27",17
"2017-12-28",16
"2017-12-29",15
"2017-12-30",22
"2017-12-31",17
"2018-01-01",20
"2018-01-02",23
"2018-01-03",28
"2018-01-04",27
"2018-01-05",22
"2018-01-06",25
"2018-01-07",34
"2018-01-08",30
"2018-01-09",27
"2018-01-10",26
"2018-01-11",23
"2018-01-12",24
"2018-01-13",27
"2018-01-14",31
"2018-01-15",28
"2018-01-16",35
"2018-01-17",31
"2018-01-18",30
"2018-01-19",29
"2018-01-20",38
"2018-01-21",44
"2018-01-22",38
"2018-01-23",38
"2018-01-24",29
"2018-01-25",29
"2018-01-26",27
"2018-01-27",29
"2018-01-28",34
"2018-01-29",26
"2018-01-30",35
"2018-01-31",30
"2018-02-01",31
"2018-02-02",25
"2018-02-03",26
"2018-02-04",42
"2018-02-05",36
"2018-02-06",31
"2018-02-07",30
"2018-02-08",28
"2018-02-09",24
"2018-02-10",26
"2018-02-11",29
"2018-02-12",24
"2018-02-13",23
"2018-02-14",24
"2018-02-15",28
"2018-02-16",30
"2018-02-17",25
"2018-02-18",38
"2018-02-19",33
"2018-02-20",35
"2018-02-21",39
"2018-02-22",32
"2018-02-23",28
"2018-02-24",31
"2018-02-25",45
"2018-02-26",41
"2018-02-27",39
"2018-02-28",40
"2018-03-01",46
"2018-03-02",49
"2018-03-03",57
"2018-03-04",72
"2018-03-05",58
"2018-03-06",61
"2018-03-07",57
"2018-03-08",57
"2018-03-09",47
"2018-03-10",53
"2018-03-11",67
"2018-03-12",59
"2018-03-13",66
"2018-03-14",71
"2018-03-15",67
"2018-03-16",60
"2018-03-17",62
"2018-03-18",100
"2018-03-19",78
"2018-03-20",68
"2018-03-21",65
"2018-03-22",66
"2018-03-23",65
"2018-03-24",68
"2018-03-25",84
"2018-03-26",80
"2018-03-27",68
"2018-03-28",71
"2018-03-29",74
"2018-03-30",60
"2018-03-31",73
"2018-04-01",77
"2018-04-02",72
"2018-04-03",60
"2018-04-04",56
"2018-04-05",49
"2018-04-06",42
"2018-04-07",47
"2018-04-08",57
"2018-04-09",46
"2018-04-10",56
"2018-04-11",50
"2018-04-12",45
"2018-04-13",43
"2018-04-14",49
"2018-04-15",52
"2018-04-16",45
"2018-04-17",47
"2018-04-18",46
"2018-04-19",43
