네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","롱원피스"
"2017-08-01",58
"2017-08-02",60
"2017-08-03",60
"2017-08-04",48
"2017-08-05",49
"2017-08-06",63
"2017-08-07",56
"2017-08-08",58
"2017-08-09",53
"2017-08-10",47
"2017-08-11",39
"2017-08-12",42
"2017-08-13",51
"2017-08-14",48
"2017-08-15",49
"2017-08-16",46
"2017-08-17",45
"2017-08-18",41
"2017-08-19",45
"2017-08-20",49
"2017-08-21",45
"2017-08-22",45
"2017-08-23",45
"2017-08-24",39
"2017-08-25",31
"2017-08-26",41
"2017-08-27",56
"2017-08-28",48
"2017-08-29",53
"2017-08-30",49
"2017-08-31",44
"2017-09-01",39
"2017-09-02",44
"2017-09-03",52
"2017-09-04",54
"2017-09-05",63
"2017-09-06",55
"2017-09-07",51
"2017-09-08",45
"2017-09-09",46
"2017-09-10",62
"2017-09-11",62
"2017-09-12",61
"2017-09-13",61
"2017-09-14",51
"2017-09-15",50
"2017-09-16",51
"2017-09-17",68
"2017-09-18",65
"2017-09-19",71
"2017-09-20",67
"2017-09-21",67
"2017-09-22",56
"2017-09-23",56
"2017-09-24",72
"2017-09-25",80
"2017-09-26",75
"2017-09-27",61
"2017-09-28",51
"2017-09-29",41
"2017-09-30",42
"2017-10-01",48
"2017-10-02",42
"2017-10-03",35
"2017-10-04",40
"2017-10-05",42
"2017-10-06",51
"2017-10-07",57
"2017-10-08",66
"2017-10-09",63
"2017-10-10",60
"2017-10-11",60
"2017-10-12",56
"2017-10-13",39
"2017-10-14",42
"2017-10-15",54
"2017-10-16",54
"2017-10-17",51
"2017-10-18",51
"2017-10-19",47
"2017-10-20",44
"2017-10-21",43
"2017-10-22",56
"2017-10-23",51
"2017-10-24",49
"2017-10-25",49
"2017-10-26",46
"2017-10-27",42
"2017-10-28",45
"2017-10-29",55
"2017-10-30",49
"2017-10-31",40
"2017-11-01",44
"2017-11-02",42
"2017-11-03",40
"2017-11-04",42
"2017-11-05",47
"2017-11-06",50
"2017-11-07",48
"2017-11-08",43
"2017-11-09",40
"2017-11-10",33
"2017-11-11",35
"2017-11-12",42
"2017-11-13",43
"2017-11-14",42
"2017-11-15",38
"2017-11-16",34
"2017-11-17",31
"2017-11-18",34
"2017-11-19",40
"2017-11-20",34
"2017-11-21",39
"2017-11-22",33
"2017-11-23",35
"2017-11-24",26
"2017-11-25",26
"2017-11-26",32
"2017-11-27",32
"2017-11-28",34
"2017-11-29",32
"2017-11-30",30
"2017-12-01",28
"2017-12-02",29
"2017-12-03",42
"2017-12-04",39
"2017-12-05",38
"2017-12-06",37
"2017-12-07",37
"2017-12-08",34
"2017-12-09",32
"2017-12-10",40
"2017-12-11",40
"2017-12-12",38
"2017-12-13",35
"2017-12-14",31
"2017-12-15",27
"2017-12-16",28
"2017-12-17",36
"2017-12-18",32
"2017-12-19",33
"2017-12-20",27
"2017-12-21",26
"2017-12-22",20
"2017-12-23",22
"2017-12-24",26
"2017-12-25",32
"2017-12-26",35
"2017-12-27",30
"2017-12-28",29
"2017-12-29",24
"2017-12-30",28
"2017-12-31",26
"2018-01-01",34
"2018-01-02",33
"2018-01-03",35
"2018-01-04",34
"2018-01-05",30
"2018-01-06",36
"2018-01-07",46
"2018-01-08",42
"2018-01-09",39
"2018-01-10",37
"2018-01-11",40
"2018-01-12",32
"2018-01-13",36
"2018-01-14",43
"2018-01-15",44
"2018-01-16",43
"2018-01-17",47
"2018-01-18",41
"2018-01-19",36
"2018-01-20",42
"2018-01-21",56
"2018-01-22",51
"2018-01-23",44
"2018-01-24",46
"2018-01-25",45
"2018-01-26",33
"2018-01-27",37
"2018-01-28",48
"2018-01-29",47
"2018-01-30",45
"2018-01-31",45
"2018-02-01",44
"2018-02-02",38
"2018-02-03",44
"2018-02-04",50
"2018-02-05",51
"2018-02-06",55
"2018-02-07",44
"2018-02-08",49
"2018-02-09",41
"2018-02-10",41
"2018-02-11",53
"2018-02-12",41
"2018-02-13",34
"2018-02-14",32
"2018-02-15",35
"2018-02-16",38
"2018-02-17",37
"2018-02-18",58
"2018-02-19",55
"2018-02-20",53
"2018-02-21",49
"2018-02-22",52
"2018-02-23",45
"2018-02-24",49
"2018-02-25",66
"2018-02-26",58
"2018-02-27",56
"2018-02-28",60
"2018-03-01",62
"2018-03-02",48
"2018-03-03",56
"2018-03-04",81
"2018-03-05",61
"2018-03-06",64
"2018-03-07",71
"2018-03-08",62
"2018-03-09",59
"2018-03-10",63
"2018-03-11",85
"2018-03-12",80
"2018-03-13",85
"2018-03-14",83
"2018-03-15",85
"2018-03-16",78
"2018-03-17",76
"2018-03-18",97
"2018-03-19",85
"2018-03-20",82
"2018-03-21",70
"2018-03-22",65
"2018-03-23",66
"2018-03-24",70
"2018-03-25",88
"2018-03-26",86
"2018-03-27",85
"2018-03-28",86
"2018-03-29",78
"2018-03-30",76
"2018-03-31",84
"2018-04-01",100
"2018-04-02",100
"2018-04-03",97
"2018-04-04",87
"2018-04-05",78
"2018-04-06",68
"2018-04-07",69
"2018-04-08",82
"2018-04-09",84
"2018-04-10",95
"2018-04-11",97
"2018-04-12",97
"2018-04-13",79
"2018-04-14",86
"2018-04-15",92
"2018-04-16",93
"2018-04-17",99
"2018-04-18",96
"2018-04-19",87
