네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","셔츠원피스"
"2017-08-01",36
"2017-08-02",33
"2017-08-03",34
"2017-08-04",31
"2017-08-05",33
"2017-08-06",39
"2017-08-07",39
"2017-08-08",44
"2017-08-09",43
"2017-08-10",38
"2017-08-11",36
"2017-08-12",38
"2017-08-13",44
"2017-08-14",45
"2017-08-15",60
"2017-08-16",54
"2017-08-17",55
"2017-08-18",48
"2017-08-19",51
"2017-08-20",66
"2017-08-21",63
"2017-08-22",63
"2017-08-23",62
"2017-08-24",58
"2017-08-25",52
"2017-08-26",46
"2017-08-27",67
"2017-08-28",65
"2017-08-29",74
"2017-08-30",67
"2017-08-31",61
"2017-09-01",56
"2017-09-02",54
"2017-09-03",78
"2017-09-04",70
"2017-09-05",74
"2017-09-06",65
"2017-09-07",65
"2017-09-08",52
"2017-09-09",58
"2017-09-10",79
"2017-09-11",81
"2017-09-12",78
"2017-09-13",68
"2017-09-14",58
"2017-09-15",49
"2017-09-16",49
"2017-09-17",72
"2017-09-18",65
"2017-09-19",66
"2017-09-20",65
"2017-09-21",58
"2017-09-22",50
"2017-09-23",46
"2017-09-24",63
"2017-09-25",70
"2017-09-26",61
"2017-09-27",53
"2017-09-28",35
"2017-09-29",24
"2017-09-30",24
"2017-10-01",26
"2017-10-02",21
"2017-10-03",25
"2017-10-04",28
"2017-10-05",26
"2017-10-06",27
"2017-10-07",32
"2017-10-08",42
"2017-10-09",45
"2017-10-10",39
"2017-10-11",32
"2017-10-12",28
"2017-10-13",19
"2017-10-14",19
"2017-10-15",23
"2017-10-16",23
"2017-10-17",22
"2017-10-18",24
"2017-10-19",20
"2017-10-20",20
"2017-10-21",18
"2017-10-22",20
"2017-10-23",21
"2017-10-24",19
"2017-10-25",18
"2017-10-26",14
"2017-10-27",13
"2017-10-28",15
"2017-10-29",14
"2017-10-30",14
"2017-10-31",12
"2017-11-01",12
"2017-11-02",14
"2017-11-03",12
"2017-11-04",12
"2017-11-05",15
"2017-11-06",12
"2017-11-07",15
"2017-11-08",14
"2017-11-09",11
"2017-11-10",8
"2017-11-11",9
"2017-11-12",12
"2017-11-13",15
"2017-11-14",12
"2017-11-15",9
"2017-11-16",8
"2017-11-17",7
"2017-11-18",6
"2017-11-19",11
"2017-11-20",12
"2017-11-21",9
"2017-11-22",7
"2017-11-23",9
"2017-11-24",5
"2017-11-25",9
"2017-11-26",8
"2017-11-27",9
"2017-11-28",10
"2017-11-29",9
"2017-11-30",7
"2017-12-01",5
"2017-12-02",7
"2017-12-03",10
"2017-12-04",12
"2017-12-05",10
"2017-12-06",7
"2017-12-07",9
"2017-12-08",6
"2017-12-09",8
"2017-12-10",10
"2017-12-11",9
"2017-12-12",10
"2017-12-13",7
"2017-12-14",9
"2017-12-15",8
"2017-12-16",4
"2017-12-17",8
"2017-12-18",10
"2017-12-19",7
"2017-12-20",6
"2017-12-21",5
"2017-12-22",4
"2017-12-23",8
"2017-12-24",8
"2017-12-25",10
"2017-12-26",7
"2017-12-27",7
"2017-12-28",4
"2017-12-29",5
"2017-12-30",6
"2017-12-31",7
"2018-01-01",7
"2018-01-02",10
"2018-01-03",10
"2018-01-04",10
"2018-01-05",9
"2018-01-06",14
"2018-01-07",12
"2018-01-08",14
"2018-01-09",13
"2018-01-10",11
"2018-01-11",11
"2018-01-12",9
"2018-01-13",10
"2018-01-14",15
"2018-01-15",17
"2018-01-16",15
"2018-01-17",15
"2018-01-18",15
"2018-01-19",13
"2018-01-20",15
"2018-01-21",19
"2018-01-22",19
"2018-01-23",20
"2018-01-24",17
"2018-01-25",15
"2018-01-26",14
"2018-01-27",17
"2018-01-28",19
"2018-01-29",20
"2018-01-30",19
"2018-01-31",21
"2018-02-01",22
"2018-02-02",23
"2018-02-03",25
"2018-02-04",27
"2018-02-05",25
"2018-02-06",24
"2018-02-07",27
"2018-02-08",23
"2018-02-09",23
"2018-02-10",25
"2018-02-11",27
"2018-02-12",23
"2018-02-13",27
"2018-02-14",23
"2018-02-15",23
"2018-02-16",23
"2018-02-17",28
"2018-02-18",34
"2018-02-19",37
"2018-02-20",40
"2018-02-21",36
"2018-02-22",34
"2018-02-23",32
"2018-02-24",35
"2018-02-25",42
"2018-02-26",37
"2018-02-27",36
"2018-02-28",34
"2018-03-01",43
"2018-03-02",31
"2018-03-03",43
"2018-03-04",55
"2018-03-05",50
"2018-03-06",45
"2018-03-07",42
"2018-03-08",44
"2018-03-09",43
"2018-03-10",49
"2018-03-11",57
"2018-03-12",58
"2018-03-13",63
"2018-03-14",67
"2018-03-15",64
"2018-03-16",55
"2018-03-17",60
"2018-03-18",74
"2018-03-19",63
"2018-03-20",64
"2018-03-21",57
"2018-03-22",46
"2018-03-23",40
"2018-03-24",48
"2018-03-25",71
"2018-03-26",63
"2018-03-27",69
"2018-03-28",76
"2018-03-29",64
"2018-03-30",54
"2018-03-31",67
"2018-04-01",91
"2018-04-02",100
"2018-04-03",99
"2018-04-04",87
"2018-04-05",74
"2018-04-06",59
"2018-04-07",59
"2018-04-08",77
"2018-04-09",67
"2018-04-10",78
"2018-04-11",73
"2018-04-12",70
"2018-04-13",53
"2018-04-14",64
"2018-04-15",74
"2018-04-16",72
"2018-04-17",77
"2018-04-18",69
"2018-04-19",63
