네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","랩원피스"
"2017-08-01",86
"2017-08-02",87
"2017-08-03",84
"2017-08-04",72
"2017-08-05",74
"2017-08-06",84
"2017-08-07",83
"2017-08-08",79
"2017-08-09",74
"2017-08-10",79
"2017-08-11",59
"2017-08-12",59
"2017-08-13",80
"2017-08-14",70
"2017-08-15",73
"2017-08-16",68
"2017-08-17",68
"2017-08-18",64
"2017-08-19",56
"2017-08-20",80
"2017-08-21",77
"2017-08-22",67
"2017-08-23",77
"2017-08-24",66
"2017-08-25",61
"2017-08-26",62
"2017-08-27",85
"2017-08-28",77
"2017-08-29",73
"2017-08-30",61
"2017-08-31",63
"2017-09-01",58
"2017-09-02",65
"2017-09-03",75
"2017-09-04",70
"2017-09-05",69
"2017-09-06",68
"2017-09-07",61
"2017-09-08",51
"2017-09-09",57
"2017-09-10",66
"2017-09-11",71
"2017-09-12",63
"2017-09-13",60
"2017-09-14",61
"2017-09-15",50
"2017-09-16",53
"2017-09-17",69
"2017-09-18",72
"2017-09-19",67
"2017-09-20",61
"2017-09-21",48
"2017-09-22",46
"2017-09-23",45
"2017-09-24",58
"2017-09-25",59
"2017-09-26",58
"2017-09-27",51
"2017-09-28",36
"2017-09-29",28
"2017-09-30",31
"2017-10-01",32
"2017-10-02",28
"2017-10-03",26
"2017-10-04",29
"2017-10-05",30
"2017-10-06",27
"2017-10-07",35
"2017-10-08",40
"2017-10-09",41
"2017-10-10",42
"2017-10-11",41
"2017-10-12",33
"2017-10-13",28
"2017-10-14",29
"2017-10-15",33
"2017-10-16",37
"2017-10-17",36
"2017-10-18",40
"2017-10-19",28
"2017-10-20",28
"2017-10-21",24
"2017-10-22",34
"2017-10-23",32
"2017-10-24",32
"2017-10-25",29
"2017-10-26",29
"2017-10-27",29
"2017-10-28",22
"2017-10-29",29
"2017-10-30",30
"2017-10-31",20
"2017-11-01",24
"2017-11-02",27
"2017-11-03",21
"2017-11-04",21
"2017-11-05",26
"2017-11-06",22
"2017-11-07",25
"2017-11-08",24
"2017-11-09",22
"2017-11-10",16
"2017-11-11",14
"2017-11-12",24
"2017-11-13",21
"2017-11-14",25
"2017-11-15",16
"2017-11-16",17
"2017-11-17",19
"2017-11-18",20
"2017-11-19",17
"2017-11-20",23
"2017-11-21",20
"2017-11-22",21
"2017-11-23",16
"2017-11-24",14
"2017-11-25",19
"2017-11-26",18
"2017-11-27",24
"2017-11-28",21
"2017-11-29",21
"2017-11-30",21
"2017-12-01",19
"2017-12-02",23
"2017-12-03",22
"2017-12-04",20
"2017-12-05",24
"2017-12-06",26
"2017-12-07",24
"2017-12-08",18
"2017-12-09",20
"2017-12-10",25
"2017-12-11",28
"2017-12-12",21
"2017-12-13",18
"2017-12-14",22
"2017-12-15",19
"2017-12-16",21
"2017-12-17",24
"2017-12-18",28
"2017-12-19",23
"2017-12-20",18
"2017-12-21",17
"2017-12-22",14
"2017-12-23",11
"2017-12-24",15
"2017-12-25",18
"2017-12-26",19
"2017-12-27",21
"2017-12-28",14
"2017-12-29",11
"2017-12-30",14
"2017-12-31",17
"2018-01-01",19
"2018-01-02",18
"2018-01-03",16
"2018-01-04",16
"2018-01-05",18
"2018-01-06",19
"2018-01-07",24
"2018-01-08",24
"2018-01-09",19
"2018-01-10",19
"2018-01-11",21
"2018-01-12",19
"2018-01-13",23
"2018-01-14",27
"2018-01-15",24
"2018-01-16",27
"2018-01-17",27
"2018-01-18",25
"2018-01-19",23
"2018-01-20",27
"2018-01-21",34
"2018-01-22",31
"2018-01-23",30
"2018-01-24",29
"2018-01-25",27
"2018-01-26",25
"2018-01-27",23
"2018-01-28",28
"2018-01-29",28
"2018-01-30",33
"2018-01-31",29
"2018-02-01",30
"2018-02-02",28
"2018-02-03",25
"2018-02-04",40
"2018-02-05",31
"2018-02-06",35
"2018-02-07",33
"2018-02-08",33
"2018-02-09",30
"2018-02-10",26
"2018-02-11",43
"2018-02-12",31
"2018-02-13",34
"2018-02-14",26
"2018-02-15",32
"2018-02-16",32
"2018-02-17",33
"2018-02-18",49
"2018-02-19",42
"2018-02-20",45
"2018-02-21",50
"2018-02-22",43
"2018-02-23",37
"2018-02-24",40
"2018-02-25",49
"2018-02-26",45
"2018-02-27",52
"2018-02-28",45
"2018-03-01",49
"2018-03-02",43
"2018-03-03",41
"2018-03-04",59
"2018-03-05",51
"2018-03-06",54
"2018-03-07",52
"2018-03-08",50
"2018-03-09",46
"2018-03-10",48
"2018-03-11",62
"2018-03-12",68
"2018-03-13",66
"2018-03-14",66
"2018-03-15",63
"2018-03-16",58
"2018-03-17",56
"2018-03-18",78
"2018-03-19",69
"2018-03-20",69
"2018-03-21",71
"2018-03-22",78
"2018-03-23",70
"2018-03-24",72
"2018-03-25",88
"2018-03-26",79
"2018-03-27",78
"2018-03-28",74
"2018-03-29",73
"2018-03-30",70
"2018-03-31",74
"2018-04-01",98
"2018-04-02",92
"2018-04-03",98
"2018-04-04",92
"2018-04-05",77
"2018-04-06",73
"2018-04-07",74
"2018-04-08",100
"2018-04-09",78
"2018-04-10",88
"2018-04-11",86
"2018-04-12",80
"2018-04-13",60
"2018-04-14",85
"2018-04-15",90
"2018-04-16",78
"2018-04-17",100
"2018-04-18",90
"2018-04-19",81
