네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","보브코트"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",4
"2017-08-04",4
"2017-08-05",4
"2017-08-06",5
"2017-08-07",5
"2017-08-08",4
"2017-08-09",5
"2017-08-10",5
"2017-08-11",5
"2017-08-12",6
"2017-08-13",7
"2017-08-14",7
"2017-08-15",11
"2017-08-16",9
"2017-08-17",9
"2017-08-18",9
"2017-08-19",10
"2017-08-20",12
"2017-08-21",10
"2017-08-22",9
"2017-08-23",9
"2017-08-24",7
"2017-08-25",9
"2017-08-26",8
"2017-08-27",13
"2017-08-28",8
"2017-08-29",10
"2017-08-30",9
"2017-08-31",9
"2017-09-01",6
"2017-09-02",7
"2017-09-03",8
"2017-09-04",6
"2017-09-05",8
"2017-09-06",6
"2017-09-07",6
"2017-09-08",6
"2017-09-09",6
"2017-09-10",10
"2017-09-11",7
"2017-09-12",4
"2017-09-13",5
"2017-09-14",5
"2017-09-15",5
"2017-09-16",6
"2017-09-17",6
"2017-09-18",5
"2017-09-19",6
"2017-09-20",7
"2017-09-21",6
"2017-09-22",6
"2017-09-23",10
"2017-09-24",10
"2017-09-25",6
"2017-09-26",7
"2017-09-27",7
"2017-09-28",7
"2017-09-29",6
"2017-09-30",12
"2017-10-01",11
"2017-10-02",14
"2017-10-03",12
"2017-10-04",10
"2017-10-05",15
"2017-10-06",20
"2017-10-07",20
"2017-10-08",22
"2017-10-09",23
"2017-10-10",17
"2017-10-11",18
"2017-10-12",23
"2017-10-13",23
"2017-10-14",24
"2017-10-15",32
"2017-10-16",28
"2017-10-17",28
"2017-10-18",26
"2017-10-19",22
"2017-10-20",20
"2017-10-21",26
"2017-10-22",33
"2017-10-23",26
"2017-10-24",28
"2017-10-25",29
"2017-10-26",27
"2017-10-27",30
"2017-10-28",33
"2017-10-29",43
"2017-10-30",44
"2017-10-31",45
"2017-11-01",45
"2017-11-02",47
"2017-11-03",45
"2017-11-04",56
"2017-11-05",70
"2017-11-06",62
"2017-11-07",63
"2017-11-08",61
"2017-11-09",66
"2017-11-10",64
"2017-11-11",77
"2017-11-12",100
"2017-11-13",89
"2017-11-14",85
"2017-11-15",83
"2017-11-16",82
"2017-11-17",72
"2017-11-18",84
"2017-11-19",90
"2017-11-20",76
"2017-11-21",69
"2017-11-22",77
"2017-11-23",65
"2017-11-24",59
"2017-11-25",65
"2017-11-26",79
"2017-11-27",58
"2017-11-28",64
"2017-11-29",65
"2017-11-30",55
"2017-12-01",46
"2017-12-02",66
"2017-12-03",80
"2017-12-04",56
"2017-12-05",59
"2017-12-06",53
"2017-12-07",53
"2017-12-08",50
"2017-12-09",64
"2017-12-10",72
"2017-12-11",55
"2017-12-12",42
"2017-12-13",46
"2017-12-14",52
"2017-12-15",46
"2017-12-16",58
"2017-12-17",74
"2017-12-18",52
"2017-12-19",48
"2017-12-20",46
"2017-12-21",40
"2017-12-22",41
"2017-12-23",55
"2017-12-24",53
"2017-12-25",65
"2017-12-26",56
"2017-12-27",47
"2017-12-28",44
"2017-12-29",44
"2017-12-30",52
"2017-12-31",43
"2018-01-01",50
"2018-01-02",46
"2018-01-03",50
"2018-01-04",41
"2018-01-05",42
"2018-01-06",50
"2018-01-07",58
"2018-01-08",48
"2018-01-09",53
"2018-01-10",45
"2018-01-11",42
"2018-01-12",38
"2018-01-13",58
"2018-01-14",67
"2018-01-15",51
"2018-01-16",53
"2018-01-17",45
"2018-01-18",51
"2018-01-19",44
"2018-01-20",58
"2018-01-21",78
"2018-01-22",57
"2018-01-23",55
"2018-01-24",48
"2018-01-25",42
"2018-01-26",41
"2018-01-27",45
"2018-01-28",59
"2018-01-29",43
"2018-01-30",43
"2018-01-31",43
"2018-02-01",37
"2018-02-02",39
"2018-02-03",44
"2018-02-04",58
"2018-02-05",42
"2018-02-06",42
"2018-02-07",33
"2018-02-08",29
"2018-02-09",25
"2018-02-10",32
"2018-02-11",38
"2018-02-12",27
"2018-02-13",28
"2018-02-14",22
"2018-02-15",21
"2018-02-16",16
"2018-02-17",28
"2018-02-18",41
"2018-02-19",29
"2018-02-20",28
"2018-02-21",26
"2018-02-22",23
"2018-02-23",23
"2018-02-24",22
"2018-02-25",26
"2018-02-26",19
"2018-02-27",19
"2018-02-28",18
"2018-03-01",18
"2018-03-02",17
"2018-03-03",18
"2018-03-04",19
"2018-03-05",12
"2018-03-06",13
"2018-03-07",14
"2018-03-08",15
"2018-03-09",10
"2018-03-10",14
"2018-03-11",15
"2018-03-12",10
"2018-03-13",7
"2018-03-14",5
"2018-03-15",6
"2018-03-16",5
"2018-03-17",4
"2018-03-18",7
"2018-03-19",4
"2018-03-20",4
"2018-03-21",4
"2018-03-22",5
"2018-03-23",5
"2018-03-24",6
"2018-03-25",4
"2018-03-26",4
"2018-03-27",3
"2018-03-28",3
"2018-03-29",2
"2018-03-30",2
"2018-03-31",1
"2018-04-01",3
"2018-04-02",2
"2018-04-03",1
"2018-04-04",1
"2018-04-05",2
"2018-04-06",2
"2018-04-07",3
"2018-04-08",5
"2018-04-09",2
"2018-04-10",5
"2018-04-11",3
"2018-04-12",2
"2018-04-13",3
"2018-04-14",4
"2018-04-15",3
"2018-04-16",3
"2018-04-17",3
"2018-04-18",3
"2018-04-19",2
