네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","써스데이아일랜드원피스"
"2017-08-01",40
"2017-08-02",47
"2017-08-03",33
"2017-08-04",34
"2017-08-05",38
"2017-08-06",46
"2017-08-07",41
"2017-08-08",41
"2017-08-09",37
"2017-08-10",35
"2017-08-11",38
"2017-08-12",39
"2017-08-13",54
"2017-08-14",47
"2017-08-15",58
"2017-08-16",49
"2017-08-17",44
"2017-08-18",36
"2017-08-19",47
"2017-08-20",56
"2017-08-21",52
"2017-08-22",52
"2017-08-23",44
"2017-08-24",48
"2017-08-25",48
"2017-08-26",59
"2017-08-27",63
"2017-08-28",60
"2017-08-29",53
"2017-08-30",58
"2017-08-31",39
"2017-09-01",45
"2017-09-02",57
"2017-09-03",67
"2017-09-04",48
"2017-09-05",48
"2017-09-06",49
"2017-09-07",43
"2017-09-08",39
"2017-09-09",56
"2017-09-10",61
"2017-09-11",56
"2017-09-12",52
"2017-09-13",51
"2017-09-14",55
"2017-09-15",42
"2017-09-16",48
"2017-09-17",67
"2017-09-18",50
"2017-09-19",55
"2017-09-20",55
"2017-09-21",56
"2017-09-22",52
"2017-09-23",64
"2017-09-24",70
"2017-09-25",66
"2017-09-26",62
"2017-09-27",57
"2017-09-28",53
"2017-09-29",52
"2017-09-30",72
"2017-10-01",62
"2017-10-02",56
"2017-10-03",45
"2017-10-04",38
"2017-10-05",47
"2017-10-06",58
"2017-10-07",63
"2017-10-08",68
"2017-10-09",70
"2017-10-10",50
"2017-10-11",48
"2017-10-12",40
"2017-10-13",42
"2017-10-14",34
"2017-10-15",46
"2017-10-16",44
"2017-10-17",43
"2017-10-18",43
"2017-10-19",42
"2017-10-20",38
"2017-10-21",39
"2017-10-22",38
"2017-10-23",44
"2017-10-24",34
"2017-10-25",36
"2017-10-26",29
"2017-10-27",35
"2017-10-28",34
"2017-10-29",44
"2017-10-30",28
"2017-10-31",25
"2017-11-01",33
"2017-11-02",31
"2017-11-03",30
"2017-11-04",36
"2017-11-05",43
"2017-11-06",34
"2017-11-07",35
"2017-11-08",36
"2017-11-09",38
"2017-11-10",31
"2017-11-11",38
"2017-11-12",39
"2017-11-13",31
"2017-11-14",34
"2017-11-15",36
"2017-11-16",36
"2017-11-17",33
"2017-11-18",33
"2017-11-19",32
"2017-11-20",29
"2017-11-21",28
"2017-11-22",27
"2017-11-23",25
"2017-11-24",18
"2017-11-25",20
"2017-11-26",33
"2017-11-27",26
"2017-11-28",28
"2017-11-29",24
"2017-11-30",24
"2017-12-01",19
"2017-12-02",28
"2017-12-03",34
"2017-12-04",29
"2017-12-05",22
"2017-12-06",22
"2017-12-07",21
"2017-12-08",20
"2017-12-09",24
"2017-12-10",33
"2017-12-11",24
"2017-12-12",20
"2017-12-13",22
"2017-12-14",15
"2017-12-15",16
"2017-12-16",17
"2017-12-17",19
"2017-12-18",22
"2017-12-19",22
"2017-12-20",18
"2017-12-21",16
"2017-12-22",18
"2017-12-23",24
"2017-12-24",30
"2017-12-25",39
"2017-12-26",32
"2017-12-27",31
"2017-12-28",33
"2017-12-29",32
"2017-12-30",32
"2017-12-31",36
"2018-01-01",38
"2018-01-02",35
"2018-01-03",41
"2018-01-04",40
"2018-01-05",37
"2018-01-06",35
"2018-01-07",44
"2018-01-08",35
"2018-01-09",39
"2018-01-10",39
"2018-01-11",34
"2018-01-12",30
"2018-01-13",40
"2018-01-14",41
"2018-01-15",40
"2018-01-16",41
"2018-01-17",44
"2018-01-18",40
"2018-01-19",36
"2018-01-20",44
"2018-01-21",46
"2018-01-22",45
"2018-01-23",35
"2018-01-24",46
"2018-01-25",32
"2018-01-26",39
"2018-01-27",37
"2018-01-28",50
"2018-01-29",40
"2018-01-30",46
"2018-01-31",44
"2018-02-01",39
"2018-02-02",33
"2018-02-03",45
"2018-02-04",51
"2018-02-05",35
"2018-02-06",42
"2018-02-07",39
"2018-02-08",40
"2018-02-09",36
"2018-02-10",46
"2018-02-11",45
"2018-02-12",36
"2018-02-13",42
"2018-02-14",33
"2018-02-15",35
"2018-02-16",29
"2018-02-17",39
"2018-02-18",50
"2018-02-19",40
"2018-02-20",39
"2018-02-21",42
"2018-02-22",46
"2018-02-23",44
"2018-02-24",51
"2018-02-25",55
"2018-02-26",46
"2018-02-27",48
"2018-02-28",47
"2018-03-01",59
"2018-03-02",48
"2018-03-03",59
"2018-03-04",66
"2018-03-05",56
"2018-03-06",53
"2018-03-07",59
"2018-03-08",57
"2018-03-09",45
"2018-03-10",50
"2018-03-11",87
"2018-03-12",69
"2018-03-13",77
"2018-03-14",77
"2018-03-15",91
"2018-03-16",69
"2018-03-17",94
"2018-03-18",100
"2018-03-19",86
"2018-03-20",69
"2018-03-21",58
"2018-03-22",57
"2018-03-23",49
"2018-03-24",67
"2018-03-25",93
"2018-03-26",71
"2018-03-27",61
"2018-03-28",55
"2018-03-29",67
"2018-03-30",56
"2018-03-31",72
"2018-04-01",75
"2018-04-02",63
"2018-04-03",58
"2018-04-04",55
"2018-04-05",54
"2018-04-06",66
"2018-04-07",71
"2018-04-08",81
"2018-04-09",66
"2018-04-10",62
"2018-04-11",64
"2018-04-12",69
"2018-04-13",61
"2018-04-14",66
"2018-04-15",82
"2018-04-16",74
"2018-04-17",59
"2018-04-18",67
"2018-04-19",65
