네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","니트원피스"
"2017-08-01",5
"2017-08-02",5
"2017-08-03",5
"2017-08-04",4
"2017-08-05",4
"2017-08-06",6
"2017-08-07",6
"2017-08-08",5
"2017-08-09",6
"2017-08-10",7
"2017-08-11",7
"2017-08-12",6
"2017-08-13",9
"2017-08-14",9
"2017-08-15",12
"2017-08-16",12
"2017-08-17",13
"2017-08-18",11
"2017-08-19",14
"2017-08-20",15
"2017-08-21",18
"2017-08-22",14
"2017-08-23",14
"2017-08-24",16
"2017-08-25",13
"2017-08-26",15
"2017-08-27",22
"2017-08-28",21
"2017-08-29",24
"2017-08-30",28
"2017-08-31",26
"2017-09-01",23
"2017-09-02",29
"2017-09-03",31
"2017-09-04",32
"2017-09-05",32
"2017-09-06",35
"2017-09-07",31
"2017-09-08",32
"2017-09-09",32
"2017-09-10",39
"2017-09-11",37
"2017-09-12",38
"2017-09-13",37
"2017-09-14",36
"2017-09-15",33
"2017-09-16",43
"2017-09-17",50
"2017-09-18",45
"2017-09-19",46
"2017-09-20",49
"2017-09-21",45
"2017-09-22",42
"2017-09-23",41
"2017-09-24",54
"2017-09-25",49
"2017-09-26",48
"2017-09-27",45
"2017-09-28",37
"2017-09-29",37
"2017-09-30",36
"2017-10-01",47
"2017-10-02",38
"2017-10-03",42
"2017-10-04",37
"2017-10-05",52
"2017-10-06",57
"2017-10-07",63
"2017-10-08",66
"2017-10-09",68
"2017-10-10",59
"2017-10-11",62
"2017-10-12",65
"2017-10-13",60
"2017-10-14",64
"2017-10-15",77
"2017-10-16",77
"2017-10-17",73
"2017-10-18",75
"2017-10-19",67
"2017-10-20",54
"2017-10-21",62
"2017-10-22",79
"2017-10-23",74
"2017-10-24",76
"2017-10-25",78
"2017-10-26",74
"2017-10-27",62
"2017-10-28",68
"2017-10-29",91
"2017-10-30",89
"2017-10-31",83
"2017-11-01",80
"2017-11-02",80
"2017-11-03",69
"2017-11-04",76
"2017-11-05",87
"2017-11-06",90
"2017-11-07",85
"2017-11-08",83
"2017-11-09",80
"2017-11-10",68
"2017-11-11",74
"2017-11-12",95
"2017-11-13",89
"2017-11-14",91
"2017-11-15",83
"2017-11-16",85
"2017-11-17",69
"2017-11-18",79
"2017-11-19",100
"2017-11-20",88
"2017-11-21",88
"2017-11-22",81
"2017-11-23",79
"2017-11-24",63
"2017-11-25",73
"2017-11-26",89
"2017-11-27",81
"2017-11-28",80
"2017-11-29",82
"2017-11-30",68
"2017-12-01",62
"2017-12-02",75
"2017-12-03",95
"2017-12-04",90
"2017-12-05",86
"2017-12-06",81
"2017-12-07",72
"2017-12-08",61
"2017-12-09",70
"2017-12-10",90
"2017-12-11",86
"2017-12-12",76
"2017-12-13",72
"2017-12-14",63
"2017-12-15",60
"2017-12-16",65
"2017-12-17",87
"2017-12-18",73
"2017-12-19",71
"2017-12-20",62
"2017-12-21",49
"2017-12-22",37
"2017-12-23",44
"2017-12-24",50
"2017-12-25",59
"2017-12-26",54
"2017-12-27",50
"2017-12-28",44
"2017-12-29",37
"2017-12-30",38
"2017-12-31",37
"2018-01-01",44
"2018-01-02",44
"2018-01-03",50
"2018-01-04",46
"2018-01-05",41
"2018-01-06",45
"2018-01-07",54
"2018-01-08",52
"2018-01-09",50
"2018-01-10",48
"2018-01-11",47
"2018-01-12",36
"2018-01-13",40
"2018-01-14",53
"2018-01-15",45
"2018-01-16",47
"2018-01-17",45
"2018-01-18",36
"2018-01-19",30
"2018-01-20",41
"2018-01-21",47
"2018-01-22",39
"2018-01-23",39
"2018-01-24",40
"2018-01-25",35
"2018-01-26",29
"2018-01-27",34
"2018-01-28",37
"2018-01-29",38
"2018-01-30",42
"2018-01-31",35
"2018-02-01",34
"2018-02-02",27
"2018-02-03",30
"2018-02-04",39
"2018-02-05",37
"2018-02-06",38
"2018-02-07",35
"2018-02-08",32
"2018-02-09",22
"2018-02-10",23
"2018-02-11",29
"2018-02-12",20
"2018-02-13",15
"2018-02-14",16
"2018-02-15",17
"2018-02-16",18
"2018-02-17",17
"2018-02-18",25
"2018-02-19",22
"2018-02-20",23
"2018-02-21",20
"2018-02-22",19
"2018-02-23",16
"2018-02-24",18
"2018-02-25",21
"2018-02-26",19
"2018-02-27",21
"2018-02-28",15
"2018-03-01",17
"2018-03-02",13
"2018-03-03",13
"2018-03-04",18
"2018-03-05",13
"2018-03-06",15
"2018-03-07",12
"2018-03-08",15
"2018-03-09",11
"2018-03-10",13
"2018-03-11",16
"2018-03-12",14
"2018-03-13",13
"2018-03-14",12
"2018-03-15",10
"2018-03-16",9
"2018-03-17",8
"2018-03-18",11
"2018-03-19",9
"2018-03-20",11
"2018-03-21",7
"2018-03-22",11
"2018-03-23",8
"2018-03-24",7
"2018-03-25",11
"2018-03-26",8
"2018-03-27",9
"2018-03-28",8
"2018-03-29",6
"2018-03-30",5
"2018-03-31",6
"2018-04-01",8
"2018-04-02",7
"2018-04-03",7
"2018-04-04",8
"2018-04-05",6
"2018-04-06",6
"2018-04-07",6
"2018-04-08",8
"2018-04-09",6
"2018-04-10",7
"2018-04-11",8
"2018-04-12",6
"2018-04-13",6
"2018-04-14",7
"2018-04-15",9
"2018-04-16",7
"2018-04-17",8
"2018-04-18",8
"2018-04-19",8
