네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","톰보이"
"2017-08-01",32
"2017-08-02",27
"2017-08-03",27
"2017-08-04",24
"2017-08-05",28
"2017-08-06",42
"2017-08-07",34
"2017-08-08",34
"2017-08-09",45
"2017-08-10",42
"2017-08-11",30
"2017-08-12",41
"2017-08-13",51
"2017-08-14",44
"2017-08-15",62
"2017-08-16",51
"2017-08-17",57
"2017-08-18",45
"2017-08-19",51
"2017-08-20",67
"2017-08-21",53
"2017-08-22",53
"2017-08-23",55
"2017-08-24",50
"2017-08-25",37
"2017-08-26",48
"2017-08-27",69
"2017-08-28",55
"2017-08-29",68
"2017-08-30",68
"2017-08-31",53
"2017-09-01",60
"2017-09-02",58
"2017-09-03",79
"2017-09-04",51
"2017-09-05",51
"2017-09-06",57
"2017-09-07",53
"2017-09-08",47
"2017-09-09",51
"2017-09-10",64
"2017-09-11",49
"2017-09-12",43
"2017-09-13",47
"2017-09-14",50
"2017-09-15",42
"2017-09-16",64
"2017-09-17",69
"2017-09-18",46
"2017-09-19",42
"2017-09-20",51
"2017-09-21",41
"2017-09-22",45
"2017-09-23",51
"2017-09-24",61
"2017-09-25",46
"2017-09-26",46
"2017-09-27",53
"2017-09-28",43
"2017-09-29",38
"2017-09-30",56
"2017-10-01",81
"2017-10-02",60
"2017-10-03",52
"2017-10-04",49
"2017-10-05",65
"2017-10-06",70
"2017-10-07",81
"2017-10-08",66
"2017-10-09",72
"2017-10-10",50
"2017-10-11",60
"2017-10-12",65
"2017-10-13",49
"2017-10-14",55
"2017-10-15",75
"2017-10-16",60
"2017-10-17",52
"2017-10-18",50
"2017-10-19",47
"2017-10-20",56
"2017-10-21",52
"2017-10-22",76
"2017-10-23",61
"2017-10-24",57
"2017-10-25",54
"2017-10-26",55
"2017-10-27",52
"2017-10-28",63
"2017-10-29",89
"2017-10-30",80
"2017-10-31",68
"2017-11-01",69
"2017-11-02",58
"2017-11-03",64
"2017-11-04",72
"2017-11-05",94
"2017-11-06",65
"2017-11-07",53
"2017-11-08",63
"2017-11-09",51
"2017-11-10",54
"2017-11-11",66
"2017-11-12",85
"2017-11-13",71
"2017-11-14",61
"2017-11-15",62
"2017-11-16",59
"2017-11-17",56
"2017-11-18",67
"2017-11-19",88
"2017-11-20",67
"2017-11-21",57
"2017-11-22",51
"2017-11-23",44
"2017-11-24",47
"2017-11-25",57
"2017-11-26",67
"2017-11-27",49
"2017-11-28",48
"2017-11-29",46
"2017-11-30",46
"2017-12-01",43
"2017-12-02",59
"2017-12-03",61
"2017-12-04",42
"2017-12-05",37
"2017-12-06",32
"2017-12-07",34
"2017-12-08",28
"2017-12-09",37
"2017-12-10",50
"2017-12-11",35
"2017-12-12",34
"2017-12-13",34
"2017-12-14",30
"2017-12-15",33
"2017-12-16",37
"2017-12-17",43
"2017-12-18",30
"2017-12-19",28
"2017-12-20",27
"2017-12-21",24
"2017-12-22",24
"2017-12-23",28
"2017-12-24",41
"2017-12-25",42
"2017-12-26",36
"2017-12-27",30
"2017-12-28",36
"2017-12-29",26
"2017-12-30",33
"2017-12-31",36
"2018-01-01",40
"2018-01-02",31
"2018-01-03",30
"2018-01-04",27
"2018-01-05",25
"2018-01-06",39
"2018-01-07",48
"2018-01-08",41
"2018-01-09",39
"2018-01-10",34
"2018-01-11",37
"2018-01-12",34
"2018-01-13",51
"2018-01-14",56
"2018-01-15",45
"2018-01-16",42
"2018-01-17",35
"2018-01-18",33
"2018-01-19",31
"2018-01-20",43
"2018-01-21",51
"2018-01-22",36
"2018-01-23",32
"2018-01-24",37
"2018-01-25",30
"2018-01-26",36
"2018-01-27",43
"2018-01-28",52
"2018-01-29",39
"2018-01-30",41
"2018-01-31",44
"2018-02-01",38
"2018-02-02",35
"2018-02-03",44
"2018-02-04",58
"2018-02-05",35
"2018-02-06",39
"2018-02-07",35
"2018-02-08",37
"2018-02-09",32
"2018-02-10",42
"2018-02-11",60
"2018-02-12",42
"2018-02-13",33
"2018-02-14",35
"2018-02-15",40
"2018-02-16",35
"2018-02-17",45
"2018-02-18",66
"2018-02-19",56
"2018-02-20",52
"2018-02-21",43
"2018-02-22",42
"2018-02-23",39
"2018-02-24",55
"2018-02-25",63
"2018-02-26",53
"2018-02-27",53
"2018-02-28",55
"2018-03-01",81
"2018-03-02",55
"2018-03-03",81
"2018-03-04",100
"2018-03-05",63
"2018-03-06",60
"2018-03-07",57
"2018-03-08",57
"2018-03-09",52
"2018-03-10",71
"2018-03-11",97
"2018-03-12",70
"2018-03-13",67
"2018-03-14",60
"2018-03-15",56
"2018-03-16",48
"2018-03-17",64
"2018-03-18",82
"2018-03-19",58
"2018-03-20",48
"2018-03-21",43
"2018-03-22",46
"2018-03-23",40
"2018-03-24",59
"2018-03-25",61
"2018-03-26",56
"2018-03-27",56
"2018-03-28",47
"2018-03-29",41
"2018-03-30",40
"2018-03-31",42
"2018-04-01",59
"2018-04-02",51
"2018-04-03",41
"2018-04-04",48
"2018-04-05",46
"2018-04-06",41
"2018-04-07",53
"2018-04-08",60
"2018-04-09",51
"2018-04-10",41
"2018-04-11",43
"2018-04-12",39
"2018-04-13",38
"2018-04-14",48
"2018-04-15",57
"2018-04-16",48
"2018-04-17",42
"2018-04-18",39
"2018-04-19",39
