네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","파자마"
"2017-08-01",40
"2017-08-02",43
"2017-08-03",42
"2017-08-04",34
"2017-08-05",35
"2017-08-06",47
"2017-08-07",43
"2017-08-08",47
"2017-08-09",40
"2017-08-10",42
"2017-08-11",37
"2017-08-12",30
"2017-08-13",41
"2017-08-14",37
"2017-08-15",46
"2017-08-16",38
"2017-08-17",32
"2017-08-18",27
"2017-08-19",36
"2017-08-20",60
"2017-08-21",52
"2017-08-22",42
"2017-08-23",35
"2017-08-24",37
"2017-08-25",34
"2017-08-26",53
"2017-08-27",61
"2017-08-28",52
"2017-08-29",48
"2017-08-30",46
"2017-08-31",42
"2017-09-01",37
"2017-09-02",37
"2017-09-03",48
"2017-09-04",39
"2017-09-05",38
"2017-09-06",44
"2017-09-07",44
"2017-09-08",37
"2017-09-09",31
"2017-09-10",51
"2017-09-11",47
"2017-09-12",50
"2017-09-13",42
"2017-09-14",37
"2017-09-15",36
"2017-09-16",41
"2017-09-17",44
"2017-09-18",42
"2017-09-19",43
"2017-09-20",35
"2017-09-21",42
"2017-09-22",35
"2017-09-23",40
"2017-09-24",47
"2017-09-25",53
"2017-09-26",40
"2017-09-27",36
"2017-09-28",35
"2017-09-29",25
"2017-09-30",30
"2017-10-01",33
"2017-10-02",27
"2017-10-03",32
"2017-10-04",40
"2017-10-05",36
"2017-10-06",36
"2017-10-07",42
"2017-10-08",51
"2017-10-09",49
"2017-10-10",41
"2017-10-11",42
"2017-10-12",45
"2017-10-13",38
"2017-10-14",29
"2017-10-15",46
"2017-10-16",48
"2017-10-17",44
"2017-10-18",41
"2017-10-19",36
"2017-10-20",35
"2017-10-21",31
"2017-10-22",38
"2017-10-23",42
"2017-10-24",37
"2017-10-25",27
"2017-10-26",32
"2017-10-27",30
"2017-10-28",29
"2017-10-29",40
"2017-10-30",39
"2017-10-31",29
"2017-11-01",37
"2017-11-02",37
"2017-11-03",32
"2017-11-04",33
"2017-11-05",43
"2017-11-06",41
"2017-11-07",39
"2017-11-08",39
"2017-11-09",42
"2017-11-10",28
"2017-11-11",30
"2017-11-12",45
"2017-11-13",44
"2017-11-14",48
"2017-11-15",37
"2017-11-16",38
"2017-11-17",27
"2017-11-18",29
"2017-11-19",42
"2017-11-20",41
"2017-11-21",43
"2017-11-22",44
"2017-11-23",44
"2017-11-24",43
"2017-11-25",37
"2017-11-26",47
"2017-11-27",50
"2017-11-28",49
"2017-11-29",41
"2017-11-30",41
"2017-12-01",49
"2017-12-02",48
"2017-12-03",72
"2017-12-04",82
"2017-12-05",82
"2017-12-06",83
"2017-12-07",68
"2017-12-08",61
"2017-12-09",64
"2017-12-10",87
"2017-12-11",93
"2017-12-12",89
"2017-12-13",85
"2017-12-14",74
"2017-12-15",70
"2017-12-16",62
"2017-12-17",100
"2017-12-18",92
"2017-12-19",85
"2017-12-20",72
"2017-12-21",48
"2017-12-22",46
"2017-12-23",40
"2017-12-24",47
"2017-12-25",50
"2017-12-26",70
"2017-12-27",64
"2017-12-28",43
"2017-12-29",35
"2017-12-30",40
"2017-12-31",36
"2018-01-01",44
"2018-01-02",53
"2018-01-03",49
"2018-01-04",47
"2018-01-05",41
"2018-01-06",47
"2018-01-07",58
"2018-01-08",64
"2018-01-09",53
"2018-01-10",50
"2018-01-11",43
"2018-01-12",45
"2018-01-13",51
"2018-01-14",63
"2018-01-15",55
"2018-01-16",65
"2018-01-17",53
"2018-01-18",45
"2018-01-19",40
"2018-01-20",39
"2018-01-21",58
"2018-01-22",55
"2018-01-23",57
"2018-01-24",57
"2018-01-25",49
"2018-01-26",46
"2018-01-27",39
"2018-01-28",62
"2018-01-29",58
"2018-01-30",55
"2018-01-31",53
"2018-02-01",47
"2018-02-02",44
"2018-02-03",37
"2018-02-04",64
"2018-02-05",56
"2018-02-06",52
"2018-02-07",52
"2018-02-08",38
"2018-02-09",36
"2018-02-10",32
"2018-02-11",53
"2018-02-12",42
"2018-02-13",32
"2018-02-14",31
"2018-02-15",34
"2018-02-16",45
"2018-02-17",47
"2018-02-18",57
"2018-02-19",53
"2018-02-20",50
"2018-02-21",35
"2018-02-22",40
"2018-02-23",37
"2018-02-24",38
"2018-02-25",50
"2018-02-26",43
"2018-02-27",42
"2018-02-28",38
"2018-03-01",39
"2018-03-02",40
"2018-03-03",44
"2018-03-04",59
"2018-03-05",51
"2018-03-06",42
"2018-03-07",39
"2018-03-08",33
"2018-03-09",29
"2018-03-10",33
"2018-03-11",53
"2018-03-12",45
"2018-03-13",37
"2018-03-14",45
"2018-03-15",46
"2018-03-16",34
"2018-03-17",35
"2018-03-18",47
"2018-03-19",42
"2018-03-20",41
"2018-03-21",37
"2018-03-22",36
"2018-03-23",31
"2018-03-24",36
"2018-03-25",55
"2018-03-26",46
"2018-03-27",44
"2018-03-28",43
"2018-03-29",37
"2018-03-30",35
"2018-03-31",38
"2018-04-01",63
"2018-04-02",50
"2018-04-03",53
"2018-04-04",46
"2018-04-05",50
"2018-04-06",32
"2018-04-07",37
"2018-04-08",60
"2018-04-09",46
"2018-04-10",40
"2018-04-11",37
"2018-04-12",32
"2018-04-13",33
"2018-04-14",37
"2018-04-15",47
"2018-04-16",47
"2018-04-17",43
"2018-04-18",37
"2018-04-19",43
