네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","체크원피스"
"2017-08-01",44
"2017-08-02",46
"2017-08-03",49
"2017-08-04",33
"2017-08-05",42
"2017-08-06",46
"2017-08-07",46
"2017-08-08",49
"2017-08-09",47
"2017-08-10",33
"2017-08-11",31
"2017-08-12",31
"2017-08-13",34
"2017-08-14",37
"2017-08-15",38
"2017-08-16",38
"2017-08-17",40
"2017-08-18",39
"2017-08-19",37
"2017-08-20",44
"2017-08-21",43
"2017-08-22",55
"2017-08-23",50
"2017-08-24",46
"2017-08-25",43
"2017-08-26",53
"2017-08-27",58
"2017-08-28",62
"2017-08-29",64
"2017-08-30",69
"2017-08-31",59
"2017-09-01",56
"2017-09-02",67
"2017-09-03",84
"2017-09-04",81
"2017-09-05",99
"2017-09-06",88
"2017-09-07",77
"2017-09-08",72
"2017-09-09",73
"2017-09-10",88
"2017-09-11",77
"2017-09-12",82
"2017-09-13",82
"2017-09-14",86
"2017-09-15",76
"2017-09-16",79
"2017-09-17",97
"2017-09-18",81
"2017-09-19",81
"2017-09-20",82
"2017-09-21",80
"2017-09-22",87
"2017-09-23",84
"2017-09-24",92
"2017-09-25",100
"2017-09-26",93
"2017-09-27",77
"2017-09-28",66
"2017-09-29",51
"2017-09-30",60
"2017-10-01",65
"2017-10-02",71
"2017-10-03",63
"2017-10-04",67
"2017-10-05",55
"2017-10-06",75
"2017-10-07",79
"2017-10-08",93
"2017-10-09",95
"2017-10-10",73
"2017-10-11",74
"2017-10-12",70
"2017-10-13",57
"2017-10-14",55
"2017-10-15",81
"2017-10-16",66
"2017-10-17",58
"2017-10-18",64
"2017-10-19",58
"2017-10-20",57
"2017-10-21",61
"2017-10-22",87
"2017-10-23",62
"2017-10-24",67
"2017-10-25",58
"2017-10-26",57
"2017-10-27",47
"2017-10-28",63
"2017-10-29",79
"2017-10-30",57
"2017-10-31",48
"2017-11-01",58
"2017-11-02",60
"2017-11-03",52
"2017-11-04",52
"2017-11-05",69
"2017-11-06",63
"2017-11-07",58
"2017-11-08",59
"2017-11-09",51
"2017-11-10",48
"2017-11-11",56
"2017-11-12",74
"2017-11-13",64
"2017-11-14",66
"2017-11-15",46
"2017-11-16",52
"2017-11-17",39
"2017-11-18",46
"2017-11-19",56
"2017-11-20",58
"2017-11-21",55
"2017-11-22",48
"2017-11-23",49
"2017-11-24",41
"2017-11-25",45
"2017-11-26",57
"2017-11-27",50
"2017-11-28",48
"2017-11-29",49
"2017-11-30",40
"2017-12-01",38
"2017-12-02",53
"2017-12-03",61
"2017-12-04",61
"2017-12-05",63
"2017-12-06",58
"2017-12-07",52
"2017-12-08",50
"2017-12-09",55
"2017-12-10",68
"2017-12-11",59
"2017-12-12",57
"2017-12-13",52
"2017-12-14",43
"2017-12-15",42
"2017-12-16",53
"2017-12-17",79
"2017-12-18",49
"2017-12-19",44
"2017-12-20",42
"2017-12-21",35
"2017-12-22",33
"2017-12-23",23
"2017-12-24",23
"2017-12-25",35
"2017-12-26",32
"2017-12-27",30
"2017-12-28",33
"2017-12-29",20
"2017-12-30",25
"2017-12-31",20
"2018-01-01",25
"2018-01-02",29
"2018-01-03",27
"2018-01-04",24
"2018-01-05",26
"2018-01-06",30
"2018-01-07",36
"2018-01-08",36
"2018-01-09",24
"2018-01-10",25
"2018-01-11",25
"2018-01-12",24
"2018-01-13",23
"2018-01-14",31
"2018-01-15",30
"2018-01-16",22
"2018-01-17",23
"2018-01-18",26
"2018-01-19",21
"2018-01-20",29
"2018-01-21",34
"2018-01-22",24
"2018-01-23",29
"2018-01-24",24
"2018-01-25",21
"2018-01-26",16
"2018-01-27",23
"2018-01-28",28
"2018-01-29",22
"2018-01-30",23
"2018-01-31",22
"2018-02-01",19
"2018-02-02",19
"2018-02-03",18
"2018-02-04",26
"2018-02-05",21
"2018-02-06",25
"2018-02-07",23
"2018-02-08",20
"2018-02-09",18
"2018-02-10",17
"2018-02-11",20
"2018-02-12",15
"2018-02-13",12
"2018-02-14",10
"2018-02-15",13
"2018-02-16",13
"2018-02-17",15
"2018-02-18",16
"2018-02-19",19
"2018-02-20",18
"2018-02-21",15
"2018-02-22",18
"2018-02-23",14
"2018-02-24",15
"2018-02-25",17
"2018-02-26",17
"2018-02-27",16
"2018-02-28",18
"2018-03-01",23
"2018-03-02",18
"2018-03-03",55
"2018-03-04",42
"2018-03-05",27
"2018-03-06",23
"2018-03-07",23
"2018-03-08",23
"2018-03-09",22
"2018-03-10",39
"2018-03-11",32
"2018-03-12",25
"2018-03-13",25
"2018-03-14",23
"2018-03-15",23
"2018-03-16",24
"2018-03-17",32
"2018-03-18",36
"2018-03-19",29
"2018-03-20",26
"2018-03-21",28
"2018-03-22",27
"2018-03-23",28
"2018-03-24",32
"2018-03-25",34
"2018-03-26",27
"2018-03-27",27
"2018-03-28",32
"2018-03-29",32
"2018-03-30",26
"2018-03-31",25
"2018-04-01",34
"2018-04-02",39
"2018-04-03",29
"2018-04-04",29
"2018-04-05",34
"2018-04-06",27
"2018-04-07",23
"2018-04-08",33
"2018-04-09",35
"2018-04-10",29
"2018-04-11",39
"2018-04-12",40
"2018-04-13",34
"2018-04-14",37
"2018-04-15",41
"2018-04-16",44
"2018-04-17",46
"2018-04-18",49
"2018-04-19",40
