네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","와이드팬츠"
"2017-08-01",85
"2017-08-02",89
"2017-08-03",83
"2017-08-04",76
"2017-08-05",85
"2017-08-06",100
"2017-08-07",77
"2017-08-08",76
"2017-08-09",82
"2017-08-10",61
"2017-08-11",60
"2017-08-12",58
"2017-08-13",63
"2017-08-14",51
"2017-08-15",66
"2017-08-16",57
"2017-08-17",52
"2017-08-18",41
"2017-08-19",54
"2017-08-20",55
"2017-08-21",56
"2017-08-22",49
"2017-08-23",52
"2017-08-24",51
"2017-08-25",44
"2017-08-26",51
"2017-08-27",55
"2017-08-28",48
"2017-08-29",53
"2017-08-30",50
"2017-08-31",56
"2017-09-01",43
"2017-09-02",57
"2017-09-03",62
"2017-09-04",61
"2017-09-05",59
"2017-09-06",55
"2017-09-07",61
"2017-09-08",42
"2017-09-09",58
"2017-09-10",62
"2017-09-11",58
"2017-09-12",58
"2017-09-13",57
"2017-09-14",49
"2017-09-15",44
"2017-09-16",45
"2017-09-17",60
"2017-09-18",53
"2017-09-19",51
"2017-09-20",49
"2017-09-21",48
"2017-09-22",44
"2017-09-23",46
"2017-09-24",61
"2017-09-25",49
"2017-09-26",47
"2017-09-27",39
"2017-09-28",33
"2017-09-29",23
"2017-09-30",26
"2017-10-01",30
"2017-10-02",29
"2017-10-03",28
"2017-10-04",28
"2017-10-05",35
"2017-10-06",38
"2017-10-07",40
"2017-10-08",46
"2017-10-09",48
"2017-10-10",48
"2017-10-11",45
"2017-10-12",51
"2017-10-13",42
"2017-10-14",39
"2017-10-15",51
"2017-10-16",41
"2017-10-17",41
"2017-10-18",47
"2017-10-19",45
"2017-10-20",34
"2017-10-21",39
"2017-10-22",42
"2017-10-23",49
"2017-10-24",42
"2017-10-25",49
"2017-10-26",42
"2017-10-27",33
"2017-10-28",39
"2017-10-29",49
"2017-10-30",44
"2017-10-31",46
"2017-11-01",51
"2017-11-02",47
"2017-11-03",43
"2017-11-04",44
"2017-11-05",49
"2017-11-06",55
"2017-11-07",54
"2017-11-08",45
"2017-11-09",53
"2017-11-10",39
"2017-11-11",40
"2017-11-12",48
"2017-11-13",53
"2017-11-14",49
"2017-11-15",47
"2017-11-16",45
"2017-11-17",39
"2017-11-18",33
"2017-11-19",44
"2017-11-20",44
"2017-11-21",42
"2017-11-22",46
"2017-11-23",41
"2017-11-24",35
"2017-11-25",45
"2017-11-26",45
"2017-11-27",39
"2017-11-28",41
"2017-11-29",34
"2017-11-30",43
"2017-12-01",30
"2017-12-02",34
"2017-12-03",42
"2017-12-04",36
"2017-12-05",39
"2017-12-06",33
"2017-12-07",36
"2017-12-08",29
"2017-12-09",26
"2017-12-10",40
"2017-12-11",37
"2017-12-12",31
"2017-12-13",32
"2017-12-14",32
"2017-12-15",28
"2017-12-16",24
"2017-12-17",33
"2017-12-18",32
"2017-12-19",33
"2017-12-20",31
"2017-12-21",27
"2017-12-22",20
"2017-12-23",20
"2017-12-24",22
"2017-12-25",31
"2017-12-26",34
"2017-12-27",27
"2017-12-28",28
"2017-12-29",25
"2017-12-30",22
"2017-12-31",21
"2018-01-01",29
"2018-01-02",28
"2018-01-03",31
"2018-01-04",29
"2018-01-05",25
"2018-01-06",25
"2018-01-07",40
"2018-01-08",35
"2018-01-09",32
"2018-01-10",27
"2018-01-11",30
"2018-01-12",23
"2018-01-13",27
"2018-01-14",30
"2018-01-15",28
"2018-01-16",27
"2018-01-17",28
"2018-01-18",27
"2018-01-19",23
"2018-01-20",27
"2018-01-21",34
"2018-01-22",38
"2018-01-23",29
"2018-01-24",27
"2018-01-25",27
"2018-01-26",22
"2018-01-27",27
"2018-01-28",32
"2018-01-29",36
"2018-01-30",32
"2018-01-31",32
"2018-02-01",36
"2018-02-02",26
"2018-02-03",26
"2018-02-04",39
"2018-02-05",37
"2018-02-06",30
"2018-02-07",27
"2018-02-08",26
"2018-02-09",18
"2018-02-10",24
"2018-02-11",26
"2018-02-12",22
"2018-02-13",18
"2018-02-14",16
"2018-02-15",15
"2018-02-16",18
"2018-02-17",19
"2018-02-18",24
"2018-02-19",25
"2018-02-20",26
"2018-02-21",25
"2018-02-22",27
"2018-02-23",20
"2018-02-24",26
"2018-02-25",33
"2018-02-26",30
"2018-02-27",33
"2018-02-28",29
"2018-03-01",36
"2018-03-02",29
"2018-03-03",37
"2018-03-04",53
"2018-03-05",42
"2018-03-06",35
"2018-03-07",39
"2018-03-08",41
"2018-03-09",33
"2018-03-10",36
"2018-03-11",49
"2018-03-12",45
"2018-03-13",49
"2018-03-14",54
"2018-03-15",45
"2018-03-16",44
"2018-03-17",47
"2018-03-18",51
"2018-03-19",40
"2018-03-20",41
"2018-03-21",35
"2018-03-22",38
"2018-03-23",37
"2018-03-24",43
"2018-03-25",53
"2018-03-26",51
"2018-03-27",52
"2018-03-28",51
"2018-03-29",58
"2018-03-30",51
"2018-03-31",60
"2018-04-01",65
"2018-04-02",60
"2018-04-03",75
"2018-04-04",59
"2018-04-05",52
"2018-04-06",42
"2018-04-07",51
"2018-04-08",64
"2018-04-09",47
"2018-04-10",55
"2018-04-11",64
"2018-04-12",61
"2018-04-13",52
"2018-04-14",51
"2018-04-15",62
"2018-04-16",61
"2018-04-17",61
"2018-04-18",63
"2018-04-19",56
