네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","모조에스핀원피스"
"2017-08-01",44
"2017-08-02",46
"2017-08-03",55
"2017-08-04",45
"2017-08-05",61
"2017-08-06",65
"2017-08-07",47
"2017-08-08",52
"2017-08-09",63
"2017-08-10",55
"2017-08-11",49
"2017-08-12",72
"2017-08-13",75
"2017-08-14",68
"2017-08-15",77
"2017-08-16",51
"2017-08-17",64
"2017-08-18",50
"2017-08-19",79
"2017-08-20",83
"2017-08-21",74
"2017-08-22",77
"2017-08-23",61
"2017-08-24",60
"2017-08-25",48
"2017-08-26",88
"2017-08-27",93
"2017-08-28",67
"2017-08-29",64
"2017-08-30",69
"2017-08-31",73
"2017-09-01",63
"2017-09-02",71
"2017-09-03",83
"2017-09-04",56
"2017-09-05",62
"2017-09-06",60
"2017-09-07",58
"2017-09-08",58
"2017-09-09",62
"2017-09-10",79
"2017-09-11",48
"2017-09-12",47
"2017-09-13",45
"2017-09-14",44
"2017-09-15",52
"2017-09-16",69
"2017-09-17",66
"2017-09-18",48
"2017-09-19",51
"2017-09-20",44
"2017-09-21",48
"2017-09-22",45
"2017-09-23",55
"2017-09-24",61
"2017-09-25",46
"2017-09-26",49
"2017-09-27",40
"2017-09-28",41
"2017-09-29",43
"2017-09-30",53
"2017-10-01",56
"2017-10-02",55
"2017-10-03",47
"2017-10-04",45
"2017-10-05",41
"2017-10-06",56
"2017-10-07",50
"2017-10-08",61
"2017-10-09",68
"2017-10-10",49
"2017-10-11",52
"2017-10-12",45
"2017-10-13",42
"2017-10-14",45
"2017-10-15",52
"2017-10-16",51
"2017-10-17",42
"2017-10-18",44
"2017-10-19",46
"2017-10-20",49
"2017-10-21",50
"2017-10-22",61
"2017-10-23",45
"2017-10-24",49
"2017-10-25",39
"2017-10-26",46
"2017-10-27",50
"2017-10-28",48
"2017-10-29",54
"2017-10-30",45
"2017-10-31",37
"2017-11-01",36
"2017-11-02",45
"2017-11-03",46
"2017-11-04",52
"2017-11-05",52
"2017-11-06",39
"2017-11-07",40
"2017-11-08",48
"2017-11-09",46
"2017-11-10",45
"2017-11-11",57
"2017-11-12",53
"2017-11-13",47
"2017-11-14",44
"2017-11-15",42
"2017-11-16",37
"2017-11-17",40
"2017-11-18",45
"2017-11-19",51
"2017-11-20",36
"2017-11-21",40
"2017-11-22",53
"2017-11-23",47
"2017-11-24",41
"2017-11-25",54
"2017-11-26",56
"2017-11-27",47
"2017-11-28",47
"2017-11-29",42
"2017-11-30",38
"2017-12-01",36
"2017-12-02",53
"2017-12-03",68
"2017-12-04",48
"2017-12-05",48
"2017-12-06",44
"2017-12-07",49
"2017-12-08",39
"2017-12-09",47
"2017-12-10",60
"2017-12-11",43
"2017-12-12",39
"2017-12-13",49
"2017-12-14",40
"2017-12-15",35
"2017-12-16",44
"2017-12-17",57
"2017-12-18",41
"2017-12-19",40
"2017-12-20",37
"2017-12-21",30
"2017-12-22",28
"2017-12-23",43
"2017-12-24",47
"2017-12-25",54
"2017-12-26",37
"2017-12-27",38
"2017-12-28",32
"2017-12-29",32
"2017-12-30",48
"2017-12-31",44
"2018-01-01",45
"2018-01-02",38
"2018-01-03",40
"2018-01-04",38
"2018-01-05",33
"2018-01-06",56
"2018-01-07",60
"2018-01-08",43
"2018-01-09",50
"2018-01-10",46
"2018-01-11",35
"2018-01-12",49
"2018-01-13",61
"2018-01-14",60
"2018-01-15",53
"2018-01-16",57
"2018-01-17",54
"2018-01-18",49
"2018-01-19",41
"2018-01-20",68
"2018-01-21",63
"2018-01-22",45
"2018-01-23",46
"2018-01-24",51
"2018-01-25",44
"2018-01-26",42
"2018-01-27",56
"2018-01-28",65
"2018-01-29",46
"2018-01-30",48
"2018-01-31",47
"2018-02-01",56
"2018-02-02",42
"2018-02-03",72
"2018-02-04",72
"2018-02-05",58
"2018-02-06",53
"2018-02-07",61
"2018-02-08",44
"2018-02-09",39
"2018-02-10",67
"2018-02-11",73
"2018-02-12",65
"2018-02-13",69
"2018-02-14",62
"2018-02-15",73
"2018-02-16",63
"2018-02-17",83
"2018-02-18",100
"2018-02-19",72
"2018-02-20",74
"2018-02-21",69
"2018-02-22",60
"2018-02-23",58
"2018-02-24",74
"2018-02-25",82
"2018-02-26",60
"2018-02-27",62
"2018-02-28",53
"2018-03-01",74
"2018-03-02",38
"2018-03-03",73
"2018-03-04",80
"2018-03-05",50
"2018-03-06",57
"2018-03-07",62
"2018-03-08",52
"2018-03-09",49
"2018-03-10",62
"2018-03-11",75
"2018-03-12",63
"2018-03-13",55
"2018-03-14",53
"2018-03-15",67
"2018-03-16",58
"2018-03-17",72
"2018-03-18",80
"2018-03-19",56
"2018-03-20",53
"2018-03-21",54
"2018-03-22",51
"2018-03-23",42
"2018-03-24",71
"2018-03-25",65
"2018-03-26",56
"2018-03-27",49
"2018-03-28",53
"2018-03-29",53
"2018-03-30",59
"2018-03-31",59
"2018-04-01",74
"2018-04-02",55
"2018-04-03",59
"2018-04-04",46
"2018-04-05",51
"2018-04-06",48
"2018-04-07",74
"2018-04-08",64
"2018-04-09",54
"2018-04-10",59
"2018-04-11",60
"2018-04-12",56
"2018-04-13",55
"2018-04-14",67
"2018-04-15",91
"2018-04-16",60
"2018-04-17",60
"2018-04-18",73
"2018-04-19",60
