네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에고이스트패딩"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",1
"2017-08-08",2
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",2
"2017-08-13",2
"2017-08-14",2
"2017-08-15",3
"2017-08-16",4
"2017-08-17",4
"2017-08-18",3
"2017-08-19",4
"2017-08-20",5
"2017-08-21",3
"2017-08-22",3
"2017-08-23",3
"2017-08-24",2
"2017-08-25",3
"2017-08-26",4
"2017-08-27",4
"2017-08-28",3
"2017-08-29",3
"2017-08-30",3
"2017-08-31",3
"2017-09-01",3
"2017-09-02",4
"2017-09-03",4
"2017-09-04",4
"2017-09-05",4
"2017-09-06",2
"2017-09-07",2
"2017-09-08",3
"2017-09-09",2
"2017-09-10",3
"2017-09-11",2
"2017-09-12",2
"2017-09-13",2
"2017-09-14",1
"2017-09-15",2
"2017-09-16",3
"2017-09-17",3
"2017-09-18",2
"2017-09-19",2
"2017-09-20",2
"2017-09-21",2
"2017-09-22",1
"2017-09-23",2
"2017-09-24",2
"2017-09-25",2
"2017-09-26",2
"2017-09-27",2
"2017-09-28",2
"2017-09-29",3
"2017-09-30",4
"2017-10-01",5
"2017-10-02",4
"2017-10-03",3
"2017-10-04",3
"2017-10-05",4
"2017-10-06",6
"2017-10-07",5
"2017-10-08",5
"2017-10-09",6
"2017-10-10",4
"2017-10-11",5
"2017-10-12",6
"2017-10-13",5
"2017-10-14",6
"2017-10-15",8
"2017-10-16",8
"2017-10-17",7
"2017-10-18",8
"2017-10-19",8
"2017-10-20",7
"2017-10-21",8
"2017-10-22",9
"2017-10-23",11
"2017-10-24",11
"2017-10-25",12
"2017-10-26",11
"2017-10-27",16
"2017-10-28",15
"2017-10-29",20
"2017-10-30",27
"2017-10-31",28
"2017-11-01",27
"2017-11-02",25
"2017-11-03",31
"2017-11-04",37
"2017-11-05",40
"2017-11-06",36
"2017-11-07",30
"2017-11-08",31
"2017-11-09",29
"2017-11-10",28
"2017-11-11",38
"2017-11-12",51
"2017-11-13",40
"2017-11-14",46
"2017-11-15",57
"2017-11-16",69
"2017-11-17",63
"2017-11-18",76
"2017-11-19",95
"2017-11-20",100
"2017-11-21",83
"2017-11-22",77
"2017-11-23",83
"2017-11-24",66
"2017-11-25",68
"2017-11-26",64
"2017-11-27",57
"2017-11-28",52
"2017-11-29",52
"2017-11-30",61
"2017-12-01",57
"2017-12-02",64
"2017-12-03",73
"2017-12-04",60
"2017-12-05",71
"2017-12-06",55
"2017-12-07",48
"2017-12-08",46
"2017-12-09",47
"2017-12-10",57
"2017-12-11",59
"2017-12-12",62
"2017-12-13",57
"2017-12-14",49
"2017-12-15",33
"2017-12-16",28
"2017-12-17",39
"2017-12-18",33
"2017-12-19",29
"2017-12-20",30
"2017-12-21",23
"2017-12-22",20
"2017-12-23",23
"2017-12-24",18
"2017-12-25",26
"2017-12-26",28
"2017-12-27",27
"2017-12-28",28
"2017-12-29",17
"2017-12-30",23
"2017-12-31",22
"2018-01-01",23
"2018-01-02",22
"2018-01-03",25
"2018-01-04",25
"2018-01-05",21
"2018-01-06",28
"2018-01-07",30
"2018-01-08",28
"2018-01-09",29
"2018-01-10",32
"2018-01-11",34
"2018-01-12",35
"2018-01-13",35
"2018-01-14",35
"2018-01-15",26
"2018-01-16",22
"2018-01-17",21
"2018-01-18",16
"2018-01-19",17
"2018-01-20",18
"2018-01-21",22
"2018-01-22",23
"2018-01-23",27
"2018-01-24",29
"2018-01-25",34
"2018-01-26",34
"2018-01-27",27
"2018-01-28",30
"2018-01-29",27
"2018-01-30",24
"2018-01-31",20
"2018-02-01",16
"2018-02-02",15
"2018-02-03",18
"2018-02-04",20
"2018-02-05",20
"2018-02-06",18
"2018-02-07",17
"2018-02-08",14
"2018-02-09",11
"2018-02-10",10
"2018-02-11",13
"2018-02-12",10
"2018-02-13",8
"2018-02-14",7
"2018-02-15",6
"2018-02-16",6
"2018-02-17",8
"2018-02-18",8
"2018-02-19",6
"2018-02-20",5
"2018-02-21",7
"2018-02-22",5
"2018-02-23",4
"2018-02-24",4
"2018-02-25",4
"2018-02-26",3
"2018-02-27",2
"2018-02-28",2
"2018-03-01",3
"2018-03-02",3
"2018-03-03",3
"2018-03-04",4
"2018-03-05",1
"2018-03-06",2
"2018-03-07",1
"2018-03-08",1
"2018-03-09",1
"2018-03-10",1
"2018-03-11",1
"2018-03-12",1
"2018-03-13",
"2018-03-14",
"2018-03-15",
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
