네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","트렌치코트"
"2017-08-01",2
"2017-08-02",3
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",4
"2017-08-07",4
"2017-08-08",3
"2017-08-09",4
"2017-08-10",5
"2017-08-11",4
"2017-08-12",5
"2017-08-13",9
"2017-08-14",8
"2017-08-15",13
"2017-08-16",14
"2017-08-17",13
"2017-08-18",12
"2017-08-19",13
"2017-08-20",16
"2017-08-21",15
"2017-08-22",14
"2017-08-23",15
"2017-08-24",12
"2017-08-25",11
"2017-08-26",14
"2017-08-27",17
"2017-08-28",15
"2017-08-29",23
"2017-08-30",27
"2017-08-31",22
"2017-09-01",20
"2017-09-02",19
"2017-09-03",21
"2017-09-04",20
"2017-09-05",19
"2017-09-06",19
"2017-09-07",17
"2017-09-08",14
"2017-09-09",13
"2017-09-10",18
"2017-09-11",16
"2017-09-12",15
"2017-09-13",16
"2017-09-14",15
"2017-09-15",13
"2017-09-16",16
"2017-09-17",19
"2017-09-18",16
"2017-09-19",17
"2017-09-20",16
"2017-09-21",14
"2017-09-22",13
"2017-09-23",13
"2017-09-24",18
"2017-09-25",14
"2017-09-26",12
"2017-09-27",12
"2017-09-28",10
"2017-09-29",11
"2017-09-30",12
"2017-10-01",17
"2017-10-02",15
"2017-10-03",13
"2017-10-04",14
"2017-10-05",15
"2017-10-06",19
"2017-10-07",19
"2017-10-08",18
"2017-10-09",21
"2017-10-10",17
"2017-10-11",18
"2017-10-12",21
"2017-10-13",17
"2017-10-14",19
"2017-10-15",23
"2017-10-16",22
"2017-10-17",20
"2017-10-18",21
"2017-10-19",16
"2017-10-20",14
"2017-10-21",13
"2017-10-22",18
"2017-10-23",18
"2017-10-24",16
"2017-10-25",14
"2017-10-26",10
"2017-10-27",9
"2017-10-28",9
"2017-10-29",10
"2017-10-30",6
"2017-10-31",5
"2017-11-01",5
"2017-11-02",5
"2017-11-03",4
"2017-11-04",4
"2017-11-05",3
"2017-11-06",3
"2017-11-07",4
"2017-11-08",3
"2017-11-09",2
"2017-11-10",2
"2017-11-11",2
"2017-11-12",2
"2017-11-13",2
"2017-11-14",1
"2017-11-15",1
"2017-11-16",1
"2017-11-17",1
"2017-11-18",1
"2017-11-19",1
"2017-11-20",1
"2017-11-21",1
"2017-11-22",1
"2017-11-23",1
"2017-11-24",1
"2017-11-25",1
"2017-11-26",2
"2017-11-27",2
"2017-11-28",1
"2017-11-29",1
"2017-11-30",1
"2017-12-01",1
"2017-12-02",2
"2017-12-03",2
"2017-12-04",1
"2017-12-05",1
"2017-12-06",1
"2017-12-07",1
"2017-12-08",1
"2017-12-09",1
"2017-12-10",2
"2017-12-11",2
"2017-12-12",2
"2017-12-13",1
"2017-12-14",2
"2017-12-15",1
"2017-12-16",2
"2017-12-17",2
"2017-12-18",2
"2017-12-19",2
"2017-12-20",2
"2017-12-21",1
"2017-12-22",1
"2017-12-23",1
"2017-12-24",1
"2017-12-25",2
"2017-12-26",2
"2017-12-27",1
"2017-12-28",2
"2017-12-29",1
"2017-12-30",2
"2017-12-31",2
"2018-01-01",3
"2018-01-02",2
"2018-01-03",2
"2018-01-04",2
"2018-01-05",2
"2018-01-06",3
"2018-01-07",4
"2018-01-08",3
"2018-01-09",2
"2018-01-10",2
"2018-01-11",3
"2018-01-12",3
"2018-01-13",4
"2018-01-14",5
"2018-01-15",4
"2018-01-16",5
"2018-01-17",5
"2018-01-18",5
"2018-01-19",4
"2018-01-20",5
"2018-01-21",7
"2018-01-22",6
"2018-01-23",7
"2018-01-24",6
"2018-01-25",6
"2018-01-26",5
"2018-01-27",8
"2018-01-28",9
"2018-01-29",9
"2018-01-30",8
"2018-01-31",10
"2018-02-01",9
"2018-02-02",10
"2018-02-03",10
"2018-02-04",14
"2018-02-05",12
"2018-02-06",12
"2018-02-07",12
"2018-02-08",14
"2018-02-09",13
"2018-02-10",16
"2018-02-11",20
"2018-02-12",15
"2018-02-13",15
"2018-02-14",17
"2018-02-15",20
"2018-02-16",23
"2018-02-17",25
"2018-02-18",39
"2018-02-19",34
"2018-02-20",30
"2018-02-21",31
"2018-02-22",34
"2018-02-23",32
"2018-02-24",38
"2018-02-25",51
"2018-02-26",48
"2018-02-27",54
"2018-02-28",53
"2018-03-01",63
"2018-03-02",52
"2018-03-03",66
"2018-03-04",100
"2018-03-05",76
"2018-03-06",67
"2018-03-07",68
"2018-03-08",63
"2018-03-09",57
"2018-03-10",70
"2018-03-11",89
"2018-03-12",89
"2018-03-13",88
"2018-03-14",82
"2018-03-15",71
"2018-03-16",56
"2018-03-17",68
"2018-03-18",86
"2018-03-19",67
"2018-03-20",64
"2018-03-21",53
"2018-03-22",47
"2018-03-23",47
"2018-03-24",55
"2018-03-25",68
"2018-03-26",58
"2018-03-27",56
"2018-03-28",45
"2018-03-29",40
"2018-03-30",32
"2018-03-31",31
"2018-04-01",41
"2018-04-02",33
"2018-04-03",24
"2018-04-04",24
"2018-04-05",24
"2018-04-06",23
"2018-04-07",22
"2018-04-08",29
"2018-04-09",25
"2018-04-10",23
"2018-04-11",21
"2018-04-12",15
"2018-04-13",13
"2018-04-14",20
"2018-04-15",22
"2018-04-16",17
"2018-04-17",17
"2018-04-18",12
"2018-04-19",11
