네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스커트"
"2017-08-01",34
"2017-08-02",38
"2017-08-03",36
"2017-08-04",34
"2017-08-05",33
"2017-08-06",47
"2017-08-07",41
"2017-08-08",34
"2017-08-09",39
"2017-08-10",31
"2017-08-11",31
"2017-08-12",37
"2017-08-13",38
"2017-08-14",34
"2017-08-15",42
"2017-08-16",35
"2017-08-17",32
"2017-08-18",30
"2017-08-19",40
"2017-08-20",51
"2017-08-21",47
"2017-08-22",43
"2017-08-23",44
"2017-08-24",45
"2017-08-25",39
"2017-08-26",45
"2017-08-27",49
"2017-08-28",48
"2017-08-29",52
"2017-08-30",48
"2017-08-31",46
"2017-09-01",41
"2017-09-02",56
"2017-09-03",68
"2017-09-04",53
"2017-09-05",45
"2017-09-06",52
"2017-09-07",51
"2017-09-08",38
"2017-09-09",51
"2017-09-10",61
"2017-09-11",60
"2017-09-12",51
"2017-09-13",55
"2017-09-14",52
"2017-09-15",46
"2017-09-16",47
"2017-09-17",67
"2017-09-18",54
"2017-09-19",53
"2017-09-20",51
"2017-09-21",44
"2017-09-22",37
"2017-09-23",47
"2017-09-24",66
"2017-09-25",53
"2017-09-26",44
"2017-09-27",46
"2017-09-28",33
"2017-09-29",31
"2017-09-30",34
"2017-10-01",41
"2017-10-02",39
"2017-10-03",33
"2017-10-04",37
"2017-10-05",32
"2017-10-06",47
"2017-10-07",45
"2017-10-08",49
"2017-10-09",69
"2017-10-10",56
"2017-10-11",48
"2017-10-12",46
"2017-10-13",41
"2017-10-14",49
"2017-10-15",59
"2017-10-16",50
"2017-10-17",47
"2017-10-18",53
"2017-10-19",49
"2017-10-20",40
"2017-10-21",39
"2017-10-22",63
"2017-10-23",49
"2017-10-24",49
"2017-10-25",50
"2017-10-26",47
"2017-10-27",44
"2017-10-28",48
"2017-10-29",58
"2017-10-30",44
"2017-10-31",47
"2017-11-01",51
"2017-11-02",39
"2017-11-03",44
"2017-11-04",55
"2017-11-05",68
"2017-11-06",58
"2017-11-07",56
"2017-11-08",54
"2017-11-09",53
"2017-11-10",41
"2017-11-11",43
"2017-11-12",60
"2017-11-13",52
"2017-11-14",50
"2017-11-15",44
"2017-11-16",46
"2017-11-17",38
"2017-11-18",44
"2017-11-19",56
"2017-11-20",39
"2017-11-21",42
"2017-11-22",44
"2017-11-23",39
"2017-11-24",33
"2017-11-25",38
"2017-11-26",55
"2017-11-27",42
"2017-11-28",42
"2017-11-29",36
"2017-11-30",33
"2017-12-01",33
"2017-12-02",41
"2017-12-03",56
"2017-12-04",50
"2017-12-05",37
"2017-12-06",45
"2017-12-07",42
"2017-12-08",35
"2017-12-09",37
"2017-12-10",58
"2017-12-11",41
"2017-12-12",41
"2017-12-13",36
"2017-12-14",40
"2017-12-15",28
"2017-12-16",35
"2017-12-17",52
"2017-12-18",36
"2017-12-19",42
"2017-12-20",32
"2017-12-21",29
"2017-12-22",27
"2017-12-23",25
"2017-12-24",33
"2017-12-25",34
"2017-12-26",29
"2017-12-27",32
"2017-12-28",27
"2017-12-29",25
"2017-12-30",33
"2017-12-31",29
"2018-01-01",41
"2018-01-02",35
"2018-01-03",34
"2018-01-04",34
"2018-01-05",23
"2018-01-06",36
"2018-01-07",50
"2018-01-08",42
"2018-01-09",36
"2018-01-10",38
"2018-01-11",30
"2018-01-12",31
"2018-01-13",34
"2018-01-14",40
"2018-01-15",32
"2018-01-16",34
"2018-01-17",39
"2018-01-18",39
"2018-01-19",36
"2018-01-20",36
"2018-01-21",54
"2018-01-22",33
"2018-01-23",40
"2018-01-24",34
"2018-01-25",33
"2018-01-26",28
"2018-01-27",31
"2018-01-28",40
"2018-01-29",34
"2018-01-30",36
"2018-01-31",32
"2018-02-01",36
"2018-02-02",28
"2018-02-03",38
"2018-02-04",51
"2018-02-05",36
"2018-02-06",40
"2018-02-07",34
"2018-02-08",37
"2018-02-09",31
"2018-02-10",34
"2018-02-11",45
"2018-02-12",35
"2018-02-13",30
"2018-02-14",24
"2018-02-15",30
"2018-02-16",34
"2018-02-17",32
"2018-02-18",50
"2018-02-19",41
"2018-02-20",39
"2018-02-21",37
"2018-02-22",38
"2018-02-23",34
"2018-02-24",49
"2018-02-25",46
"2018-02-26",46
"2018-02-27",51
"2018-02-28",42
"2018-03-01",55
"2018-03-02",44
"2018-03-03",53
"2018-03-04",72
"2018-03-05",53
"2018-03-06",52
"2018-03-07",52
"2018-03-08",48
"2018-03-09",40
"2018-03-10",53
"2018-03-11",76
"2018-03-12",60
"2018-03-13",63
"2018-03-14",61
"2018-03-15",51
"2018-03-16",54
"2018-03-17",69
"2018-03-18",84
"2018-03-19",54
"2018-03-20",59
"2018-03-21",51
"2018-03-22",52
"2018-03-23",48
"2018-03-24",64
"2018-03-25",76
"2018-03-26",54
"2018-03-27",70
"2018-03-28",69
"2018-03-29",68
"2018-03-30",58
"2018-03-31",67
"2018-04-01",100
"2018-04-02",74
"2018-04-03",71
"2018-04-04",67
"2018-04-05",60
"2018-04-06",50
"2018-04-07",53
"2018-04-08",76
"2018-04-09",50
"2018-04-10",53
"2018-04-11",59
"2018-04-12",57
"2018-04-13",52
"2018-04-14",63
"2018-04-15",71
"2018-04-16",60
"2018-04-17",63
"2018-04-18",64
"2018-04-19",68
