네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","트위드원피스"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",4
"2017-08-04",4
"2017-08-05",2
"2017-08-06",3
"2017-08-07",4
"2017-08-08",5
"2017-08-09",5
"2017-08-10",4
"2017-08-11",3
"2017-08-12",5
"2017-08-13",8
"2017-08-14",8
"2017-08-15",8
"2017-08-16",8
"2017-08-17",11
"2017-08-18",8
"2017-08-19",9
"2017-08-20",14
"2017-08-21",11
"2017-08-22",10
"2017-08-23",11
"2017-08-24",7
"2017-08-25",6
"2017-08-26",9
"2017-08-27",13
"2017-08-28",12
"2017-08-29",11
"2017-08-30",14
"2017-08-31",13
"2017-09-01",11
"2017-09-02",15
"2017-09-03",20
"2017-09-04",16
"2017-09-05",17
"2017-09-06",18
"2017-09-07",16
"2017-09-08",13
"2017-09-09",12
"2017-09-10",17
"2017-09-11",19
"2017-09-12",17
"2017-09-13",16
"2017-09-14",21
"2017-09-15",13
"2017-09-16",20
"2017-09-17",27
"2017-09-18",20
"2017-09-19",20
"2017-09-20",19
"2017-09-21",22
"2017-09-22",17
"2017-09-23",17
"2017-09-24",24
"2017-09-25",23
"2017-09-26",23
"2017-09-27",22
"2017-09-28",19
"2017-09-29",17
"2017-09-30",23
"2017-10-01",28
"2017-10-02",27
"2017-10-03",31
"2017-10-04",26
"2017-10-05",28
"2017-10-06",36
"2017-10-07",47
"2017-10-08",35
"2017-10-09",44
"2017-10-10",40
"2017-10-11",44
"2017-10-12",42
"2017-10-13",41
"2017-10-14",43
"2017-10-15",52
"2017-10-16",53
"2017-10-17",52
"2017-10-18",47
"2017-10-19",54
"2017-10-20",45
"2017-10-21",47
"2017-10-22",65
"2017-10-23",57
"2017-10-24",56
"2017-10-25",56
"2017-10-26",47
"2017-10-27",50
"2017-10-28",45
"2017-10-29",66
"2017-10-30",60
"2017-10-31",56
"2017-11-01",50
"2017-11-02",49
"2017-11-03",50
"2017-11-04",48
"2017-11-05",67
"2017-11-06",64
"2017-11-07",65
"2017-11-08",60
"2017-11-09",46
"2017-11-10",40
"2017-11-11",48
"2017-11-12",65
"2017-11-13",64
"2017-11-14",63
"2017-11-15",55
"2017-11-16",46
"2017-11-17",46
"2017-11-18",56
"2017-11-19",67
"2017-11-20",65
"2017-11-21",60
"2017-11-22",58
"2017-11-23",52
"2017-11-24",37
"2017-11-25",64
"2017-11-26",74
"2017-11-27",64
"2017-11-28",62
"2017-11-29",63
"2017-11-30",61
"2017-12-01",53
"2017-12-02",66
"2017-12-03",100
"2017-12-04",77
"2017-12-05",92
"2017-12-06",72
"2017-12-07",73
"2017-12-08",65
"2017-12-09",61
"2017-12-10",85
"2017-12-11",87
"2017-12-12",85
"2017-12-13",74
"2017-12-14",72
"2017-12-15",60
"2017-12-16",63
"2017-12-17",79
"2017-12-18",77
"2017-12-19",69
"2017-12-20",49
"2017-12-21",42
"2017-12-22",39
"2017-12-23",35
"2017-12-24",37
"2017-12-25",52
"2017-12-26",52
"2017-12-27",51
"2017-12-28",41
"2017-12-29",37
"2017-12-30",43
"2017-12-31",45
"2018-01-01",55
"2018-01-02",48
"2018-01-03",52
"2018-01-04",43
"2018-01-05",34
"2018-01-06",43
"2018-01-07",67
"2018-01-08",53
"2018-01-09",57
"2018-01-10",50
"2018-01-11",52
"2018-01-12",45
"2018-01-13",44
"2018-01-14",61
"2018-01-15",50
"2018-01-16",53
"2018-01-17",50
"2018-01-18",40
"2018-01-19",35
"2018-01-20",40
"2018-01-21",43
"2018-01-22",44
"2018-01-23",41
"2018-01-24",40
"2018-01-25",31
"2018-01-26",35
"2018-01-27",34
"2018-01-28",42
"2018-01-29",39
"2018-01-30",41
"2018-01-31",40
"2018-02-01",34
"2018-02-02",23
"2018-02-03",39
"2018-02-04",47
"2018-02-05",37
"2018-02-06",44
"2018-02-07",41
"2018-02-08",36
"2018-02-09",21
"2018-02-10",30
"2018-02-11",34
"2018-02-12",28
"2018-02-13",25
"2018-02-14",22
"2018-02-15",26
"2018-02-16",25
"2018-02-17",22
"2018-02-18",34
"2018-02-19",27
"2018-02-20",26
"2018-02-21",24
"2018-02-22",25
"2018-02-23",18
"2018-02-24",21
"2018-02-25",24
"2018-02-26",24
"2018-02-27",28
"2018-02-28",20
"2018-03-01",24
"2018-03-02",19
"2018-03-03",20
"2018-03-04",29
"2018-03-05",22
"2018-03-06",21
"2018-03-07",21
"2018-03-08",22
"2018-03-09",15
"2018-03-10",18
"2018-03-11",22
"2018-03-12",22
"2018-03-13",17
"2018-03-14",16
"2018-03-15",14
"2018-03-16",12
"2018-03-17",13
"2018-03-18",17
"2018-03-19",13
"2018-03-20",15
"2018-03-21",13
"2018-03-22",10
"2018-03-23",11
"2018-03-24",12
"2018-03-25",14
"2018-03-26",12
"2018-03-27",11
"2018-03-28",9
"2018-03-29",12
"2018-03-30",9
"2018-03-31",10
"2018-04-01",12
"2018-04-02",9
"2018-04-03",10
"2018-04-04",13
"2018-04-05",8
"2018-04-06",7
"2018-04-07",7
"2018-04-08",12
"2018-04-09",11
"2018-04-10",10
"2018-04-11",6
"2018-04-12",7
"2018-04-13",7
"2018-04-14",11
"2018-04-15",16
"2018-04-16",12
"2018-04-17",9
"2018-04-18",11
"2018-04-19",8
