네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","울코트"
"2017-08-01",2
"2017-08-02",5
"2017-08-03",2
"2017-08-04",2
"2017-08-05",3
"2017-08-06",6
"2017-08-07",3
"2017-08-08",4
"2017-08-09",4
"2017-08-10",4
"2017-08-11",4
"2017-08-12",5
"2017-08-13",3
"2017-08-14",6
"2017-08-15",7
"2017-08-16",6
"2017-08-17",6
"2017-08-18",7
"2017-08-19",6
"2017-08-20",9
"2017-08-21",5
"2017-08-22",8
"2017-08-23",5
"2017-08-24",6
"2017-08-25",5
"2017-08-26",9
"2017-08-27",7
"2017-08-28",4
"2017-08-29",6
"2017-08-30",7
"2017-08-31",7
"2017-09-01",6
"2017-09-02",4
"2017-09-03",6
"2017-09-04",5
"2017-09-05",6
"2017-09-06",7
"2017-09-07",6
"2017-09-08",5
"2017-09-09",5
"2017-09-10",8
"2017-09-11",6
"2017-09-12",7
"2017-09-13",5
"2017-09-14",6
"2017-09-15",9
"2017-09-16",8
"2017-09-17",8
"2017-09-18",7
"2017-09-19",7
"2017-09-20",9
"2017-09-21",5
"2017-09-22",7
"2017-09-23",9
"2017-09-24",8
"2017-09-25",7
"2017-09-26",7
"2017-09-27",9
"2017-09-28",10
"2017-09-29",9
"2017-09-30",13
"2017-10-01",16
"2017-10-02",16
"2017-10-03",15
"2017-10-04",17
"2017-10-05",17
"2017-10-06",18
"2017-10-07",22
"2017-10-08",25
"2017-10-09",21
"2017-10-10",21
"2017-10-11",24
"2017-10-12",31
"2017-10-13",36
"2017-10-14",34
"2017-10-15",50
"2017-10-16",42
"2017-10-17",38
"2017-10-18",44
"2017-10-19",43
"2017-10-20",33
"2017-10-21",32
"2017-10-22",38
"2017-10-23",40
"2017-10-24",49
"2017-10-25",54
"2017-10-26",46
"2017-10-27",38
"2017-10-28",36
"2017-10-29",60
"2017-10-30",90
"2017-10-31",85
"2017-11-01",81
"2017-11-02",66
"2017-11-03",61
"2017-11-04",75
"2017-11-05",95
"2017-11-06",97
"2017-11-07",94
"2017-11-08",82
"2017-11-09",72
"2017-11-10",68
"2017-11-11",65
"2017-11-12",100
"2017-11-13",95
"2017-11-14",95
"2017-11-15",91
"2017-11-16",78
"2017-11-17",70
"2017-11-18",71
"2017-11-19",83
"2017-11-20",85
"2017-11-21",73
"2017-11-22",79
"2017-11-23",68
"2017-11-24",53
"2017-11-25",57
"2017-11-26",70
"2017-11-27",63
"2017-11-28",68
"2017-11-29",59
"2017-11-30",70
"2017-12-01",52
"2017-12-02",56
"2017-12-03",66
"2017-12-04",69
"2017-12-05",67
"2017-12-06",49
"2017-12-07",50
"2017-12-08",43
"2017-12-09",52
"2017-12-10",64
"2017-12-11",59
"2017-12-12",48
"2017-12-13",49
"2017-12-14",42
"2017-12-15",33
"2017-12-16",38
"2017-12-17",48
"2017-12-18",49
"2017-12-19",46
"2017-12-20",40
"2017-12-21",39
"2017-12-22",30
"2017-12-23",32
"2017-12-24",34
"2017-12-25",36
"2017-12-26",40
"2017-12-27",32
"2017-12-28",35
"2017-12-29",29
"2017-12-30",35
"2017-12-31",27
"2018-01-01",40
"2018-01-02",36
"2018-01-03",35
"2018-01-04",36
"2018-01-05",25
"2018-01-06",36
"2018-01-07",44
"2018-01-08",37
"2018-01-09",37
"2018-01-10",36
"2018-01-11",35
"2018-01-12",26
"2018-01-13",31
"2018-01-14",38
"2018-01-15",36
"2018-01-16",35
"2018-01-17",34
"2018-01-18",31
"2018-01-19",24
"2018-01-20",33
"2018-01-21",33
"2018-01-22",38
"2018-01-23",32
"2018-01-24",29
"2018-01-25",25
"2018-01-26",22
"2018-01-27",21
"2018-01-28",31
"2018-01-29",25
"2018-01-30",24
"2018-01-31",27
"2018-02-01",26
"2018-02-02",22
"2018-02-03",23
"2018-02-04",32
"2018-02-05",28
"2018-02-06",28
"2018-02-07",26
"2018-02-08",22
"2018-02-09",20
"2018-02-10",18
"2018-02-11",24
"2018-02-12",16
"2018-02-13",16
"2018-02-14",16
"2018-02-15",12
"2018-02-16",18
"2018-02-17",18
"2018-02-18",26
"2018-02-19",26
"2018-02-20",25
"2018-02-21",20
"2018-02-22",20
"2018-02-23",20
"2018-02-24",20
"2018-02-25",26
"2018-02-26",24
"2018-02-27",23
"2018-02-28",16
"2018-03-01",20
"2018-03-02",19
"2018-03-03",17
"2018-03-04",19
"2018-03-05",14
"2018-03-06",15
"2018-03-07",16
"2018-03-08",13
"2018-03-09",13
"2018-03-10",17
"2018-03-11",17
"2018-03-12",12
"2018-03-13",10
"2018-03-14",5
"2018-03-15",3
"2018-03-16",3
"2018-03-17",3
"2018-03-18",5
"2018-03-19",5
"2018-03-20",5
"2018-03-21",7
"2018-03-22",4
"2018-03-23",5
"2018-03-24",4
"2018-03-25",4
"2018-03-26",4
"2018-03-27",2
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",2
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",2
"2018-04-08",2
"2018-04-09",2
"2018-04-10",2
"2018-04-11",1
"2018-04-12",
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",
"2018-04-18",1
"2018-04-19",1
