네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스바지"
"2017-08-01",14
"2017-08-02",14
"2017-08-03",14
"2017-08-04",10
"2017-08-05",13
"2017-08-06",15
"2017-08-07",13
"2017-08-08",15
"2017-08-09",18
"2017-08-10",17
"2017-08-11",19
"2017-08-12",14
"2017-08-13",23
"2017-08-14",22
"2017-08-15",28
"2017-08-16",23
"2017-08-17",21
"2017-08-18",21
"2017-08-19",25
"2017-08-20",36
"2017-08-21",30
"2017-08-22",28
"2017-08-23",30
"2017-08-24",25
"2017-08-25",24
"2017-08-26",29
"2017-08-27",41
"2017-08-28",36
"2017-08-29",39
"2017-08-30",43
"2017-08-31",38
"2017-09-01",36
"2017-09-02",52
"2017-09-03",77
"2017-09-04",47
"2017-09-05",47
"2017-09-06",42
"2017-09-07",47
"2017-09-08",37
"2017-09-09",54
"2017-09-10",64
"2017-09-11",58
"2017-09-12",40
"2017-09-13",37
"2017-09-14",33
"2017-09-15",32
"2017-09-16",47
"2017-09-17",67
"2017-09-18",38
"2017-09-19",34
"2017-09-20",37
"2017-09-21",32
"2017-09-22",28
"2017-09-23",38
"2017-09-24",50
"2017-09-25",45
"2017-09-26",44
"2017-09-27",31
"2017-09-28",30
"2017-09-29",26
"2017-09-30",42
"2017-10-01",54
"2017-10-02",51
"2017-10-03",47
"2017-10-04",52
"2017-10-05",56
"2017-10-06",68
"2017-10-07",68
"2017-10-08",70
"2017-10-09",74
"2017-10-10",48
"2017-10-11",52
"2017-10-12",54
"2017-10-13",51
"2017-10-14",50
"2017-10-15",73
"2017-10-16",61
"2017-10-17",52
"2017-10-18",51
"2017-10-19",43
"2017-10-20",36
"2017-10-21",47
"2017-10-22",62
"2017-10-23",48
"2017-10-24",43
"2017-10-25",38
"2017-10-26",38
"2017-10-27",30
"2017-10-28",43
"2017-10-29",61
"2017-10-30",49
"2017-10-31",41
"2017-11-01",48
"2017-11-02",39
"2017-11-03",35
"2017-11-04",55
"2017-11-05",65
"2017-11-06",44
"2017-11-07",45
"2017-11-08",47
"2017-11-09",37
"2017-11-10",36
"2017-11-11",46
"2017-11-12",59
"2017-11-13",44
"2017-11-14",39
"2017-11-15",34
"2017-11-16",37
"2017-11-17",28
"2017-11-18",44
"2017-11-19",54
"2017-11-20",39
"2017-11-21",30
"2017-11-22",25
"2017-11-23",29
"2017-11-24",28
"2017-11-25",35
"2017-11-26",40
"2017-11-27",34
"2017-11-28",26
"2017-11-29",28
"2017-11-30",28
"2017-12-01",30
"2017-12-02",36
"2017-12-03",50
"2017-12-04",39
"2017-12-05",35
"2017-12-06",38
"2017-12-07",35
"2017-12-08",28
"2017-12-09",38
"2017-12-10",47
"2017-12-11",36
"2017-12-12",43
"2017-12-13",32
"2017-12-14",32
"2017-12-15",25
"2017-12-16",30
"2017-12-17",36
"2017-12-18",27
"2017-12-19",26
"2017-12-20",25
"2017-12-21",27
"2017-12-22",22
"2017-12-23",27
"2017-12-24",29
"2017-12-25",38
"2017-12-26",33
"2017-12-27",30
"2017-12-28",35
"2017-12-29",29
"2017-12-30",39
"2017-12-31",35
"2018-01-01",27
"2018-01-02",33
"2018-01-03",38
"2018-01-04",31
"2018-01-05",30
"2018-01-06",38
"2018-01-07",42
"2018-01-08",36
"2018-01-09",36
"2018-01-10",31
"2018-01-11",31
"2018-01-12",30
"2018-01-13",30
"2018-01-14",40
"2018-01-15",33
"2018-01-16",39
"2018-01-17",36
"2018-01-18",35
"2018-01-19",35
"2018-01-20",39
"2018-01-21",49
"2018-01-22",46
"2018-01-23",45
"2018-01-24",39
"2018-01-25",29
"2018-01-26",33
"2018-01-27",36
"2018-01-28",46
"2018-01-29",43
"2018-01-30",40
"2018-01-31",36
"2018-02-01",40
"2018-02-02",31
"2018-02-03",38
"2018-02-04",39
"2018-02-05",33
"2018-02-06",31
"2018-02-07",35
"2018-02-08",34
"2018-02-09",32
"2018-02-10",36
"2018-02-11",43
"2018-02-12",47
"2018-02-13",40
"2018-02-14",38
"2018-02-15",44
"2018-02-16",55
"2018-02-17",74
"2018-02-18",95
"2018-02-19",90
"2018-02-20",84
"2018-02-21",76
"2018-02-22",75
"2018-02-23",69
"2018-02-24",89
"2018-02-25",90
"2018-02-26",75
"2018-02-27",76
"2018-02-28",67
"2018-03-01",91
"2018-03-02",67
"2018-03-03",69
"2018-03-04",93
"2018-03-05",64
"2018-03-06",58
"2018-03-07",56
"2018-03-08",52
"2018-03-09",41
"2018-03-10",72
"2018-03-11",94
"2018-03-12",61
"2018-03-13",69
"2018-03-14",55
"2018-03-15",59
"2018-03-16",44
"2018-03-17",84
"2018-03-18",93
"2018-03-19",72
"2018-03-20",60
"2018-03-21",55
"2018-03-22",49
"2018-03-23",53
"2018-03-24",67
"2018-03-25",98
"2018-03-26",67
"2018-03-27",65
"2018-03-28",71
"2018-03-29",59
"2018-03-30",54
"2018-03-31",89
"2018-04-01",100
"2018-04-02",61
"2018-04-03",56
"2018-04-04",53
"2018-04-05",44
"2018-04-06",46
"2018-04-07",67
"2018-04-08",79
"2018-04-09",58
"2018-04-10",49
"2018-04-11",44
"2018-04-12",35
"2018-04-13",39
"2018-04-14",50
"2018-04-15",59
"2018-04-16",39
"2018-04-17",44
"2018-04-18",41
"2018-04-19",40
