네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","데상트롱패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",2
"2017-08-17",2
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",2
"2017-08-25",3
"2017-08-26",4
"2017-08-27",5
"2017-08-28",4
"2017-08-29",5
"2017-08-30",5
"2017-08-31",3
"2017-09-01",3
"2017-09-02",3
"2017-09-03",4
"2017-09-04",3
"2017-09-05",3
"2017-09-06",5
"2017-09-07",5
"2017-09-08",3
"2017-09-09",3
"2017-09-10",4
"2017-09-11",5
"2017-09-12",3
"2017-09-13",4
"2017-09-14",4
"2017-09-15",4
"2017-09-16",5
"2017-09-17",6
"2017-09-18",6
"2017-09-19",5
"2017-09-20",5
"2017-09-21",5
"2017-09-22",4
"2017-09-23",5
"2017-09-24",5
"2017-09-25",5
"2017-09-26",5
"2017-09-27",4
"2017-09-28",5
"2017-09-29",5
"2017-09-30",6
"2017-10-01",9
"2017-10-02",8
"2017-10-03",8
"2017-10-04",8
"2017-10-05",9
"2017-10-06",11
"2017-10-07",9
"2017-10-08",10
"2017-10-09",10
"2017-10-10",9
"2017-10-11",10
"2017-10-12",14
"2017-10-13",12
"2017-10-14",14
"2017-10-15",13
"2017-10-16",13
"2017-10-17",11
"2017-10-18",14
"2017-10-19",9
"2017-10-20",8
"2017-10-21",9
"2017-10-22",14
"2017-10-23",15
"2017-10-24",15
"2017-10-25",17
"2017-10-26",14
"2017-10-27",11
"2017-10-28",11
"2017-10-29",24
"2017-10-30",55
"2017-10-31",53
"2017-11-01",41
"2017-11-02",33
"2017-11-03",35
"2017-11-04",47
"2017-11-05",53
"2017-11-06",46
"2017-11-07",32
"2017-11-08",29
"2017-11-09",29
"2017-11-10",29
"2017-11-11",41
"2017-11-12",56
"2017-11-13",56
"2017-11-14",53
"2017-11-15",61
"2017-11-16",83
"2017-11-17",71
"2017-11-18",72
"2017-11-19",96
"2017-11-20",100
"2017-11-21",78
"2017-11-22",61
"2017-11-23",60
"2017-11-24",55
"2017-11-25",46
"2017-11-26",45
"2017-11-27",43
"2017-11-28",33
"2017-11-29",28
"2017-11-30",36
"2017-12-01",35
"2017-12-02",43
"2017-12-03",45
"2017-12-04",38
"2017-12-05",48
"2017-12-06",41
"2017-12-07",39
"2017-12-08",38
"2017-12-09",35
"2017-12-10",38
"2017-12-11",45
"2017-12-12",42
"2017-12-13",38
"2017-12-14",30
"2017-12-15",23
"2017-12-16",25
"2017-12-17",31
"2017-12-18",23
"2017-12-19",20
"2017-12-20",19
"2017-12-21",15
"2017-12-22",10
"2017-12-23",11
"2017-12-24",13
"2017-12-25",11
"2017-12-26",11
"2017-12-27",13
"2017-12-28",12
"2017-12-29",9
"2017-12-30",9
"2017-12-31",9
"2018-01-01",11
"2018-01-02",8
"2018-01-03",8
"2018-01-04",9
"2018-01-05",7
"2018-01-06",10
"2018-01-07",11
"2018-01-08",10
"2018-01-09",11
"2018-01-10",13
"2018-01-11",14
"2018-01-12",13
"2018-01-13",13
"2018-01-14",13
"2018-01-15",8
"2018-01-16",7
"2018-01-17",6
"2018-01-18",5
"2018-01-19",4
"2018-01-20",5
"2018-01-21",6
"2018-01-22",6
"2018-01-23",9
"2018-01-24",11
"2018-01-25",13
"2018-01-26",13
"2018-01-27",13
"2018-01-28",14
"2018-01-29",12
"2018-01-30",10
"2018-01-31",9
"2018-02-01",7
"2018-02-02",5
"2018-02-03",7
"2018-02-04",15
"2018-02-05",16
"2018-02-06",15
"2018-02-07",13
"2018-02-08",8
"2018-02-09",6
"2018-02-10",6
"2018-02-11",10
"2018-02-12",8
"2018-02-13",6
"2018-02-14",4
"2018-02-15",5
"2018-02-16",5
"2018-02-17",6
"2018-02-18",7
"2018-02-19",4
"2018-02-20",3
"2018-02-21",3
"2018-02-22",2
"2018-02-23",2
"2018-02-24",2
"2018-02-25",3
"2018-02-26",2
"2018-02-27",2
"2018-02-28",2
"2018-03-01",2
"2018-03-02",2
"2018-03-03",1
"2018-03-04",1
"2018-03-05",1
"2018-03-06",1
"2018-03-07",1
"2018-03-08",1
"2018-03-09",1
"2018-03-10",1
"2018-03-11",1
"2018-03-12",1
"2018-03-13",1
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-17",
"2018-03-18",
"2018-03-19",
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",
"2018-03-24",
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
