네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키트레이닝복세트"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",4
"2017-08-04",4
"2017-08-05",4
"2017-08-06",6
"2017-08-07",6
"2017-08-08",6
"2017-08-09",9
"2017-08-10",6
"2017-08-11",8
"2017-08-12",8
"2017-08-13",9
"2017-08-14",13
"2017-08-15",18
"2017-08-16",15
"2017-08-17",16
"2017-08-18",13
"2017-08-19",14
"2017-08-20",21
"2017-08-21",20
"2017-08-22",20
"2017-08-23",17
"2017-08-24",18
"2017-08-25",14
"2017-08-26",15
"2017-08-27",21
"2017-08-28",27
"2017-08-29",31
"2017-08-30",36
"2017-08-31",31
"2017-09-01",33
"2017-09-02",29
"2017-09-03",37
"2017-09-04",35
"2017-09-05",35
"2017-09-06",33
"2017-09-07",38
"2017-09-08",26
"2017-09-09",25
"2017-09-10",33
"2017-09-11",35
"2017-09-12",30
"2017-09-13",37
"2017-09-14",29
"2017-09-15",26
"2017-09-16",28
"2017-09-17",44
"2017-09-18",40
"2017-09-19",36
"2017-09-20",35
"2017-09-21",37
"2017-09-22",31
"2017-09-23",32
"2017-09-24",41
"2017-09-25",40
"2017-09-26",35
"2017-09-27",38
"2017-09-28",32
"2017-09-29",31
"2017-09-30",38
"2017-10-01",51
"2017-10-02",46
"2017-10-03",41
"2017-10-04",37
"2017-10-05",47
"2017-10-06",60
"2017-10-07",62
"2017-10-08",53
"2017-10-09",64
"2017-10-10",59
"2017-10-11",59
"2017-10-12",65
"2017-10-13",53
"2017-10-14",52
"2017-10-15",68
"2017-10-16",62
"2017-10-17",59
"2017-10-18",53
"2017-10-19",48
"2017-10-20",41
"2017-10-21",43
"2017-10-22",58
"2017-10-23",59
"2017-10-24",57
"2017-10-25",53
"2017-10-26",55
"2017-10-27",40
"2017-10-28",52
"2017-10-29",70
"2017-10-30",63
"2017-10-31",54
"2017-11-01",61
"2017-11-02",54
"2017-11-03",44
"2017-11-04",49
"2017-11-05",66
"2017-11-06",60
"2017-11-07",58
"2017-11-08",53
"2017-11-09",48
"2017-11-10",38
"2017-11-11",46
"2017-11-12",58
"2017-11-13",53
"2017-11-14",52
"2017-11-15",46
"2017-11-16",45
"2017-11-17",41
"2017-11-18",39
"2017-11-19",62
"2017-11-20",50
"2017-11-21",51
"2017-11-22",41
"2017-11-23",40
"2017-11-24",34
"2017-11-25",32
"2017-11-26",46
"2017-11-27",42
"2017-11-28",39
"2017-11-29",37
"2017-11-30",40
"2017-12-01",29
"2017-12-02",37
"2017-12-03",50
"2017-12-04",45
"2017-12-05",44
"2017-12-06",39
"2017-12-07",37
"2017-12-08",31
"2017-12-09",37
"2017-12-10",60
"2017-12-11",49
"2017-12-12",37
"2017-12-13",39
"2017-12-14",37
"2017-12-15",29
"2017-12-16",31
"2017-12-17",44
"2017-12-18",40
"2017-12-19",40
"2017-12-20",35
"2017-12-21",31
"2017-12-22",29
"2017-12-23",31
"2017-12-24",36
"2017-12-25",39
"2017-12-26",42
"2017-12-27",35
"2017-12-28",35
"2017-12-29",30
"2017-12-30",34
"2017-12-31",37
"2018-01-01",49
"2018-01-02",50
"2018-01-03",52
"2018-01-04",44
"2018-01-05",39
"2018-01-06",40
"2018-01-07",48
"2018-01-08",50
"2018-01-09",46
"2018-01-10",44
"2018-01-11",39
"2018-01-12",34
"2018-01-13",36
"2018-01-14",53
"2018-01-15",53
"2018-01-16",46
"2018-01-17",42
"2018-01-18",42
"2018-01-19",32
"2018-01-20",42
"2018-01-21",55
"2018-01-22",47
"2018-01-23",46
"2018-01-24",44
"2018-01-25",43
"2018-01-26",44
"2018-01-27",47
"2018-01-28",67
"2018-01-29",60
"2018-01-30",60
"2018-01-31",49
"2018-02-01",60
"2018-02-02",56
"2018-02-03",55
"2018-02-04",70
"2018-02-05",65
"2018-02-06",64
"2018-02-07",59
"2018-02-08",49
"2018-02-09",48
"2018-02-10",51
"2018-02-11",74
"2018-02-12",68
"2018-02-13",47
"2018-02-14",50
"2018-02-15",54
"2018-02-16",61
"2018-02-17",72
"2018-02-18",95
"2018-02-19",92
"2018-02-20",82
"2018-02-21",67
"2018-02-22",57
"2018-02-23",57
"2018-02-24",64
"2018-02-25",87
"2018-02-26",76
"2018-02-27",72
"2018-02-28",56
"2018-03-01",77
"2018-03-02",85
"2018-03-03",88
"2018-03-04",100
"2018-03-05",81
"2018-03-06",66
"2018-03-07",69
"2018-03-08",63
"2018-03-09",52
"2018-03-10",63
"2018-03-11",83
"2018-03-12",80
"2018-03-13",81
"2018-03-14",67
"2018-03-15",66
"2018-03-16",56
"2018-03-17",63
"2018-03-18",79
"2018-03-19",65
"2018-03-20",59
"2018-03-21",65
"2018-03-22",53
"2018-03-23",45
"2018-03-24",58
"2018-03-25",77
"2018-03-26",57
"2018-03-27",56
"2018-03-28",56
"2018-03-29",47
"2018-03-30",37
"2018-03-31",39
"2018-04-01",63
"2018-04-02",58
"2018-04-03",48
"2018-04-04",49
"2018-04-05",48
"2018-04-06",41
"2018-04-07",45
"2018-04-08",53
"2018-04-09",48
"2018-04-10",58
"2018-04-11",60
"2018-04-12",46
"2018-04-13",41
"2018-04-14",50
"2018-04-15",59
"2018-04-16",53
"2018-04-17",49
"2018-04-18",46
"2018-04-19",39
