네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키즈구스다운"
"2017-08-01",4
"2017-08-02",3
"2017-08-03",2
"2017-08-04",3
"2017-08-05",3
"2017-08-06",5
"2017-08-07",4
"2017-08-08",5
"2017-08-09",6
"2017-08-10",6
"2017-08-11",7
"2017-08-12",7
"2017-08-13",7
"2017-08-14",10
"2017-08-15",13
"2017-08-16",11
"2017-08-17",10
"2017-08-18",12
"2017-08-19",10
"2017-08-20",12
"2017-08-21",13
"2017-08-22",12
"2017-08-23",10
"2017-08-24",14
"2017-08-25",11
"2017-08-26",8
"2017-08-27",13
"2017-08-28",10
"2017-08-29",14
"2017-08-30",15
"2017-08-31",12
"2017-09-01",7
"2017-09-02",9
"2017-09-03",13
"2017-09-04",8
"2017-09-05",11
"2017-09-06",11
"2017-09-07",8
"2017-09-08",6
"2017-09-09",7
"2017-09-10",8
"2017-09-11",13
"2017-09-12",9
"2017-09-13",7
"2017-09-14",9
"2017-09-15",7
"2017-09-16",7
"2017-09-17",9
"2017-09-18",8
"2017-09-19",8
"2017-09-20",7
"2017-09-21",6
"2017-09-22",5
"2017-09-23",6
"2017-09-24",7
"2017-09-25",7
"2017-09-26",5
"2017-09-27",6
"2017-09-28",6
"2017-09-29",6
"2017-09-30",8
"2017-10-01",14
"2017-10-02",10
"2017-10-03",9
"2017-10-04",5
"2017-10-05",11
"2017-10-06",13
"2017-10-07",11
"2017-10-08",11
"2017-10-09",12
"2017-10-10",13
"2017-10-11",12
"2017-10-12",19
"2017-10-13",21
"2017-10-14",17
"2017-10-15",19
"2017-10-16",20
"2017-10-17",20
"2017-10-18",21
"2017-10-19",18
"2017-10-20",14
"2017-10-21",14
"2017-10-22",17
"2017-10-23",20
"2017-10-24",21
"2017-10-25",21
"2017-10-26",21
"2017-10-27",15
"2017-10-28",14
"2017-10-29",29
"2017-10-30",53
"2017-10-31",44
"2017-11-01",35
"2017-11-02",29
"2017-11-03",28
"2017-11-04",34
"2017-11-05",44
"2017-11-06",42
"2017-11-07",38
"2017-11-08",31
"2017-11-09",38
"2017-11-10",35
"2017-11-11",40
"2017-11-12",51
"2017-11-13",57
"2017-11-14",61
"2017-11-15",72
"2017-11-16",79
"2017-11-17",70
"2017-11-18",76
"2017-11-19",98
"2017-11-20",100
"2017-11-21",83
"2017-11-22",72
"2017-11-23",64
"2017-11-24",58
"2017-11-25",47
"2017-11-26",51
"2017-11-27",51
"2017-11-28",40
"2017-11-29",37
"2017-11-30",42
"2017-12-01",41
"2017-12-02",36
"2017-12-03",41
"2017-12-04",47
"2017-12-05",61
"2017-12-06",43
"2017-12-07",35
"2017-12-08",33
"2017-12-09",30
"2017-12-10",37
"2017-12-11",56
"2017-12-12",55
"2017-12-13",45
"2017-12-14",34
"2017-12-15",25
"2017-12-16",26
"2017-12-17",34
"2017-12-18",32
"2017-12-19",30
"2017-12-20",21
"2017-12-21",16
"2017-12-22",13
"2017-12-23",11
"2017-12-24",13
"2017-12-25",13
"2017-12-26",16
"2017-12-27",16
"2017-12-28",15
"2017-12-29",10
"2017-12-30",10
"2017-12-31",12
"2018-01-01",14
"2018-01-02",11
"2018-01-03",16
"2018-01-04",13
"2018-01-05",12
"2018-01-06",14
"2018-01-07",13
"2018-01-08",14
"2018-01-09",17
"2018-01-10",20
"2018-01-11",23
"2018-01-12",16
"2018-01-13",15
"2018-01-14",16
"2018-01-15",13
"2018-01-16",11
"2018-01-17",8
"2018-01-18",7
"2018-01-19",6
"2018-01-20",5
"2018-01-21",8
"2018-01-22",10
"2018-01-23",15
"2018-01-24",19
"2018-01-25",19
"2018-01-26",16
"2018-01-27",19
"2018-01-28",21
"2018-01-29",20
"2018-01-30",20
"2018-01-31",16
"2018-02-01",15
"2018-02-02",13
"2018-02-03",17
"2018-02-04",21
"2018-02-05",25
"2018-02-06",18
"2018-02-07",22
"2018-02-08",18
"2018-02-09",15
"2018-02-10",13
"2018-02-11",18
"2018-02-12",16
"2018-02-13",14
"2018-02-14",8
"2018-02-15",9
"2018-02-16",7
"2018-02-17",11
"2018-02-18",16
"2018-02-19",11
"2018-02-20",7
"2018-02-21",8
"2018-02-22",7
"2018-02-23",6
"2018-02-24",7
"2018-02-25",7
"2018-02-26",6
"2018-02-27",6
"2018-02-28",4
"2018-03-01",6
"2018-03-02",4
"2018-03-03",3
"2018-03-04",4
"2018-03-05",3
"2018-03-06",3
"2018-03-07",2
"2018-03-08",4
"2018-03-09",2
"2018-03-10",2
"2018-03-11",3
"2018-03-12",2
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",2
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",1
"2018-03-30",
"2018-03-31",1
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
