네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성핸드메이드코트"
"2017-08-01",1
"2017-08-02",2
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",2
"2017-08-09",1
"2017-08-10",1
"2017-08-11",
"2017-08-12",
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",
"2017-08-19",1
"2017-08-20",
"2017-08-21",1
"2017-08-22",1
"2017-08-23",
"2017-08-24",1
"2017-08-25",
"2017-08-26",
"2017-08-27",2
"2017-08-28",1
"2017-08-29",1
"2017-08-30",
"2017-08-31",
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",
"2017-09-05",1
"2017-09-06",
"2017-09-07",1
"2017-09-08",
"2017-09-09",
"2017-09-10",1
"2017-09-11",
"2017-09-12",
"2017-09-13",1
"2017-09-14",
"2017-09-15",1
"2017-09-16",1
"2017-09-17",1
"2017-09-18",1
"2017-09-19",1
"2017-09-20",1
"2017-09-21",1
"2017-09-22",
"2017-09-23",1
"2017-09-24",2
"2017-09-25",1
"2017-09-26",
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",2
"2017-10-01",4
"2017-10-02",4
"2017-10-03",2
"2017-10-04",1
"2017-10-05",3
"2017-10-06",4
"2017-10-07",3
"2017-10-08",4
"2017-10-09",5
"2017-10-10",3
"2017-10-11",6
"2017-10-12",8
"2017-10-13",13
"2017-10-14",9
"2017-10-15",12
"2017-10-16",12
"2017-10-17",12
"2017-10-18",12
"2017-10-19",9
"2017-10-20",10
"2017-10-21",11
"2017-10-22",13
"2017-10-23",13
"2017-10-24",15
"2017-10-25",18
"2017-10-26",14
"2017-10-27",12
"2017-10-28",14
"2017-10-29",15
"2017-10-30",25
"2017-10-31",22
"2017-11-01",22
"2017-11-02",21
"2017-11-03",25
"2017-11-04",32
"2017-11-05",37
"2017-11-06",38
"2017-11-07",37
"2017-11-08",37
"2017-11-09",29
"2017-11-10",25
"2017-11-11",34
"2017-11-12",38
"2017-11-13",38
"2017-11-14",37
"2017-11-15",41
"2017-11-16",43
"2017-11-17",43
"2017-11-18",46
"2017-11-19",55
"2017-11-20",48
"2017-11-21",54
"2017-11-22",54
"2017-11-23",53
"2017-11-24",47
"2017-11-25",51
"2017-11-26",63
"2017-11-27",56
"2017-11-28",60
"2017-11-29",74
"2017-11-30",64
"2017-12-01",60
"2017-12-02",70
"2017-12-03",76
"2017-12-04",76
"2017-12-05",67
"2017-12-06",68
"2017-12-07",64
"2017-12-08",53
"2017-12-09",60
"2017-12-10",68
"2017-12-11",63
"2017-12-12",48
"2017-12-13",47
"2017-12-14",46
"2017-12-15",44
"2017-12-16",44
"2017-12-17",56
"2017-12-18",42
"2017-12-19",39
"2017-12-20",32
"2017-12-21",36
"2017-12-22",26
"2017-12-23",43
"2017-12-24",40
"2017-12-25",56
"2017-12-26",48
"2017-12-27",43
"2017-12-28",45
"2017-12-29",45
"2017-12-30",55
"2017-12-31",52
"2018-01-01",58
"2018-01-02",60
"2018-01-03",56
"2018-01-04",54
"2018-01-05",50
"2018-01-06",69
"2018-01-07",76
"2018-01-08",67
"2018-01-09",75
"2018-01-10",69
"2018-01-11",64
"2018-01-12",59
"2018-01-13",66
"2018-01-14",72
"2018-01-15",69
"2018-01-16",92
"2018-01-17",95
"2018-01-18",89
"2018-01-19",79
"2018-01-20",82
"2018-01-21",100
"2018-01-22",85
"2018-01-23",80
"2018-01-24",70
"2018-01-25",73
"2018-01-26",55
"2018-01-27",73
"2018-01-28",89
"2018-01-29",73
"2018-01-30",76
"2018-01-31",71
"2018-02-01",71
"2018-02-02",65
"2018-02-03",63
"2018-02-04",64
"2018-02-05",63
"2018-02-06",51
"2018-02-07",49
"2018-02-08",51
"2018-02-09",45
"2018-02-10",44
"2018-02-11",55
"2018-02-12",37
"2018-02-13",35
"2018-02-14",31
"2018-02-15",31
"2018-02-16",29
"2018-02-17",35
"2018-02-18",57
"2018-02-19",53
"2018-02-20",52
"2018-02-21",52
"2018-02-22",48
"2018-02-23",39
"2018-02-24",51
"2018-02-25",65
"2018-02-26",51
"2018-02-27",58
"2018-02-28",50
"2018-03-01",44
"2018-03-02",45
"2018-03-03",51
"2018-03-04",62
"2018-03-05",46
"2018-03-06",48
"2018-03-07",55
"2018-03-08",42
"2018-03-09",36
"2018-03-10",43
"2018-03-11",57
"2018-03-12",38
"2018-03-13",25
"2018-03-14",10
"2018-03-15",8
"2018-03-16",11
"2018-03-17",13
"2018-03-18",13
"2018-03-19",12
"2018-03-20",12
"2018-03-21",10
"2018-03-22",10
"2018-03-23",6
"2018-03-24",8
"2018-03-25",6
"2018-03-26",5
"2018-03-27",2
"2018-03-28",1
"2018-03-29",3
"2018-03-30",
"2018-03-31",1
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",1
"2018-04-14",1
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
