네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","올리브데올리브코트"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",2
"2017-08-04",3
"2017-08-05",3
"2017-08-06",8
"2017-08-07",4
"2017-08-08",4
"2017-08-09",6
"2017-08-10",6
"2017-08-11",7
"2017-08-12",6
"2017-08-13",8
"2017-08-14",7
"2017-08-15",10
"2017-08-16",7
"2017-08-17",8
"2017-08-18",10
"2017-08-19",11
"2017-08-20",12
"2017-08-21",10
"2017-08-22",9
"2017-08-23",8
"2017-08-24",7
"2017-08-25",6
"2017-08-26",8
"2017-08-27",11
"2017-08-28",8
"2017-08-29",7
"2017-08-30",7
"2017-08-31",7
"2017-09-01",7
"2017-09-02",8
"2017-09-03",8
"2017-09-04",7
"2017-09-05",6
"2017-09-06",3
"2017-09-07",5
"2017-09-08",3
"2017-09-09",4
"2017-09-10",6
"2017-09-11",4
"2017-09-12",4
"2017-09-13",5
"2017-09-14",3
"2017-09-15",3
"2017-09-16",6
"2017-09-17",5
"2017-09-18",4
"2017-09-19",3
"2017-09-20",3
"2017-09-21",5
"2017-09-22",5
"2017-09-23",4
"2017-09-24",6
"2017-09-25",4
"2017-09-26",4
"2017-09-27",5
"2017-09-28",4
"2017-09-29",5
"2017-09-30",5
"2017-10-01",11
"2017-10-02",10
"2017-10-03",10
"2017-10-04",9
"2017-10-05",11
"2017-10-06",12
"2017-10-07",14
"2017-10-08",15
"2017-10-09",16
"2017-10-10",10
"2017-10-11",10
"2017-10-12",18
"2017-10-13",17
"2017-10-14",27
"2017-10-15",31
"2017-10-16",21
"2017-10-17",19
"2017-10-18",20
"2017-10-19",20
"2017-10-20",19
"2017-10-21",26
"2017-10-22",29
"2017-10-23",23
"2017-10-24",26
"2017-10-25",24
"2017-10-26",26
"2017-10-27",24
"2017-10-28",37
"2017-10-29",51
"2017-10-30",52
"2017-10-31",52
"2017-11-01",45
"2017-11-02",41
"2017-11-03",43
"2017-11-04",58
"2017-11-05",74
"2017-11-06",56
"2017-11-07",54
"2017-11-08",54
"2017-11-09",51
"2017-11-10",45
"2017-11-11",69
"2017-11-12",85
"2017-11-13",62
"2017-11-14",62
"2017-11-15",59
"2017-11-16",56
"2017-11-17",56
"2017-11-18",76
"2017-11-19",84
"2017-11-20",58
"2017-11-21",57
"2017-11-22",58
"2017-11-23",55
"2017-11-24",45
"2017-11-25",66
"2017-11-26",82
"2017-11-27",56
"2017-11-28",51
"2017-11-29",60
"2017-11-30",45
"2017-12-01",41
"2017-12-02",68
"2017-12-03",76
"2017-12-04",57
"2017-12-05",50
"2017-12-06",47
"2017-12-07",42
"2017-12-08",42
"2017-12-09",57
"2017-12-10",75
"2017-12-11",51
"2017-12-12",39
"2017-12-13",40
"2017-12-14",36
"2017-12-15",31
"2017-12-16",42
"2017-12-17",48
"2017-12-18",38
"2017-12-19",34
"2017-12-20",34
"2017-12-21",30
"2017-12-22",34
"2017-12-23",51
"2017-12-24",50
"2017-12-25",53
"2017-12-26",42
"2017-12-27",37
"2017-12-28",39
"2017-12-29",39
"2017-12-30",47
"2017-12-31",58
"2018-01-01",55
"2018-01-02",46
"2018-01-03",49
"2018-01-04",45
"2018-01-05",45
"2018-01-06",65
"2018-01-07",72
"2018-01-08",63
"2018-01-09",57
"2018-01-10",46
"2018-01-11",53
"2018-01-12",34
"2018-01-13",60
"2018-01-14",65
"2018-01-15",54
"2018-01-16",62
"2018-01-17",64
"2018-01-18",72
"2018-01-19",61
"2018-01-20",85
"2018-01-21",91
"2018-01-22",73
"2018-01-23",71
"2018-01-24",57
"2018-01-25",59
"2018-01-26",48
"2018-01-27",60
"2018-01-28",69
"2018-01-29",52
"2018-01-30",59
"2018-01-31",66
"2018-02-01",66
"2018-02-02",60
"2018-02-03",91
"2018-02-04",100
"2018-02-05",68
"2018-02-06",57
"2018-02-07",59
"2018-02-08",53
"2018-02-09",49
"2018-02-10",54
"2018-02-11",77
"2018-02-12",45
"2018-02-13",40
"2018-02-14",38
"2018-02-15",32
"2018-02-16",34
"2018-02-17",47
"2018-02-18",69
"2018-02-19",52
"2018-02-20",47
"2018-02-21",53
"2018-02-22",44
"2018-02-23",44
"2018-02-24",56
"2018-02-25",69
"2018-02-26",54
"2018-02-27",60
"2018-02-28",41
"2018-03-01",54
"2018-03-02",31
"2018-03-03",39
"2018-03-04",51
"2018-03-05",32
"2018-03-06",31
"2018-03-07",29
"2018-03-08",17
"2018-03-09",20
"2018-03-10",27
"2018-03-11",31
"2018-03-12",22
"2018-03-13",14
"2018-03-14",10
"2018-03-15",9
"2018-03-16",10
"2018-03-17",10
"2018-03-18",13
"2018-03-19",9
"2018-03-20",9
"2018-03-21",9
"2018-03-22",5
"2018-03-23",9
"2018-03-24",8
"2018-03-25",8
"2018-03-26",5
"2018-03-27",4
"2018-03-28",3
"2018-03-29",2
"2018-03-30",2
"2018-03-31",3
"2018-04-01",3
"2018-04-02",3
"2018-04-03",2
"2018-04-04",2
"2018-04-05",2
"2018-04-06",1
"2018-04-07",2
"2018-04-08",3
"2018-04-09",1
"2018-04-10",2
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
