네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","생활한복"
"2017-08-01",23
"2017-08-02",21
"2017-08-03",25
"2017-08-04",24
"2017-08-05",27
"2017-08-06",28
"2017-08-07",27
"2017-08-08",28
"2017-08-09",22
"2017-08-10",29
"2017-08-11",23
"2017-08-12",25
"2017-08-13",49
"2017-08-14",46
"2017-08-15",35
"2017-08-16",33
"2017-08-17",26
"2017-08-18",41
"2017-08-19",49
"2017-08-20",52
"2017-08-21",34
"2017-08-22",29
"2017-08-23",38
"2017-08-24",31
"2017-08-25",32
"2017-08-26",41
"2017-08-27",44
"2017-08-28",28
"2017-08-29",34
"2017-08-30",37
"2017-08-31",33
"2017-09-01",38
"2017-09-02",35
"2017-09-03",43
"2017-09-04",39
"2017-09-05",42
"2017-09-06",49
"2017-09-07",44
"2017-09-08",45
"2017-09-09",47
"2017-09-10",55
"2017-09-11",51
"2017-09-12",54
"2017-09-13",52
"2017-09-14",58
"2017-09-15",51
"2017-09-16",69
"2017-09-17",76
"2017-09-18",64
"2017-09-19",71
"2017-09-20",84
"2017-09-21",75
"2017-09-22",57
"2017-09-23",72
"2017-09-24",76
"2017-09-25",67
"2017-09-26",63
"2017-09-27",70
"2017-09-28",59
"2017-09-29",45
"2017-09-30",44
"2017-10-01",42
"2017-10-02",45
"2017-10-03",39
"2017-10-04",59
"2017-10-05",56
"2017-10-06",46
"2017-10-07",53
"2017-10-08",50
"2017-10-09",38
"2017-10-10",29
"2017-10-11",27
"2017-10-12",25
"2017-10-13",24
"2017-10-14",26
"2017-10-15",28
"2017-10-16",23
"2017-10-17",18
"2017-10-18",21
"2017-10-19",17
"2017-10-20",22
"2017-10-21",22
"2017-10-22",25
"2017-10-23",20
"2017-10-24",19
"2017-10-25",21
"2017-10-26",21
"2017-10-27",22
"2017-10-28",20
"2017-10-29",28
"2017-10-30",21
"2017-10-31",13
"2017-11-01",15
"2017-11-02",19
"2017-11-03",20
"2017-11-04",33
"2017-11-05",27
"2017-11-06",19
"2017-11-07",18
"2017-11-08",22
"2017-11-09",19
"2017-11-10",16
"2017-11-11",21
"2017-11-12",23
"2017-11-13",19
"2017-11-14",15
"2017-11-15",17
"2017-11-16",12
"2017-11-17",14
"2017-11-18",14
"2017-11-19",16
"2017-11-20",14
"2017-11-21",14
"2017-11-22",14
"2017-11-23",13
"2017-11-24",12
"2017-11-25",14
"2017-11-26",17
"2017-11-27",15
"2017-11-28",13
"2017-11-29",14
"2017-11-30",17
"2017-12-01",13
"2017-12-02",15
"2017-12-03",20
"2017-12-04",16
"2017-12-05",17
"2017-12-06",15
"2017-12-07",14
"2017-12-08",12
"2017-12-09",13
"2017-12-10",17
"2017-12-11",18
"2017-12-12",17
"2017-12-13",17
"2017-12-14",16
"2017-12-15",15
"2017-12-16",19
"2017-12-17",25
"2017-12-18",19
"2017-12-19",13
"2017-12-20",14
"2017-12-21",14
"2017-12-22",14
"2017-12-23",17
"2017-12-24",15
"2017-12-25",17
"2017-12-26",19
"2017-12-27",16
"2017-12-28",18
"2017-12-29",16
"2017-12-30",18
"2017-12-31",22
"2018-01-01",32
"2018-01-02",22
"2018-01-03",23
"2018-01-04",24
"2018-01-05",26
"2018-01-06",39
"2018-01-07",33
"2018-01-08",31
"2018-01-09",26
"2018-01-10",31
"2018-01-11",28
"2018-01-12",29
"2018-01-13",29
"2018-01-14",39
"2018-01-15",37
"2018-01-16",43
"2018-01-17",39
"2018-01-18",36
"2018-01-19",42
"2018-01-20",43
"2018-01-21",63
"2018-01-22",49
"2018-01-23",57
"2018-01-24",47
"2018-01-25",54
"2018-01-26",41
"2018-01-27",68
"2018-01-28",66
"2018-01-29",68
"2018-01-30",90
"2018-01-31",75
"2018-02-01",66
"2018-02-02",67
"2018-02-03",85
"2018-02-04",80
"2018-02-05",67
"2018-02-06",69
"2018-02-07",66
"2018-02-08",62
"2018-02-09",51
"2018-02-10",66
"2018-02-11",62
"2018-02-12",44
"2018-02-13",39
"2018-02-14",49
"2018-02-15",50
"2018-02-16",100
"2018-02-17",84
"2018-02-18",55
"2018-02-19",41
"2018-02-20",27
"2018-02-21",32
"2018-02-22",28
"2018-02-23",25
"2018-02-24",28
"2018-02-25",29
"2018-02-26",22
"2018-02-27",25
"2018-02-28",24
"2018-03-01",30
"2018-03-02",25
"2018-03-03",25
"2018-03-04",31
"2018-03-05",22
"2018-03-06",37
"2018-03-07",32
"2018-03-08",28
"2018-03-09",30
"2018-03-10",28
"2018-03-11",34
"2018-03-12",34
"2018-03-13",30
"2018-03-14",30
"2018-03-15",34
"2018-03-16",31
"2018-03-17",34
"2018-03-18",36
"2018-03-19",34
"2018-03-20",28
"2018-03-21",32
"2018-03-22",40
"2018-03-23",34
"2018-03-24",44
"2018-03-25",47
"2018-03-26",38
"2018-03-27",37
"2018-03-28",39
"2018-03-29",34
"2018-03-30",39
"2018-03-31",44
"2018-04-01",47
"2018-04-02",38
"2018-04-03",39
"2018-04-04",37
"2018-04-05",35
"2018-04-06",30
"2018-04-07",32
"2018-04-08",44
"2018-04-09",30
"2018-04-10",31
"2018-04-11",32
"2018-04-12",37
"2018-04-13",32
"2018-04-14",31
"2018-04-15",41
"2018-04-16",37
"2018-04-17",31
"2018-04-18",29
"2018-04-19",32
