네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성청결제"
"2017-08-01",3
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",3
"2017-08-08",3
"2017-08-09",2
"2017-08-10",3
"2017-08-11",2
"2017-08-12",2
"2017-08-13",3
"2017-08-14",3
"2017-08-15",3
"2017-08-16",3
"2017-08-17",3
"2017-08-18",2
"2017-08-19",2
"2017-08-20",3
"2017-08-21",3
"2017-08-22",3
"2017-08-23",3
"2017-08-24",3
"2017-08-25",21
"2017-08-26",31
"2017-08-27",35
"2017-08-28",26
"2017-08-29",29
"2017-08-30",42
"2017-08-31",41
"2017-09-01",35
"2017-09-02",31
"2017-09-03",51
"2017-09-04",43
"2017-09-05",2
"2017-09-06",2
"2017-09-07",2
"2017-09-08",1
"2017-09-09",1
"2017-09-10",2
"2017-09-11",2
"2017-09-12",3
"2017-09-13",2
"2017-09-14",2
"2017-09-15",2
"2017-09-16",2
"2017-09-17",2
"2017-09-18",3
"2017-09-19",3
"2017-09-20",8
"2017-09-21",41
"2017-09-22",74
"2017-09-23",69
"2017-09-24",84
"2017-09-25",57
"2017-09-26",61
"2017-09-27",29
"2017-09-28",34
"2017-09-29",68
"2017-09-30",89
"2017-10-01",80
"2017-10-02",86
"2017-10-03",83
"2017-10-04",75
"2017-10-05",71
"2017-10-06",44
"2017-10-07",64
"2017-10-08",83
"2017-10-09",95
"2017-10-10",86
"2017-10-11",81
"2017-10-12",70
"2017-10-13",76
"2017-10-14",82
"2017-10-15",87
"2017-10-16",86
"2017-10-17",83
"2017-10-18",54
"2017-10-19",41
"2017-10-20",68
"2017-10-21",68
"2017-10-22",76
"2017-10-23",68
"2017-10-24",77
"2017-10-25",70
"2017-10-26",90
"2017-10-27",92
"2017-10-28",97
"2017-10-29",100
"2017-10-30",88
"2017-10-31",90
"2017-11-01",76
"2017-11-02",89
"2017-11-03",97
"2017-11-04",89
"2017-11-05",79
"2017-11-06",75
"2017-11-07",67
"2017-11-08",58
"2017-11-09",62
"2017-11-10",53
"2017-11-11",66
"2017-11-12",73
"2017-11-13",73
"2017-11-14",65
"2017-11-15",73
"2017-11-16",75
"2017-11-17",63
"2017-11-18",78
"2017-11-19",80
"2017-11-20",69
"2017-11-21",72
"2017-11-22",60
"2017-11-23",76
"2017-11-24",75
"2017-11-25",87
"2017-11-26",78
"2017-11-27",63
"2017-11-28",59
"2017-11-29",52
"2017-11-30",57
"2017-12-01",66
"2017-12-02",73
"2017-12-03",89
"2017-12-04",51
"2017-12-05",9
"2017-12-06",4
"2017-12-07",5
"2017-12-08",3
"2017-12-09",4
"2017-12-10",4
"2017-12-11",5
"2017-12-12",5
"2017-12-13",4
"2017-12-14",4
"2017-12-15",3
"2017-12-16",3
"2017-12-17",3
"2017-12-18",3
"2017-12-19",4
"2017-12-20",3
"2017-12-21",3
"2017-12-22",2
"2017-12-23",2
"2017-12-24",2
"2017-12-25",3
"2017-12-26",3
"2017-12-27",4
"2017-12-28",3
"2017-12-29",2
"2017-12-30",3
"2017-12-31",2
"2018-01-01",5
"2018-01-02",5
"2018-01-03",4
"2018-01-04",5
"2018-01-05",3
"2018-01-06",4
"2018-01-07",4
"2018-01-08",5
"2018-01-09",6
"2018-01-10",4
"2018-01-11",5
"2018-01-12",4
"2018-01-13",3
"2018-01-14",5
"2018-01-15",6
"2018-01-16",5
"2018-01-17",4
"2018-01-18",4
"2018-01-19",4
"2018-01-20",3
"2018-01-21",4
"2018-01-22",4
"2018-01-23",4
"2018-01-24",5
"2018-01-25",5
"2018-01-26",4
"2018-01-27",4
"2018-01-28",4
"2018-01-29",5
"2018-01-30",7
"2018-01-31",6
"2018-02-01",5
"2018-02-02",4
"2018-02-03",4
"2018-02-04",4
"2018-02-05",5
"2018-02-06",5
"2018-02-07",4
"2018-02-08",4
"2018-02-09",4
"2018-02-10",3
"2018-02-11",4
"2018-02-12",3
"2018-02-13",3
"2018-02-14",3
"2018-02-15",2
"2018-02-16",3
"2018-02-17",3
"2018-02-18",5
"2018-02-19",7
"2018-02-20",6
"2018-02-21",4
"2018-02-22",5
"2018-02-23",4
"2018-02-24",3
"2018-02-25",4
"2018-02-26",4
"2018-02-27",4
"2018-02-28",4
"2018-03-01",4
"2018-03-02",3
"2018-03-03",3
"2018-03-04",4
"2018-03-05",5
"2018-03-06",5
"2018-03-07",4
"2018-03-08",5
"2018-03-09",5
"2018-03-10",4
"2018-03-11",4
"2018-03-12",6
"2018-03-13",5
"2018-03-14",4
"2018-03-15",4
"2018-03-16",4
"2018-03-17",4
"2018-03-18",5
"2018-03-19",5
"2018-03-20",5
"2018-03-21",5
"2018-03-22",4
"2018-03-23",3
"2018-03-24",4
"2018-03-25",3
"2018-03-26",5
"2018-03-27",3
"2018-03-28",4
"2018-03-29",4
"2018-03-30",3
"2018-03-31",3
"2018-04-01",4
"2018-04-02",3
"2018-04-03",4
"2018-04-04",4
"2018-04-05",3
"2018-04-06",3
"2018-04-07",3
"2018-04-08",4
"2018-04-09",5
"2018-04-10",5
"2018-04-11",4
"2018-04-12",3
"2018-04-13",4
"2018-04-14",3
"2018-04-15",3
"2018-04-16",4
"2018-04-17",4
"2018-04-18",3
"2018-04-19",4
