네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","피지오겔"
"2017-08-01",12
"2017-08-02",11
"2017-08-03",10
"2017-08-04",8
"2017-08-05",9
"2017-08-06",11
"2017-08-07",13
"2017-08-08",13
"2017-08-09",13
"2017-08-10",13
"2017-08-11",10
"2017-08-12",17
"2017-08-13",10
"2017-08-14",18
"2017-08-15",13
"2017-08-16",15
"2017-08-17",15
"2017-08-18",12
"2017-08-19",10
"2017-08-20",11
"2017-08-21",16
"2017-08-22",16
"2017-08-23",21
"2017-08-24",11
"2017-08-25",12
"2017-08-26",13
"2017-08-27",15
"2017-08-28",21
"2017-08-29",23
"2017-08-30",24
"2017-08-31",27
"2017-09-01",22
"2017-09-02",18
"2017-09-03",18
"2017-09-04",25
"2017-09-05",24
"2017-09-06",23
"2017-09-07",20
"2017-09-08",15
"2017-09-09",13
"2017-09-10",15
"2017-09-11",18
"2017-09-12",28
"2017-09-13",19
"2017-09-14",20
"2017-09-15",16
"2017-09-16",16
"2017-09-17",19
"2017-09-18",21
"2017-09-19",21
"2017-09-20",20
"2017-09-21",19
"2017-09-22",16
"2017-09-23",30
"2017-09-24",15
"2017-09-25",28
"2017-09-26",21
"2017-09-27",18
"2017-09-28",21
"2017-09-29",15
"2017-09-30",15
"2017-10-01",18
"2017-10-02",17
"2017-10-03",15
"2017-10-04",15
"2017-10-05",22
"2017-10-06",27
"2017-10-07",22
"2017-10-08",26
"2017-10-09",30
"2017-10-10",36
"2017-10-11",33
"2017-10-12",46
"2017-10-13",23
"2017-10-14",18
"2017-10-15",26
"2017-10-16",40
"2017-10-17",31
"2017-10-18",33
"2017-10-19",25
"2017-10-20",21
"2017-10-21",21
"2017-10-22",29
"2017-10-23",35
"2017-10-24",28
"2017-10-25",31
"2017-10-26",25
"2017-10-27",18
"2017-10-28",19
"2017-10-29",23
"2017-10-30",30
"2017-10-31",35
"2017-11-01",36
"2017-11-02",30
"2017-11-03",34
"2017-11-04",21
"2017-11-05",31
"2017-11-06",34
"2017-11-07",34
"2017-11-08",34
"2017-11-09",28
"2017-11-10",24
"2017-11-11",20
"2017-11-12",25
"2017-11-13",35
"2017-11-14",43
"2017-11-15",37
"2017-11-16",54
"2017-11-17",34
"2017-11-18",27
"2017-11-19",38
"2017-11-20",52
"2017-11-21",64
"2017-11-22",50
"2017-11-23",46
"2017-11-24",35
"2017-11-25",30
"2017-11-26",35
"2017-11-27",38
"2017-11-28",37
"2017-11-29",33
"2017-11-30",41
"2017-12-01",38
"2017-12-02",32
"2017-12-03",37
"2017-12-04",44
"2017-12-05",44
"2017-12-06",46
"2017-12-07",41
"2017-12-08",47
"2017-12-09",30
"2017-12-10",35
"2017-12-11",48
"2017-12-12",52
"2017-12-13",43
"2017-12-14",41
"2017-12-15",37
"2017-12-16",35
"2017-12-17",47
"2017-12-18",51
"2017-12-19",58
"2017-12-20",42
"2017-12-21",32
"2017-12-22",27
"2017-12-23",24
"2017-12-24",28
"2017-12-25",44
"2017-12-26",41
"2017-12-27",37
"2017-12-28",29
"2017-12-29",26
"2017-12-30",21
"2017-12-31",21
"2018-01-01",49
"2018-01-02",50
"2018-01-03",44
"2018-01-04",44
"2018-01-05",33
"2018-01-06",39
"2018-01-07",40
"2018-01-08",47
"2018-01-09",39
"2018-01-10",41
"2018-01-11",48
"2018-01-12",34
"2018-01-13",37
"2018-01-14",42
"2018-01-15",45
"2018-01-16",68
"2018-01-17",43
"2018-01-18",37
"2018-01-19",30
"2018-01-20",32
"2018-01-21",40
"2018-01-22",54
"2018-01-23",39
"2018-01-24",47
"2018-01-25",46
"2018-01-26",36
"2018-01-27",36
"2018-01-28",53
"2018-01-29",60
"2018-01-30",54
"2018-01-31",54
"2018-02-01",52
"2018-02-02",55
"2018-02-03",40
"2018-02-04",62
"2018-02-05",57
"2018-02-06",58
"2018-02-07",46
"2018-02-08",44
"2018-02-09",34
"2018-02-10",25
"2018-02-11",32
"2018-02-12",33
"2018-02-13",25
"2018-02-14",21
"2018-02-15",20
"2018-02-16",22
"2018-02-17",30
"2018-02-18",41
"2018-02-19",100
"2018-02-20",48
"2018-02-21",42
"2018-02-22",42
"2018-02-23",61
"2018-02-24",39
"2018-02-25",49
"2018-02-26",56
"2018-02-27",47
"2018-02-28",41
"2018-03-01",47
"2018-03-02",38
"2018-03-03",34
"2018-03-04",44
"2018-03-05",42
"2018-03-06",41
"2018-03-07",37
"2018-03-08",33
"2018-03-09",30
"2018-03-10",28
"2018-03-11",37
"2018-03-12",39
"2018-03-13",36
"2018-03-14",31
"2018-03-15",27
"2018-03-16",25
"2018-03-17",23
"2018-03-18",32
"2018-03-19",38
"2018-03-20",34
"2018-03-21",35
"2018-03-22",25
"2018-03-23",24
"2018-03-24",24
"2018-03-25",31
"2018-03-26",32
"2018-03-27",30
"2018-03-28",43
"2018-03-29",27
"2018-03-30",22
"2018-03-31",18
"2018-04-01",27
"2018-04-02",26
"2018-04-03",30
"2018-04-04",27
"2018-04-05",28
"2018-04-06",23
"2018-04-07",26
"2018-04-08",31
"2018-04-09",37
"2018-04-10",35
"2018-04-11",32
"2018-04-12",30
"2018-04-13",24
"2018-04-14",26
"2018-04-15",32
"2018-04-16",39
"2018-04-17",36
"2018-04-18",35
"2018-04-19",32
