네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","마스크팩"
"2017-08-01",51
"2017-08-02",52
"2017-08-03",43
"2017-08-04",33
"2017-08-05",41
"2017-08-06",61
"2017-08-07",59
"2017-08-08",55
"2017-08-09",48
"2017-08-10",57
"2017-08-11",44
"2017-08-12",36
"2017-08-13",61
"2017-08-14",59
"2017-08-15",51
"2017-08-16",47
"2017-08-17",47
"2017-08-18",35
"2017-08-19",37
"2017-08-20",44
"2017-08-21",54
"2017-08-22",47
"2017-08-23",46
"2017-08-24",43
"2017-08-25",35
"2017-08-26",35
"2017-08-27",48
"2017-08-28",48
"2017-08-29",59
"2017-08-30",64
"2017-08-31",42
"2017-09-01",38
"2017-09-02",45
"2017-09-03",53
"2017-09-04",51
"2017-09-05",47
"2017-09-06",50
"2017-09-07",47
"2017-09-08",34
"2017-09-09",42
"2017-09-10",48
"2017-09-11",54
"2017-09-12",50
"2017-09-13",46
"2017-09-14",45
"2017-09-15",37
"2017-09-16",37
"2017-09-17",53
"2017-09-18",57
"2017-09-19",52
"2017-09-20",45
"2017-09-21",48
"2017-09-22",37
"2017-09-23",42
"2017-09-24",44
"2017-09-25",53
"2017-09-26",51
"2017-09-27",45
"2017-09-28",33
"2017-09-29",28
"2017-09-30",29
"2017-10-01",33
"2017-10-02",28
"2017-10-03",31
"2017-10-04",31
"2017-10-05",39
"2017-10-06",41
"2017-10-07",47
"2017-10-08",54
"2017-10-09",66
"2017-10-10",63
"2017-10-11",51
"2017-10-12",52
"2017-10-13",41
"2017-10-14",39
"2017-10-15",54
"2017-10-16",61
"2017-10-17",54
"2017-10-18",60
"2017-10-19",57
"2017-10-20",44
"2017-10-21",40
"2017-10-22",50
"2017-10-23",54
"2017-10-24",52
"2017-10-25",54
"2017-10-26",46
"2017-10-27",43
"2017-10-28",41
"2017-10-29",53
"2017-10-30",59
"2017-10-31",48
"2017-11-01",53
"2017-11-02",55
"2017-11-03",54
"2017-11-04",40
"2017-11-05",53
"2017-11-06",73
"2017-11-07",62
"2017-11-08",57
"2017-11-09",58
"2017-11-10",42
"2017-11-11",50
"2017-11-12",59
"2017-11-13",71
"2017-11-14",67
"2017-11-15",63
"2017-11-16",54
"2017-11-17",44
"2017-11-18",41
"2017-11-19",65
"2017-11-20",64
"2017-11-21",57
"2017-11-22",62
"2017-11-23",47
"2017-11-24",42
"2017-11-25",45
"2017-11-26",59
"2017-11-27",60
"2017-11-28",57
"2017-11-29",51
"2017-11-30",64
"2017-12-01",52
"2017-12-02",50
"2017-12-03",63
"2017-12-04",69
"2017-12-05",68
"2017-12-06",65
"2017-12-07",56
"2017-12-08",46
"2017-12-09",39
"2017-12-10",67
"2017-12-11",60
"2017-12-12",61
"2017-12-13",57
"2017-12-14",58
"2017-12-15",51
"2017-12-16",55
"2017-12-17",70
"2017-12-18",67
"2017-12-19",59
"2017-12-20",64
"2017-12-21",56
"2017-12-22",40
"2017-12-23",36
"2017-12-24",45
"2017-12-25",59
"2017-12-26",69
"2017-12-27",64
"2017-12-28",53
"2017-12-29",47
"2017-12-30",49
"2017-12-31",44
"2018-01-01",54
"2018-01-02",67
"2018-01-03",61
"2018-01-04",62
"2018-01-05",50
"2018-01-06",53
"2018-01-07",88
"2018-01-08",77
"2018-01-09",75
"2018-01-10",68
"2018-01-11",59
"2018-01-12",53
"2018-01-13",50
"2018-01-14",73
"2018-01-15",69
"2018-01-16",63
"2018-01-17",76
"2018-01-18",59
"2018-01-19",49
"2018-01-20",44
"2018-01-21",59
"2018-01-22",63
"2018-01-23",64
"2018-01-24",69
"2018-01-25",57
"2018-01-26",51
"2018-01-27",51
"2018-01-28",69
"2018-01-29",74
"2018-01-30",74
"2018-01-31",68
"2018-02-01",67
"2018-02-02",63
"2018-02-03",61
"2018-02-04",81
"2018-02-05",75
"2018-02-06",70
"2018-02-07",82
"2018-02-08",67
"2018-02-09",50
"2018-02-10",57
"2018-02-11",63
"2018-02-12",52
"2018-02-13",46
"2018-02-14",42
"2018-02-15",45
"2018-02-16",47
"2018-02-17",60
"2018-02-18",76
"2018-02-19",79
"2018-02-20",73
"2018-02-21",71
"2018-02-22",68
"2018-02-23",58
"2018-02-24",55
"2018-02-25",82
"2018-02-26",91
"2018-02-27",100
"2018-02-28",86
"2018-03-01",88
"2018-03-02",72
"2018-03-03",80
"2018-03-04",94
"2018-03-05",85
"2018-03-06",77
"2018-03-07",80
"2018-03-08",80
"2018-03-09",62
"2018-03-10",51
"2018-03-11",87
"2018-03-12",79
"2018-03-13",73
"2018-03-14",75
"2018-03-15",66
"2018-03-16",60
"2018-03-17",52
"2018-03-18",74
"2018-03-19",84
"2018-03-20",75
"2018-03-21",76
"2018-03-22",64
"2018-03-23",56
"2018-03-24",58
"2018-03-25",76
"2018-03-26",75
"2018-03-27",71
"2018-03-28",70
"2018-03-29",63
"2018-03-30",48
"2018-03-31",44
"2018-04-01",68
"2018-04-02",76
"2018-04-03",65
"2018-04-04",67
"2018-04-05",55
"2018-04-06",52
"2018-04-07",51
"2018-04-08",63
"2018-04-09",65
"2018-04-10",66
"2018-04-11",69
"2018-04-12",60
"2018-04-13",58
"2018-04-14",64
"2018-04-15",66
"2018-04-16",77
"2018-04-17",66
"2018-04-18",71
"2018-04-19",64
