네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","바이오더마클렌징워터"
"2017-08-01",33
"2017-08-02",30
"2017-08-03",29
"2017-08-04",25
"2017-08-05",19
"2017-08-06",27
"2017-08-07",29
"2017-08-08",35
"2017-08-09",33
"2017-08-10",31
"2017-08-11",24
"2017-08-12",25
"2017-08-13",31
"2017-08-14",22
"2017-08-15",29
"2017-08-16",33
"2017-08-17",29
"2017-08-18",29
"2017-08-19",22
"2017-08-20",44
"2017-08-21",34
"2017-08-22",28
"2017-08-23",29
"2017-08-24",28
"2017-08-25",21
"2017-08-26",20
"2017-08-27",28
"2017-08-28",30
"2017-08-29",33
"2017-08-30",31
"2017-08-31",50
"2017-09-01",41
"2017-09-02",35
"2017-09-03",43
"2017-09-04",36
"2017-09-05",33
"2017-09-06",27
"2017-09-07",36
"2017-09-08",29
"2017-09-09",24
"2017-09-10",25
"2017-09-11",29
"2017-09-12",27
"2017-09-13",36
"2017-09-14",24
"2017-09-15",18
"2017-09-16",23
"2017-09-17",30
"2017-09-18",34
"2017-09-19",32
"2017-09-20",27
"2017-09-21",32
"2017-09-22",26
"2017-09-23",22
"2017-09-24",25
"2017-09-25",44
"2017-09-26",54
"2017-09-27",49
"2017-09-28",31
"2017-09-29",32
"2017-09-30",33
"2017-10-01",37
"2017-10-02",46
"2017-10-03",35
"2017-10-04",28
"2017-10-05",37
"2017-10-06",46
"2017-10-07",52
"2017-10-08",63
"2017-10-09",83
"2017-10-10",85
"2017-10-11",100
"2017-10-12",67
"2017-10-13",55
"2017-10-14",54
"2017-10-15",67
"2017-10-16",81
"2017-10-17",70
"2017-10-18",69
"2017-10-19",53
"2017-10-20",55
"2017-10-21",53
"2017-10-22",63
"2017-10-23",60
"2017-10-24",66
"2017-10-25",57
"2017-10-26",67
"2017-10-27",45
"2017-10-28",45
"2017-10-29",55
"2017-10-30",56
"2017-10-31",57
"2017-11-01",68
"2017-11-02",92
"2017-11-03",54
"2017-11-04",47
"2017-11-05",60
"2017-11-06",60
"2017-11-07",65
"2017-11-08",65
"2017-11-09",56
"2017-11-10",46
"2017-11-11",70
"2017-11-12",58
"2017-11-13",65
"2017-11-14",61
"2017-11-15",49
"2017-11-16",56
"2017-11-17",48
"2017-11-18",67
"2017-11-19",68
"2017-11-20",63
"2017-11-21",70
"2017-11-22",65
"2017-11-23",52
"2017-11-24",41
"2017-11-25",59
"2017-11-26",57
"2017-11-27",70
"2017-11-28",62
"2017-11-29",57
"2017-11-30",56
"2017-12-01",70
"2017-12-02",56
"2017-12-03",64
"2017-12-04",79
"2017-12-05",64
"2017-12-06",69
"2017-12-07",60
"2017-12-08",37
"2017-12-09",46
"2017-12-10",58
"2017-12-11",62
"2017-12-12",51
"2017-12-13",59
"2017-12-14",61
"2017-12-15",57
"2017-12-16",62
"2017-12-17",64
"2017-12-18",68
"2017-12-19",61
"2017-12-20",76
"2017-12-21",51
"2017-12-22",36
"2017-12-23",36
"2017-12-24",35
"2017-12-25",54
"2017-12-26",62
"2017-12-27",51
"2017-12-28",48
"2017-12-29",36
"2017-12-30",48
"2017-12-31",49
"2018-01-01",54
"2018-01-02",65
"2018-01-03",61
"2018-01-04",52
"2018-01-05",49
"2018-01-06",43
"2018-01-07",56
"2018-01-08",65
"2018-01-09",62
"2018-01-10",62
"2018-01-11",57
"2018-01-12",47
"2018-01-13",45
"2018-01-14",65
"2018-01-15",71
"2018-01-16",58
"2018-01-17",60
"2018-01-18",61
"2018-01-19",47
"2018-01-20",47
"2018-01-21",61
"2018-01-22",59
"2018-01-23",59
"2018-01-24",56
"2018-01-25",60
"2018-01-26",37
"2018-01-27",48
"2018-01-28",50
"2018-01-29",62
"2018-01-30",65
"2018-01-31",63
"2018-02-01",77
"2018-02-02",74
"2018-02-03",50
"2018-02-04",67
"2018-02-05",60
"2018-02-06",60
"2018-02-07",57
"2018-02-08",55
"2018-02-09",46
"2018-02-10",38
"2018-02-11",45
"2018-02-12",47
"2018-02-13",37
"2018-02-14",34
"2018-02-15",29
"2018-02-16",30
"2018-02-17",46
"2018-02-18",62
"2018-02-19",86
"2018-02-20",69
"2018-02-21",60
"2018-02-22",53
"2018-02-23",47
"2018-02-24",43
"2018-02-25",72
"2018-02-26",63
"2018-02-27",69
"2018-02-28",60
"2018-03-01",86
"2018-03-02",64
"2018-03-03",49
"2018-03-04",79
"2018-03-05",70
"2018-03-06",58
"2018-03-07",58
"2018-03-08",53
"2018-03-09",39
"2018-03-10",45
"2018-03-11",58
"2018-03-12",57
"2018-03-13",48
"2018-03-14",50
"2018-03-15",54
"2018-03-16",42
"2018-03-17",39
"2018-03-18",56
"2018-03-19",55
"2018-03-20",58
"2018-03-21",61
"2018-03-22",50
"2018-03-23",42
"2018-03-24",49
"2018-03-25",50
"2018-03-26",60
"2018-03-27",57
"2018-03-28",58
"2018-03-29",42
"2018-03-30",44
"2018-03-31",51
"2018-04-01",69
"2018-04-02",86
"2018-04-03",79
"2018-04-04",65
"2018-04-05",58
"2018-04-06",47
"2018-04-07",40
"2018-04-08",46
"2018-04-09",71
"2018-04-10",77
"2018-04-11",65
"2018-04-12",56
"2018-04-13",52
"2018-04-14",50
"2018-04-15",60
"2018-04-16",52
"2018-04-17",57
"2018-04-18",47
"2018-04-19",39
