네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","헤라블랙쿠션"
"2017-08-01",88
"2017-08-02",82
"2017-08-03",74
"2017-08-04",65
"2017-08-05",57
"2017-08-06",63
"2017-08-07",70
"2017-08-08",71
"2017-08-09",71
"2017-08-10",65
"2017-08-11",70
"2017-08-12",54
"2017-08-13",65
"2017-08-14",73
"2017-08-15",71
"2017-08-16",75
"2017-08-17",64
"2017-08-18",50
"2017-08-19",52
"2017-08-20",63
"2017-08-21",67
"2017-08-22",68
"2017-08-23",67
"2017-08-24",47
"2017-08-25",33
"2017-08-26",20
"2017-08-27",26
"2017-08-28",28
"2017-08-29",28
"2017-08-30",45
"2017-08-31",29
"2017-09-01",29
"2017-09-02",23
"2017-09-03",30
"2017-09-04",29
"2017-09-05",34
"2017-09-06",62
"2017-09-07",69
"2017-09-08",49
"2017-09-09",55
"2017-09-10",76
"2017-09-11",66
"2017-09-12",60
"2017-09-13",67
"2017-09-14",58
"2017-09-15",55
"2017-09-16",51
"2017-09-17",61
"2017-09-18",70
"2017-09-19",63
"2017-09-20",60
"2017-09-21",60
"2017-09-22",47
"2017-09-23",45
"2017-09-24",51
"2017-09-25",61
"2017-09-26",60
"2017-09-27",71
"2017-09-28",49
"2017-09-29",40
"2017-09-30",37
"2017-10-01",40
"2017-10-02",39
"2017-10-03",39
"2017-10-04",46
"2017-10-05",54
"2017-10-06",63
"2017-10-07",62
"2017-10-08",65
"2017-10-09",80
"2017-10-10",88
"2017-10-11",79
"2017-10-12",66
"2017-10-13",52
"2017-10-14",44
"2017-10-15",48
"2017-10-16",63
"2017-10-17",61
"2017-10-18",54
"2017-10-19",55
"2017-10-20",39
"2017-10-21",36
"2017-10-22",46
"2017-10-23",54
"2017-10-24",51
"2017-10-25",52
"2017-10-26",53
"2017-10-27",41
"2017-10-28",36
"2017-10-29",45
"2017-10-30",71
"2017-10-31",48
"2017-11-01",59
"2017-11-02",67
"2017-11-03",79
"2017-11-04",43
"2017-11-05",46
"2017-11-06",100
"2017-11-07",58
"2017-11-08",56
"2017-11-09",49
"2017-11-10",43
"2017-11-11",75
"2017-11-12",51
"2017-11-13",57
"2017-11-14",47
"2017-11-15",43
"2017-11-16",47
"2017-11-17",40
"2017-11-18",49
"2017-11-19",48
"2017-11-20",51
"2017-11-21",47
"2017-11-22",48
"2017-11-23",41
"2017-11-24",35
"2017-11-25",34
"2017-11-26",41
"2017-11-27",64
"2017-11-28",55
"2017-11-29",45
"2017-11-30",47
"2017-12-01",44
"2017-12-02",55
"2017-12-03",61
"2017-12-04",63
"2017-12-05",60
"2017-12-06",53
"2017-12-07",53
"2017-12-08",38
"2017-12-09",43
"2017-12-10",45
"2017-12-11",59
"2017-12-12",66
"2017-12-13",55
"2017-12-14",42
"2017-12-15",42
"2017-12-16",36
"2017-12-17",47
"2017-12-18",59
"2017-12-19",49
"2017-12-20",49
"2017-12-21",48
"2017-12-22",35
"2017-12-23",31
"2017-12-24",37
"2017-12-25",43
"2017-12-26",45
"2017-12-27",49
"2017-12-28",47
"2017-12-29",39
"2017-12-30",38
"2017-12-31",42
"2018-01-01",52
"2018-01-02",58
"2018-01-03",59
"2018-01-04",57
"2018-01-05",51
"2018-01-06",51
"2018-01-07",71
"2018-01-08",66
"2018-01-09",59
"2018-01-10",62
"2018-01-11",62
"2018-01-12",52
"2018-01-13",54
"2018-01-14",64
"2018-01-15",74
"2018-01-16",68
"2018-01-17",73
"2018-01-18",68
"2018-01-19",50
"2018-01-20",52
"2018-01-21",60
"2018-01-22",65
"2018-01-23",61
"2018-01-24",65
"2018-01-25",67
"2018-01-26",56
"2018-01-27",55
"2018-01-28",63
"2018-01-29",66
"2018-01-30",64
"2018-01-31",59
"2018-02-01",73
"2018-02-02",57
"2018-02-03",53
"2018-02-04",72
"2018-02-05",71
"2018-02-06",73
"2018-02-07",63
"2018-02-08",62
"2018-02-09",52
"2018-02-10",47
"2018-02-11",54
"2018-02-12",61
"2018-02-13",44
"2018-02-14",37
"2018-02-15",49
"2018-02-16",49
"2018-02-17",58
"2018-02-18",81
"2018-02-19",83
"2018-02-20",77
"2018-02-21",73
"2018-02-22",74
"2018-02-23",58
"2018-02-24",56
"2018-02-25",68
"2018-02-26",75
"2018-02-27",67
"2018-02-28",65
"2018-03-01",85
"2018-03-02",64
"2018-03-03",55
"2018-03-04",74
"2018-03-05",65
"2018-03-06",66
"2018-03-07",62
"2018-03-08",58
"2018-03-09",49
"2018-03-10",50
"2018-03-11",61
"2018-03-12",62
"2018-03-13",62
"2018-03-14",64
"2018-03-15",61
"2018-03-16",51
"2018-03-17",47
"2018-03-18",63
"2018-03-19",59
"2018-03-20",62
"2018-03-21",61
"2018-03-22",56
"2018-03-23",47
"2018-03-24",48
"2018-03-25",66
"2018-03-26",59
"2018-03-27",67
"2018-03-28",58
"2018-03-29",63
"2018-03-30",51
"2018-03-31",47
"2018-04-01",69
"2018-04-02",62
"2018-04-03",63
"2018-04-04",60
"2018-04-05",70
"2018-04-06",63
"2018-04-07",61
"2018-04-08",73
"2018-04-09",76
"2018-04-10",80
"2018-04-11",81
"2018-04-12",65
"2018-04-13",50
"2018-04-14",54
"2018-04-15",52
"2018-04-16",63
"2018-04-17",61
"2018-04-18",69
"2018-04-19",61
