네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삐아"
"2017-08-01",15
"2017-08-02",14
"2017-08-03",12
"2017-08-04",11
"2017-08-05",12
"2017-08-06",14
"2017-08-07",14
"2017-08-08",14
"2017-08-09",17
"2017-08-10",21
"2017-08-11",16
"2017-08-12",15
"2017-08-13",19
"2017-08-14",14
"2017-08-15",15
"2017-08-16",14
"2017-08-17",12
"2017-08-18",11
"2017-08-19",8
"2017-08-20",7
"2017-08-21",13
"2017-08-22",11
"2017-08-23",12
"2017-08-24",12
"2017-08-25",13
"2017-08-26",10
"2017-08-27",10
"2017-08-28",11
"2017-08-29",14
"2017-08-30",14
"2017-08-31",11
"2017-09-01",13
"2017-09-02",14
"2017-09-03",17
"2017-09-04",13
"2017-09-05",13
"2017-09-06",14
"2017-09-07",13
"2017-09-08",11
"2017-09-09",16
"2017-09-10",15
"2017-09-11",12
"2017-09-12",12
"2017-09-13",11
"2017-09-14",11
"2017-09-15",8
"2017-09-16",12
"2017-09-17",15
"2017-09-18",14
"2017-09-19",11
"2017-09-20",15
"2017-09-21",12
"2017-09-22",13
"2017-09-23",12
"2017-09-24",16
"2017-09-25",19
"2017-09-26",20
"2017-09-27",19
"2017-09-28",19
"2017-09-29",15
"2017-09-30",14
"2017-10-01",17
"2017-10-02",24
"2017-10-03",26
"2017-10-04",38
"2017-10-05",59
"2017-10-06",47
"2017-10-07",38
"2017-10-08",28
"2017-10-09",54
"2017-10-10",81
"2017-10-11",64
"2017-10-12",69
"2017-10-13",95
"2017-10-14",100
"2017-10-15",77
"2017-10-16",92
"2017-10-17",98
"2017-10-18",94
"2017-10-19",81
"2017-10-20",61
"2017-10-21",42
"2017-10-22",45
"2017-10-23",88
"2017-10-24",58
"2017-10-25",59
"2017-10-26",43
"2017-10-27",32
"2017-10-28",37
"2017-10-29",40
"2017-10-30",46
"2017-10-31",41
"2017-11-01",52
"2017-11-02",38
"2017-11-03",34
"2017-11-04",32
"2017-11-05",37
"2017-11-06",46
"2017-11-07",38
"2017-11-08",42
"2017-11-09",38
"2017-11-10",30
"2017-11-11",27
"2017-11-12",37
"2017-11-13",39
"2017-11-14",35
"2017-11-15",30
"2017-11-16",35
"2017-11-17",33
"2017-11-18",26
"2017-11-19",39
"2017-11-20",41
"2017-11-21",46
"2017-11-22",38
"2017-11-23",36
"2017-11-24",28
"2017-11-25",25
"2017-11-26",33
"2017-11-27",39
"2017-11-28",40
"2017-11-29",31
"2017-11-30",32
"2017-12-01",37
"2017-12-02",48
"2017-12-03",55
"2017-12-04",55
"2017-12-05",88
"2017-12-06",98
"2017-12-07",67
"2017-12-08",54
"2017-12-09",58
"2017-12-10",69
"2017-12-11",58
"2017-12-12",46
"2017-12-13",45
"2017-12-14",50
"2017-12-15",35
"2017-12-16",39
"2017-12-17",46
"2017-12-18",49
"2017-12-19",37
"2017-12-20",39
"2017-12-21",39
"2017-12-22",35
"2017-12-23",39
"2017-12-24",60
"2017-12-25",59
"2017-12-26",38
"2017-12-27",37
"2017-12-28",31
"2017-12-29",37
"2017-12-30",37
"2017-12-31",40
"2018-01-01",53
"2018-01-02",43
"2018-01-03",32
"2018-01-04",33
"2018-01-05",30
"2018-01-06",30
"2018-01-07",38
"2018-01-08",38
"2018-01-09",43
"2018-01-10",29
"2018-01-11",33
"2018-01-12",30
"2018-01-13",32
"2018-01-14",37
"2018-01-15",42
"2018-01-16",37
"2018-01-17",36
"2018-01-18",34
"2018-01-19",32
"2018-01-20",27
"2018-01-21",41
"2018-01-22",35
"2018-01-23",37
"2018-01-24",38
"2018-01-25",30
"2018-01-26",35
"2018-01-27",32
"2018-01-28",35
"2018-01-29",35
"2018-01-30",31
"2018-01-31",29
"2018-02-01",34
"2018-02-02",28
"2018-02-03",26
"2018-02-04",30
"2018-02-05",32
"2018-02-06",29
"2018-02-07",29
"2018-02-08",28
"2018-02-09",23
"2018-02-10",24
"2018-02-11",28
"2018-02-12",21
"2018-02-13",20
"2018-02-14",21
"2018-02-15",21
"2018-02-16",24
"2018-02-17",27
"2018-02-18",35
"2018-02-19",29
"2018-02-20",28
"2018-02-21",26
"2018-02-22",22
"2018-02-23",18
"2018-02-24",25
"2018-02-25",28
"2018-02-26",24
"2018-02-27",26
"2018-02-28",24
"2018-03-01",30
"2018-03-02",16
"2018-03-03",25
"2018-03-04",26
"2018-03-05",21
"2018-03-06",21
"2018-03-07",19
"2018-03-08",19
"2018-03-09",19
"2018-03-10",20
"2018-03-11",23
"2018-03-12",18
"2018-03-13",19
"2018-03-14",18
"2018-03-15",25
"2018-03-16",17
"2018-03-17",28
"2018-03-18",27
"2018-03-19",34
"2018-03-20",34
"2018-03-21",47
"2018-03-22",35
"2018-03-23",36
"2018-03-24",48
"2018-03-25",57
"2018-03-26",40
"2018-03-27",32
"2018-03-28",40
"2018-03-29",41
"2018-03-30",31
"2018-03-31",40
"2018-04-01",55
"2018-04-02",39
"2018-04-03",41
"2018-04-04",37
"2018-04-05",30
"2018-04-06",26
"2018-04-07",28
"2018-04-08",37
"2018-04-09",36
"2018-04-10",29
"2018-04-11",31
"2018-04-12",26
"2018-04-13",26
"2018-04-14",40
"2018-04-15",42
"2018-04-16",42
"2018-04-17",47
"2018-04-18",35
"2018-04-19",29
