네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나스쿠션"
"2017-08-01",31
"2017-08-02",49
"2017-08-03",54
"2017-08-04",32
"2017-08-05",30
"2017-08-06",32
"2017-08-07",32
"2017-08-08",39
"2017-08-09",36
"2017-08-10",36
"2017-08-11",29
"2017-08-12",29
"2017-08-13",29
"2017-08-14",42
"2017-08-15",58
"2017-08-16",56
"2017-08-17",55
"2017-08-18",50
"2017-08-19",36
"2017-08-20",43
"2017-08-21",51
"2017-08-22",51
"2017-08-23",49
"2017-08-24",47
"2017-08-25",36
"2017-08-26",31
"2017-08-27",54
"2017-08-28",45
"2017-08-29",48
"2017-08-30",48
"2017-08-31",47
"2017-09-01",36
"2017-09-02",31
"2017-09-03",44
"2017-09-04",46
"2017-09-05",49
"2017-09-06",53
"2017-09-07",50
"2017-09-08",43
"2017-09-09",50
"2017-09-10",51
"2017-09-11",40
"2017-09-12",36
"2017-09-13",41
"2017-09-14",33
"2017-09-15",25
"2017-09-16",24
"2017-09-17",28
"2017-09-18",31
"2017-09-19",39
"2017-09-20",35
"2017-09-21",22
"2017-09-22",26
"2017-09-23",29
"2017-09-24",34
"2017-09-25",38
"2017-09-26",37
"2017-09-27",40
"2017-09-28",37
"2017-09-29",26
"2017-09-30",38
"2017-10-01",45
"2017-10-02",44
"2017-10-03",39
"2017-10-04",42
"2017-10-05",38
"2017-10-06",47
"2017-10-07",47
"2017-10-08",38
"2017-10-09",47
"2017-10-10",45
"2017-10-11",45
"2017-10-12",35
"2017-10-13",36
"2017-10-14",34
"2017-10-15",32
"2017-10-16",44
"2017-10-17",35
"2017-10-18",33
"2017-10-19",26
"2017-10-20",21
"2017-10-21",20
"2017-10-22",23
"2017-10-23",24
"2017-10-24",23
"2017-10-25",45
"2017-10-26",23
"2017-10-27",21
"2017-10-28",24
"2017-10-29",24
"2017-10-30",23
"2017-10-31",16
"2017-11-01",26
"2017-11-02",17
"2017-11-03",22
"2017-11-04",15
"2017-11-05",23
"2017-11-06",20
"2017-11-07",24
"2017-11-08",20
"2017-11-09",17
"2017-11-10",18
"2017-11-11",20
"2017-11-12",26
"2017-11-13",31
"2017-11-14",33
"2017-11-15",22
"2017-11-16",25
"2017-11-17",16
"2017-11-18",19
"2017-11-19",31
"2017-11-20",27
"2017-11-21",27
"2017-11-22",23
"2017-11-23",30
"2017-11-24",18
"2017-11-25",19
"2017-11-26",17
"2017-11-27",25
"2017-11-28",24
"2017-11-29",27
"2017-11-30",20
"2017-12-01",32
"2017-12-02",34
"2017-12-03",39
"2017-12-04",49
"2017-12-05",59
"2017-12-06",45
"2017-12-07",39
"2017-12-08",31
"2017-12-09",32
"2017-12-10",40
"2017-12-11",31
"2017-12-12",30
"2017-12-13",24
"2017-12-14",20
"2017-12-15",19
"2017-12-16",18
"2017-12-17",26
"2017-12-18",27
"2017-12-19",20
"2017-12-20",20
"2017-12-21",24
"2017-12-22",27
"2017-12-23",18
"2017-12-24",22
"2017-12-25",32
"2017-12-26",35
"2017-12-27",39
"2017-12-28",40
"2017-12-29",25
"2017-12-30",31
"2017-12-31",31
"2018-01-01",39
"2018-01-02",38
"2018-01-03",45
"2018-01-04",35
"2018-01-05",31
"2018-01-06",31
"2018-01-07",42
"2018-01-08",34
"2018-01-09",42
"2018-01-10",36
"2018-01-11",34
"2018-01-12",32
"2018-01-13",31
"2018-01-14",36
"2018-01-15",33
"2018-01-16",28
"2018-01-17",34
"2018-01-18",25
"2018-01-19",24
"2018-01-20",26
"2018-01-21",31
"2018-01-22",34
"2018-01-23",38
"2018-01-24",35
"2018-01-25",30
"2018-01-26",33
"2018-01-27",37
"2018-01-28",49
"2018-01-29",39
"2018-01-30",33
"2018-01-31",35
"2018-02-01",36
"2018-02-02",37
"2018-02-03",28
"2018-02-04",37
"2018-02-05",39
"2018-02-06",39
"2018-02-07",33
"2018-02-08",28
"2018-02-09",24
"2018-02-10",36
"2018-02-11",34
"2018-02-12",29
"2018-02-13",25
"2018-02-14",18
"2018-02-15",20
"2018-02-16",29
"2018-02-17",29
"2018-02-18",40
"2018-02-19",43
"2018-02-20",45
"2018-02-21",40
"2018-02-22",41
"2018-02-23",47
"2018-02-24",41
"2018-02-25",84
"2018-02-26",82
"2018-02-27",85
"2018-02-28",62
"2018-03-01",100
"2018-03-02",64
"2018-03-03",42
"2018-03-04",47
"2018-03-05",43
"2018-03-06",35
"2018-03-07",37
"2018-03-08",38
"2018-03-09",31
"2018-03-10",27
"2018-03-11",33
"2018-03-12",38
"2018-03-13",34
"2018-03-14",31
"2018-03-15",25
"2018-03-16",20
"2018-03-17",18
"2018-03-18",19
"2018-03-19",24
"2018-03-20",27
"2018-03-21",27
"2018-03-22",24
"2018-03-23",22
"2018-03-24",18
"2018-03-25",25
"2018-03-26",28
"2018-03-27",35
"2018-03-28",31
"2018-03-29",27
"2018-03-30",26
"2018-03-31",25
"2018-04-01",31
"2018-04-02",29
"2018-04-03",32
"2018-04-04",24
"2018-04-05",24
"2018-04-06",24
"2018-04-07",20
"2018-04-08",22
"2018-04-09",24
"2018-04-10",23
"2018-04-11",21
"2018-04-12",24
"2018-04-13",17
"2018-04-14",17
"2018-04-15",16
"2018-04-16",18
"2018-04-17",16
"2018-04-18",20
"2018-04-19",16
