네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","세타필로션"
"2017-08-01",9
"2017-08-02",8
"2017-08-03",7
"2017-08-04",8
"2017-08-05",5
"2017-08-06",8
"2017-08-07",9
"2017-08-08",8
"2017-08-09",11
"2017-08-10",9
"2017-08-11",10
"2017-08-12",7
"2017-08-13",7
"2017-08-14",29
"2017-08-15",12
"2017-08-16",13
"2017-08-17",11
"2017-08-18",15
"2017-08-19",11
"2017-08-20",13
"2017-08-21",13
"2017-08-22",13
"2017-08-23",10
"2017-08-24",7
"2017-08-25",8
"2017-08-26",10
"2017-08-27",14
"2017-08-28",17
"2017-08-29",26
"2017-08-30",27
"2017-08-31",29
"2017-09-01",28
"2017-09-02",19
"2017-09-03",26
"2017-09-04",35
"2017-09-05",27
"2017-09-06",23
"2017-09-07",19
"2017-09-08",13
"2017-09-09",14
"2017-09-10",15
"2017-09-11",20
"2017-09-12",21
"2017-09-13",24
"2017-09-14",21
"2017-09-15",19
"2017-09-16",16
"2017-09-17",20
"2017-09-18",29
"2017-09-19",25
"2017-09-20",21
"2017-09-21",23
"2017-09-22",28
"2017-09-23",18
"2017-09-24",17
"2017-09-25",30
"2017-09-26",28
"2017-09-27",27
"2017-09-28",20
"2017-09-29",17
"2017-09-30",19
"2017-10-01",21
"2017-10-02",16
"2017-10-03",21
"2017-10-04",17
"2017-10-05",24
"2017-10-06",36
"2017-10-07",28
"2017-10-08",37
"2017-10-09",60
"2017-10-10",58
"2017-10-11",47
"2017-10-12",59
"2017-10-13",38
"2017-10-14",37
"2017-10-15",57
"2017-10-16",61
"2017-10-17",54
"2017-10-18",60
"2017-10-19",46
"2017-10-20",39
"2017-10-21",37
"2017-10-22",46
"2017-10-23",50
"2017-10-24",60
"2017-10-25",55
"2017-10-26",41
"2017-10-27",37
"2017-10-28",100
"2017-10-29",52
"2017-10-30",57
"2017-10-31",60
"2017-11-01",58
"2017-11-02",66
"2017-11-03",40
"2017-11-04",43
"2017-11-05",92
"2017-11-06",58
"2017-11-07",45
"2017-11-08",51
"2017-11-09",43
"2017-11-10",38
"2017-11-11",34
"2017-11-12",42
"2017-11-13",65
"2017-11-14",59
"2017-11-15",53
"2017-11-16",64
"2017-11-17",46
"2017-11-18",78
"2017-11-19",72
"2017-11-20",89
"2017-11-21",71
"2017-11-22",67
"2017-11-23",52
"2017-11-24",48
"2017-11-25",40
"2017-11-26",64
"2017-11-27",45
"2017-11-28",46
"2017-11-29",55
"2017-11-30",46
"2017-12-01",45
"2017-12-02",49
"2017-12-03",57
"2017-12-04",61
"2017-12-05",64
"2017-12-06",49
"2017-12-07",48
"2017-12-08",38
"2017-12-09",44
"2017-12-10",45
"2017-12-11",51
"2017-12-12",62
"2017-12-13",57
"2017-12-14",49
"2017-12-15",35
"2017-12-16",41
"2017-12-17",75
"2017-12-18",61
"2017-12-19",62
"2017-12-20",60
"2017-12-21",42
"2017-12-22",39
"2017-12-23",42
"2017-12-24",29
"2017-12-25",71
"2017-12-26",55
"2017-12-27",49
"2017-12-28",39
"2017-12-29",29
"2017-12-30",29
"2017-12-31",27
"2018-01-01",50
"2018-01-02",48
"2018-01-03",57
"2018-01-04",52
"2018-01-05",46
"2018-01-06",37
"2018-01-07",53
"2018-01-08",43
"2018-01-09",41
"2018-01-10",34
"2018-01-11",39
"2018-01-12",32
"2018-01-13",31
"2018-01-14",45
"2018-01-15",44
"2018-01-16",36
"2018-01-17",37
"2018-01-18",32
"2018-01-19",30
"2018-01-20",34
"2018-01-21",39
"2018-01-22",35
"2018-01-23",35
"2018-01-24",37
"2018-01-25",29
"2018-01-26",36
"2018-01-27",31
"2018-01-28",35
"2018-01-29",46
"2018-01-30",38
"2018-01-31",45
"2018-02-01",45
"2018-02-02",36
"2018-02-03",29
"2018-02-04",44
"2018-02-05",46
"2018-02-06",54
"2018-02-07",66
"2018-02-08",48
"2018-02-09",39
"2018-02-10",30
"2018-02-11",54
"2018-02-12",38
"2018-02-13",28
"2018-02-14",26
"2018-02-15",22
"2018-02-16",32
"2018-02-17",49
"2018-02-18",54
"2018-02-19",63
"2018-02-20",56
"2018-02-21",50
"2018-02-22",48
"2018-02-23",30
"2018-02-24",52
"2018-02-25",47
"2018-02-26",50
"2018-02-27",48
"2018-02-28",45
"2018-03-01",48
"2018-03-02",33
"2018-03-03",29
"2018-03-04",45
"2018-03-05",40
"2018-03-06",41
"2018-03-07",39
"2018-03-08",34
"2018-03-09",19
"2018-03-10",23
"2018-03-11",28
"2018-03-12",40
"2018-03-13",26
"2018-03-14",28
"2018-03-15",21
"2018-03-16",18
"2018-03-17",18
"2018-03-18",28
"2018-03-19",35
"2018-03-20",24
"2018-03-21",24
"2018-03-22",24
"2018-03-23",24
"2018-03-24",21
"2018-03-25",27
"2018-03-26",30
"2018-03-27",33
"2018-03-28",22
"2018-03-29",16
"2018-03-30",12
"2018-03-31",16
"2018-04-01",23
"2018-04-02",27
"2018-04-03",25
"2018-04-04",20
"2018-04-05",20
"2018-04-06",16
"2018-04-07",16
"2018-04-08",25
"2018-04-09",28
"2018-04-10",28
"2018-04-11",28
"2018-04-12",28
"2018-04-13",24
"2018-04-14",23
"2018-04-15",30
"2018-04-16",29
"2018-04-17",39
"2018-04-18",36
"2018-04-19",27
