네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아모스컬링에센스2x"
"2017-08-01",38
"2017-08-02",29
"2017-08-03",44
"2017-08-04",35
"2017-08-05",22
"2017-08-06",29
"2017-08-07",39
"2017-08-08",37
"2017-08-09",42
"2017-08-10",37
"2017-08-11",28
"2017-08-12",33
"2017-08-13",29
"2017-08-14",35
"2017-08-15",33
"2017-08-16",35
"2017-08-17",39
"2017-08-18",37
"2017-08-19",21
"2017-08-20",27
"2017-08-21",45
"2017-08-22",37
"2017-08-23",37
"2017-08-24",29
"2017-08-25",40
"2017-08-26",38
"2017-08-27",55
"2017-08-28",63
"2017-08-29",74
"2017-08-30",73
"2017-08-31",84
"2017-09-01",63
"2017-09-02",45
"2017-09-03",62
"2017-09-04",75
"2017-09-05",67
"2017-09-06",59
"2017-09-07",56
"2017-09-08",47
"2017-09-09",47
"2017-09-10",53
"2017-09-11",62
"2017-09-12",58
"2017-09-13",58
"2017-09-14",50
"2017-09-15",49
"2017-09-16",37
"2017-09-17",45
"2017-09-18",63
"2017-09-19",57
"2017-09-20",53
"2017-09-21",50
"2017-09-22",48
"2017-09-23",42
"2017-09-24",63
"2017-09-25",74
"2017-09-26",64
"2017-09-27",60
"2017-09-28",39
"2017-09-29",31
"2017-09-30",23
"2017-10-01",40
"2017-10-02",32
"2017-10-03",46
"2017-10-04",29
"2017-10-05",36
"2017-10-06",47
"2017-10-07",62
"2017-10-08",73
"2017-10-09",100
"2017-10-10",98
"2017-10-11",92
"2017-10-12",90
"2017-10-13",59
"2017-10-14",55
"2017-10-15",75
"2017-10-16",89
"2017-10-17",67
"2017-10-18",65
"2017-10-19",70
"2017-10-20",67
"2017-10-21",37
"2017-10-22",61
"2017-10-23",75
"2017-10-24",61
"2017-10-25",67
"2017-10-26",60
"2017-10-27",43
"2017-10-28",41
"2017-10-29",69
"2017-10-30",79
"2017-10-31",69
"2017-11-01",81
"2017-11-02",69
"2017-11-03",52
"2017-11-04",47
"2017-11-05",59
"2017-11-06",76
"2017-11-07",59
"2017-11-08",61
"2017-11-09",72
"2017-11-10",68
"2017-11-11",50
"2017-11-12",53
"2017-11-13",67
"2017-11-14",61
"2017-11-15",64
"2017-11-16",56
"2017-11-17",46
"2017-11-18",41
"2017-11-19",58
"2017-11-20",64
"2017-11-21",69
"2017-11-22",53
"2017-11-23",46
"2017-11-24",49
"2017-11-25",51
"2017-11-26",57
"2017-11-27",67
"2017-11-28",58
"2017-11-29",43
"2017-11-30",57
"2017-12-01",52
"2017-12-02",53
"2017-12-03",62
"2017-12-04",77
"2017-12-05",64
"2017-12-06",63
"2017-12-07",63
"2017-12-08",42
"2017-12-09",64
"2017-12-10",64
"2017-12-11",71
"2017-12-12",65
"2017-12-13",68
"2017-12-14",61
"2017-12-15",56
"2017-12-16",43
"2017-12-17",57
"2017-12-18",75
"2017-12-19",68
"2017-12-20",65
"2017-12-21",68
"2017-12-22",50
"2017-12-23",49
"2017-12-24",53
"2017-12-25",67
"2017-12-26",79
"2017-12-27",66
"2017-12-28",60
"2017-12-29",51
"2017-12-30",53
"2017-12-31",44
"2018-01-01",53
"2018-01-02",57
"2018-01-03",49
"2018-01-04",49
"2018-01-05",38
"2018-01-06",33
"2018-01-07",40
"2018-01-08",49
"2018-01-09",56
"2018-01-10",46
"2018-01-11",36
"2018-01-12",28
"2018-01-13",27
"2018-01-14",47
"2018-01-15",63
"2018-01-16",43
"2018-01-17",50
"2018-01-18",45
"2018-01-19",42
"2018-01-20",32
"2018-01-21",51
"2018-01-22",52
"2018-01-23",39
"2018-01-24",52
"2018-01-25",49
"2018-01-26",39
"2018-01-27",45
"2018-01-28",51
"2018-01-29",64
"2018-01-30",60
"2018-01-31",49
"2018-02-01",79
"2018-02-02",63
"2018-02-03",69
"2018-02-04",69
"2018-02-05",81
"2018-02-06",79
"2018-02-07",73
"2018-02-08",60
"2018-02-09",54
"2018-02-10",42
"2018-02-11",64
"2018-02-12",69
"2018-02-13",51
"2018-02-14",37
"2018-02-15",38
"2018-02-16",29
"2018-02-17",39
"2018-02-18",67
"2018-02-19",81
"2018-02-20",71
"2018-02-21",73
"2018-02-22",68
"2018-02-23",50
"2018-02-24",55
"2018-02-25",61
"2018-02-26",86
"2018-02-27",60
"2018-02-28",49
"2018-03-01",61
"2018-03-02",52
"2018-03-03",50
"2018-03-04",56
"2018-03-05",69
"2018-03-06",54
"2018-03-07",43
"2018-03-08",42
"2018-03-09",27
"2018-03-10",34
"2018-03-11",37
"2018-03-12",45
"2018-03-13",39
"2018-03-14",39
"2018-03-15",36
"2018-03-16",33
"2018-03-17",37
"2018-03-18",36
"2018-03-19",47
"2018-03-20",43
"2018-03-21",36
"2018-03-22",29
"2018-03-23",25
"2018-03-24",25
"2018-03-25",33
"2018-03-26",44
"2018-03-27",47
"2018-03-28",35
"2018-03-29",26
"2018-03-30",27
"2018-03-31",31
"2018-04-01",43
"2018-04-02",48
"2018-04-03",46
"2018-04-04",51
"2018-04-05",46
"2018-04-06",30
"2018-04-07",37
"2018-04-08",48
"2018-04-09",51
"2018-04-10",52
"2018-04-11",51
"2018-04-12",43
"2018-04-13",37
"2018-04-14",40
"2018-04-15",45
"2018-04-16",51
"2018-04-17",46
"2018-04-18",37
"2018-04-19",38
