네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","vdl퍼펙팅래스트파운데이션"
"2017-08-01",56
"2017-08-02",53
"2017-08-03",60
"2017-08-04",50
"2017-08-05",44
"2017-08-06",53
"2017-08-07",67
"2017-08-08",62
"2017-08-09",41
"2017-08-10",36
"2017-08-11",35
"2017-08-12",32
"2017-08-13",46
"2017-08-14",40
"2017-08-15",48
"2017-08-16",42
"2017-08-17",46
"2017-08-18",42
"2017-08-19",35
"2017-08-20",37
"2017-08-21",40
"2017-08-22",55
"2017-08-23",53
"2017-08-24",35
"2017-08-25",47
"2017-08-26",27
"2017-08-27",40
"2017-08-28",33
"2017-08-29",35
"2017-08-30",40
"2017-08-31",39
"2017-09-01",34
"2017-09-02",32
"2017-09-03",37
"2017-09-04",49
"2017-09-05",38
"2017-09-06",38
"2017-09-07",35
"2017-09-08",23
"2017-09-09",31
"2017-09-10",38
"2017-09-11",43
"2017-09-12",38
"2017-09-13",37
"2017-09-14",26
"2017-09-15",29
"2017-09-16",31
"2017-09-17",33
"2017-09-18",40
"2017-09-19",35
"2017-09-20",29
"2017-09-21",31
"2017-09-22",52
"2017-09-23",48
"2017-09-24",57
"2017-09-25",75
"2017-09-26",75
"2017-09-27",74
"2017-09-28",55
"2017-09-29",29
"2017-09-30",27
"2017-10-01",31
"2017-10-02",23
"2017-10-03",20
"2017-10-04",38
"2017-10-05",43
"2017-10-06",51
"2017-10-07",43
"2017-10-08",61
"2017-10-09",90
"2017-10-10",70
"2017-10-11",89
"2017-10-12",59
"2017-10-13",64
"2017-10-14",45
"2017-10-15",47
"2017-10-16",66
"2017-10-17",49
"2017-10-18",42
"2017-10-19",48
"2017-10-20",34
"2017-10-21",40
"2017-10-22",46
"2017-10-23",57
"2017-10-24",52
"2017-10-25",37
"2017-10-26",44
"2017-10-27",34
"2017-10-28",43
"2017-10-29",41
"2017-10-30",39
"2017-10-31",41
"2017-11-01",60
"2017-11-02",43
"2017-11-03",54
"2017-11-04",39
"2017-11-05",43
"2017-11-06",44
"2017-11-07",55
"2017-11-08",50
"2017-11-09",48
"2017-11-10",48
"2017-11-11",49
"2017-11-12",43
"2017-11-13",56
"2017-11-14",42
"2017-11-15",42
"2017-11-16",38
"2017-11-17",32
"2017-11-18",33
"2017-11-19",52
"2017-11-20",49
"2017-11-21",45
"2017-11-22",43
"2017-11-23",50
"2017-11-24",40
"2017-11-25",44
"2017-11-26",50
"2017-11-27",65
"2017-11-28",57
"2017-11-29",54
"2017-11-30",43
"2017-12-01",47
"2017-12-02",40
"2017-12-03",58
"2017-12-04",70
"2017-12-05",55
"2017-12-06",42
"2017-12-07",45
"2017-12-08",40
"2017-12-09",28
"2017-12-10",44
"2017-12-11",45
"2017-12-12",46
"2017-12-13",55
"2017-12-14",44
"2017-12-15",49
"2017-12-16",42
"2017-12-17",46
"2017-12-18",51
"2017-12-19",44
"2017-12-20",43
"2017-12-21",40
"2017-12-22",34
"2017-12-23",33
"2017-12-24",34
"2017-12-25",35
"2017-12-26",50
"2017-12-27",43
"2017-12-28",37
"2017-12-29",33
"2017-12-30",40
"2017-12-31",37
"2018-01-01",55
"2018-01-02",61
"2018-01-03",75
"2018-01-04",67
"2018-01-05",54
"2018-01-06",53
"2018-01-07",59
"2018-01-08",78
"2018-01-09",63
"2018-01-10",72
"2018-01-11",63
"2018-01-12",49
"2018-01-13",59
"2018-01-14",63
"2018-01-15",71
"2018-01-16",57
"2018-01-17",46
"2018-01-18",52
"2018-01-19",56
"2018-01-20",48
"2018-01-21",59
"2018-01-22",71
"2018-01-23",64
"2018-01-24",58
"2018-01-25",54
"2018-01-26",50
"2018-01-27",39
"2018-01-28",46
"2018-01-29",53
"2018-01-30",45
"2018-01-31",53
"2018-02-01",60
"2018-02-02",48
"2018-02-03",59
"2018-02-04",63
"2018-02-05",64
"2018-02-06",58
"2018-02-07",96
"2018-02-08",89
"2018-02-09",63
"2018-02-10",47
"2018-02-11",74
"2018-02-12",47
"2018-02-13",38
"2018-02-14",34
"2018-02-15",37
"2018-02-16",41
"2018-02-17",60
"2018-02-18",74
"2018-02-19",84
"2018-02-20",85
"2018-02-21",84
"2018-02-22",61
"2018-02-23",61
"2018-02-24",55
"2018-02-25",58
"2018-02-26",57
"2018-02-27",52
"2018-02-28",63
"2018-03-01",93
"2018-03-02",79
"2018-03-03",68
"2018-03-04",100
"2018-03-05",60
"2018-03-06",64
"2018-03-07",63
"2018-03-08",62
"2018-03-09",33
"2018-03-10",32
"2018-03-11",48
"2018-03-12",56
"2018-03-13",41
"2018-03-14",46
"2018-03-15",39
"2018-03-16",31
"2018-03-17",38
"2018-03-18",50
"2018-03-19",39
"2018-03-20",48
"2018-03-21",44
"2018-03-22",26
"2018-03-23",34
"2018-03-24",29
"2018-03-25",38
"2018-03-26",39
"2018-03-27",40
"2018-03-28",40
"2018-03-29",59
"2018-03-30",44
"2018-03-31",32
"2018-04-01",60
"2018-04-02",56
"2018-04-03",53
"2018-04-04",40
"2018-04-05",38
"2018-04-06",28
"2018-04-07",24
"2018-04-08",39
"2018-04-09",48
"2018-04-10",39
"2018-04-11",83
"2018-04-12",39
"2018-04-13",39
"2018-04-14",33
"2018-04-15",39
"2018-04-16",39
"2018-04-17",49
"2018-04-18",55
"2018-04-19",29
