네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","바디로션"
"2017-08-01",13
"2017-08-02",10
"2017-08-03",10
"2017-08-04",8
"2017-08-05",12
"2017-08-06",10
"2017-08-07",11
"2017-08-08",12
"2017-08-09",12
"2017-08-10",11
"2017-08-11",10
"2017-08-12",11
"2017-08-13",10
"2017-08-14",12
"2017-08-15",16
"2017-08-16",11
"2017-08-17",15
"2017-08-18",14
"2017-08-19",9
"2017-08-20",13
"2017-08-21",16
"2017-08-22",13
"2017-08-23",16
"2017-08-24",11
"2017-08-25",10
"2017-08-26",12
"2017-08-27",18
"2017-08-28",18
"2017-08-29",24
"2017-08-30",35
"2017-08-31",29
"2017-09-01",23
"2017-09-02",18
"2017-09-03",26
"2017-09-04",32
"2017-09-05",25
"2017-09-06",18
"2017-09-07",24
"2017-09-08",14
"2017-09-09",16
"2017-09-10",16
"2017-09-11",19
"2017-09-12",27
"2017-09-13",27
"2017-09-14",25
"2017-09-15",23
"2017-09-16",18
"2017-09-17",26
"2017-09-18",28
"2017-09-19",26
"2017-09-20",24
"2017-09-21",30
"2017-09-22",22
"2017-09-23",16
"2017-09-24",24
"2017-09-25",26
"2017-09-26",22
"2017-09-27",25
"2017-09-28",17
"2017-09-29",18
"2017-09-30",16
"2017-10-01",14
"2017-10-02",16
"2017-10-03",15
"2017-10-04",15
"2017-10-05",20
"2017-10-06",25
"2017-10-07",24
"2017-10-08",31
"2017-10-09",36
"2017-10-10",36
"2017-10-11",30
"2017-10-12",39
"2017-10-13",34
"2017-10-14",29
"2017-10-15",48
"2017-10-16",52
"2017-10-17",53
"2017-10-18",44
"2017-10-19",36
"2017-10-20",31
"2017-10-21",29
"2017-10-22",42
"2017-10-23",41
"2017-10-24",52
"2017-10-25",43
"2017-10-26",41
"2017-10-27",32
"2017-10-28",34
"2017-10-29",41
"2017-10-30",60
"2017-10-31",64
"2017-11-01",54
"2017-11-02",53
"2017-11-03",43
"2017-11-04",38
"2017-11-05",65
"2017-11-06",61
"2017-11-07",53
"2017-11-08",46
"2017-11-09",48
"2017-11-10",35
"2017-11-11",39
"2017-11-12",49
"2017-11-13",67
"2017-11-14",60
"2017-11-15",67
"2017-11-16",70
"2017-11-17",55
"2017-11-18",63
"2017-11-19",87
"2017-11-20",100
"2017-11-21",99
"2017-11-22",77
"2017-11-23",71
"2017-11-24",55
"2017-11-25",62
"2017-11-26",75
"2017-11-27",74
"2017-11-28",63
"2017-11-29",53
"2017-11-30",72
"2017-12-01",65
"2017-12-02",64
"2017-12-03",69
"2017-12-04",81
"2017-12-05",81
"2017-12-06",79
"2017-12-07",64
"2017-12-08",60
"2017-12-09",61
"2017-12-10",66
"2017-12-11",80
"2017-12-12",86
"2017-12-13",81
"2017-12-14",72
"2017-12-15",65
"2017-12-16",57
"2017-12-17",81
"2017-12-18",72
"2017-12-19",70
"2017-12-20",67
"2017-12-21",55
"2017-12-22",34
"2017-12-23",36
"2017-12-24",35
"2017-12-25",49
"2017-12-26",59
"2017-12-27",52
"2017-12-28",59
"2017-12-29",36
"2017-12-30",38
"2017-12-31",37
"2018-01-01",55
"2018-01-02",66
"2018-01-03",66
"2018-01-04",62
"2018-01-05",49
"2018-01-06",41
"2018-01-07",56
"2018-01-08",55
"2018-01-09",57
"2018-01-10",50
"2018-01-11",51
"2018-01-12",42
"2018-01-13",38
"2018-01-14",49
"2018-01-15",50
"2018-01-16",57
"2018-01-17",45
"2018-01-18",41
"2018-01-19",32
"2018-01-20",32
"2018-01-21",50
"2018-01-22",44
"2018-01-23",48
"2018-01-24",48
"2018-01-25",45
"2018-01-26",47
"2018-01-27",39
"2018-01-28",59
"2018-01-29",64
"2018-01-30",57
"2018-01-31",54
"2018-02-01",55
"2018-02-02",53
"2018-02-03",44
"2018-02-04",66
"2018-02-05",71
"2018-02-06",71
"2018-02-07",57
"2018-02-08",53
"2018-02-09",40
"2018-02-10",41
"2018-02-11",44
"2018-02-12",40
"2018-02-13",31
"2018-02-14",21
"2018-02-15",22
"2018-02-16",22
"2018-02-17",37
"2018-02-18",51
"2018-02-19",70
"2018-02-20",56
"2018-02-21",47
"2018-02-22",45
"2018-02-23",36
"2018-02-24",30
"2018-02-25",40
"2018-02-26",45
"2018-02-27",46
"2018-02-28",36
"2018-03-01",43
"2018-03-02",33
"2018-03-03",27
"2018-03-04",43
"2018-03-05",41
"2018-03-06",39
"2018-03-07",44
"2018-03-08",39
"2018-03-09",27
"2018-03-10",25
"2018-03-11",41
"2018-03-12",46
"2018-03-13",35
"2018-03-14",35
"2018-03-15",31
"2018-03-16",23
"2018-03-17",27
"2018-03-18",36
"2018-03-19",36
"2018-03-20",30
"2018-03-21",30
"2018-03-22",31
"2018-03-23",28
"2018-03-24",27
"2018-03-25",43
"2018-03-26",42
"2018-03-27",44
"2018-03-28",33
"2018-03-29",25
"2018-03-30",28
"2018-03-31",19
"2018-04-01",31
"2018-04-02",35
"2018-04-03",30
"2018-04-04",27
"2018-04-05",26
"2018-04-06",18
"2018-04-07",18
"2018-04-08",27
"2018-04-09",40
"2018-04-10",36
"2018-04-11",35
"2018-04-12",38
"2018-04-13",29
"2018-04-14",29
"2018-04-15",38
"2018-04-16",47
"2018-04-17",35
"2018-04-18",39
"2018-04-19",31
