네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","입생로랑립스틱"
"2017-08-01",16
"2017-08-02",14
"2017-08-03",21
"2017-08-04",15
"2017-08-05",16
"2017-08-06",19
"2017-08-07",23
"2017-08-08",21
"2017-08-09",21
"2017-08-10",16
"2017-08-11",18
"2017-08-12",19
"2017-08-13",23
"2017-08-14",28
"2017-08-15",21
"2017-08-16",20
"2017-08-17",20
"2017-08-18",15
"2017-08-19",19
"2017-08-20",24
"2017-08-21",27
"2017-08-22",25
"2017-08-23",18
"2017-08-24",20
"2017-08-25",22
"2017-08-26",20
"2017-08-27",24
"2017-08-28",17
"2017-08-29",20
"2017-08-30",21
"2017-08-31",16
"2017-09-01",21
"2017-09-02",17
"2017-09-03",21
"2017-09-04",19
"2017-09-05",22
"2017-09-06",18
"2017-09-07",20
"2017-09-08",18
"2017-09-09",17
"2017-09-10",28
"2017-09-11",17
"2017-09-12",21
"2017-09-13",15
"2017-09-14",19
"2017-09-15",14
"2017-09-16",16
"2017-09-17",22
"2017-09-18",21
"2017-09-19",19
"2017-09-20",24
"2017-09-21",21
"2017-09-22",17
"2017-09-23",23
"2017-09-24",22
"2017-09-25",38
"2017-09-26",48
"2017-09-27",42
"2017-09-28",40
"2017-09-29",33
"2017-09-30",43
"2017-10-01",36
"2017-10-02",40
"2017-10-03",34
"2017-10-04",37
"2017-10-05",48
"2017-10-06",56
"2017-10-07",53
"2017-10-08",57
"2017-10-09",54
"2017-10-10",51
"2017-10-11",48
"2017-10-12",41
"2017-10-13",39
"2017-10-14",39
"2017-10-15",56
"2017-10-16",39
"2017-10-17",40
"2017-10-18",38
"2017-10-19",41
"2017-10-20",42
"2017-10-21",34
"2017-10-22",60
"2017-10-23",62
"2017-10-24",47
"2017-10-25",40
"2017-10-26",38
"2017-10-27",38
"2017-10-28",38
"2017-10-29",44
"2017-10-30",43
"2017-10-31",46
"2017-11-01",58
"2017-11-02",46
"2017-11-03",39
"2017-11-04",42
"2017-11-05",41
"2017-11-06",54
"2017-11-07",41
"2017-11-08",46
"2017-11-09",50
"2017-11-10",46
"2017-11-11",42
"2017-11-12",36
"2017-11-13",49
"2017-11-14",39
"2017-11-15",35
"2017-11-16",39
"2017-11-17",40
"2017-11-18",37
"2017-11-19",40
"2017-11-20",42
"2017-11-21",43
"2017-11-22",45
"2017-11-23",46
"2017-11-24",35
"2017-11-25",38
"2017-11-26",41
"2017-11-27",49
"2017-11-28",48
"2017-11-29",43
"2017-11-30",45
"2017-12-01",46
"2017-12-02",52
"2017-12-03",49
"2017-12-04",49
"2017-12-05",48
"2017-12-06",57
"2017-12-07",55
"2017-12-08",51
"2017-12-09",52
"2017-12-10",63
"2017-12-11",69
"2017-12-12",67
"2017-12-13",61
"2017-12-14",56
"2017-12-15",54
"2017-12-16",53
"2017-12-17",67
"2017-12-18",75
"2017-12-19",61
"2017-12-20",71
"2017-12-21",56
"2017-12-22",54
"2017-12-23",46
"2017-12-24",55
"2017-12-25",57
"2017-12-26",57
"2017-12-27",58
"2017-12-28",44
"2017-12-29",44
"2017-12-30",49
"2017-12-31",40
"2018-01-01",47
"2018-01-02",47
"2018-01-03",49
"2018-01-04",46
"2018-01-05",44
"2018-01-06",49
"2018-01-07",52
"2018-01-08",62
"2018-01-09",47
"2018-01-10",47
"2018-01-11",53
"2018-01-12",38
"2018-01-13",52
"2018-01-14",52
"2018-01-15",52
"2018-01-16",53
"2018-01-17",55
"2018-01-18",51
"2018-01-19",43
"2018-01-20",50
"2018-01-21",100
"2018-01-22",99
"2018-01-23",73
"2018-01-24",54
"2018-01-25",61
"2018-01-26",50
"2018-01-27",68
"2018-01-28",67
"2018-01-29",62
"2018-01-30",61
"2018-01-31",54
"2018-02-01",60
"2018-02-02",55
"2018-02-03",62
"2018-02-04",73
"2018-02-05",81
"2018-02-06",83
"2018-02-07",54
"2018-02-08",49
"2018-02-09",56
"2018-02-10",68
"2018-02-11",78
"2018-02-12",63
"2018-02-13",47
"2018-02-14",50
"2018-02-15",55
"2018-02-16",48
"2018-02-17",64
"2018-02-18",60
"2018-02-19",66
"2018-02-20",66
"2018-02-21",70
"2018-02-22",66
"2018-02-23",58
"2018-02-24",69
"2018-02-25",70
"2018-02-26",74
"2018-02-27",70
"2018-02-28",59
"2018-03-01",77
"2018-03-02",67
"2018-03-03",63
"2018-03-04",80
"2018-03-05",80
"2018-03-06",66
"2018-03-07",71
"2018-03-08",77
"2018-03-09",61
"2018-03-10",67
"2018-03-11",82
"2018-03-12",74
"2018-03-13",61
"2018-03-14",58
"2018-03-15",46
"2018-03-16",46
"2018-03-17",44
"2018-03-18",47
"2018-03-19",54
"2018-03-20",53
"2018-03-21",51
"2018-03-22",49
"2018-03-23",38
"2018-03-24",41
"2018-03-25",53
"2018-03-26",44
"2018-03-27",46
"2018-03-28",42
"2018-03-29",50
"2018-03-30",37
"2018-03-31",40
"2018-04-01",59
"2018-04-02",41
"2018-04-03",45
"2018-04-04",41
"2018-04-05",34
"2018-04-06",33
"2018-04-07",46
"2018-04-08",46
"2018-04-09",47
"2018-04-10",41
"2018-04-11",39
"2018-04-12",40
"2018-04-13",35
"2018-04-14",38
"2018-04-15",50
"2018-04-16",45
"2018-04-17",49
"2018-04-18",49
"2018-04-19",51
