네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","페리페라"
"2017-08-01",48
"2017-08-02",39
"2017-08-03",43
"2017-08-04",36
"2017-08-05",43
"2017-08-06",40
"2017-08-07",36
"2017-08-08",39
"2017-08-09",38
"2017-08-10",42
"2017-08-11",33
"2017-08-12",29
"2017-08-13",33
"2017-08-14",36
"2017-08-15",39
"2017-08-16",40
"2017-08-17",33
"2017-08-18",32
"2017-08-19",41
"2017-08-20",53
"2017-08-21",44
"2017-08-22",57
"2017-08-23",54
"2017-08-24",59
"2017-08-25",36
"2017-08-26",45
"2017-08-27",38
"2017-08-28",34
"2017-08-29",41
"2017-08-30",36
"2017-08-31",32
"2017-09-01",30
"2017-09-02",27
"2017-09-03",31
"2017-09-04",29
"2017-09-05",28
"2017-09-06",33
"2017-09-07",34
"2017-09-08",24
"2017-09-09",27
"2017-09-10",29
"2017-09-11",25
"2017-09-12",26
"2017-09-13",26
"2017-09-14",30
"2017-09-15",24
"2017-09-16",24
"2017-09-17",28
"2017-09-18",32
"2017-09-19",33
"2017-09-20",33
"2017-09-21",37
"2017-09-22",31
"2017-09-23",31
"2017-09-24",32
"2017-09-25",32
"2017-09-26",39
"2017-09-27",47
"2017-09-28",37
"2017-09-29",32
"2017-09-30",32
"2017-10-01",28
"2017-10-02",44
"2017-10-03",65
"2017-10-04",62
"2017-10-05",64
"2017-10-06",67
"2017-10-07",61
"2017-10-08",55
"2017-10-09",72
"2017-10-10",72
"2017-10-11",71
"2017-10-12",65
"2017-10-13",46
"2017-10-14",55
"2017-10-15",82
"2017-10-16",90
"2017-10-17",71
"2017-10-18",71
"2017-10-19",66
"2017-10-20",46
"2017-10-21",49
"2017-10-22",66
"2017-10-23",57
"2017-10-24",51
"2017-10-25",57
"2017-10-26",69
"2017-10-27",48
"2017-10-28",44
"2017-10-29",42
"2017-10-30",46
"2017-10-31",51
"2017-11-01",50
"2017-11-02",36
"2017-11-03",46
"2017-11-04",42
"2017-11-05",43
"2017-11-06",72
"2017-11-07",72
"2017-11-08",61
"2017-11-09",54
"2017-11-10",51
"2017-11-11",53
"2017-11-12",57
"2017-11-13",54
"2017-11-14",48
"2017-11-15",51
"2017-11-16",52
"2017-11-17",38
"2017-11-18",39
"2017-11-19",53
"2017-11-20",54
"2017-11-21",49
"2017-11-22",52
"2017-11-23",42
"2017-11-24",32
"2017-11-25",39
"2017-11-26",43
"2017-11-27",39
"2017-11-28",44
"2017-11-29",50
"2017-11-30",45
"2017-12-01",41
"2017-12-02",49
"2017-12-03",65
"2017-12-04",52
"2017-12-05",67
"2017-12-06",54
"2017-12-07",38
"2017-12-08",31
"2017-12-09",43
"2017-12-10",53
"2017-12-11",42
"2017-12-12",42
"2017-12-13",33
"2017-12-14",35
"2017-12-15",35
"2017-12-16",44
"2017-12-17",57
"2017-12-18",46
"2017-12-19",38
"2017-12-20",43
"2017-12-21",31
"2017-12-22",31
"2017-12-23",19
"2017-12-24",33
"2017-12-25",45
"2017-12-26",47
"2017-12-27",37
"2017-12-28",37
"2017-12-29",42
"2017-12-30",27
"2017-12-31",29
"2018-01-01",45
"2018-01-02",45
"2018-01-03",39
"2018-01-04",37
"2018-01-05",34
"2018-01-06",42
"2018-01-07",32
"2018-01-08",36
"2018-01-09",35
"2018-01-10",38
"2018-01-11",40
"2018-01-12",41
"2018-01-13",44
"2018-01-14",51
"2018-01-15",55
"2018-01-16",65
"2018-01-17",55
"2018-01-18",70
"2018-01-19",54
"2018-01-20",45
"2018-01-21",40
"2018-01-22",52
"2018-01-23",58
"2018-01-24",49
"2018-01-25",59
"2018-01-26",52
"2018-01-27",38
"2018-01-28",56
"2018-01-29",65
"2018-01-30",62
"2018-01-31",62
"2018-02-01",74
"2018-02-02",68
"2018-02-03",60
"2018-02-04",56
"2018-02-05",73
"2018-02-06",74
"2018-02-07",64
"2018-02-08",47
"2018-02-09",59
"2018-02-10",62
"2018-02-11",78
"2018-02-12",69
"2018-02-13",48
"2018-02-14",41
"2018-02-15",52
"2018-02-16",53
"2018-02-17",68
"2018-02-18",66
"2018-02-19",74
"2018-02-20",100
"2018-02-21",83
"2018-02-22",90
"2018-02-23",65
"2018-02-24",61
"2018-02-25",62
"2018-02-26",66
"2018-02-27",59
"2018-02-28",55
"2018-03-01",56
"2018-03-02",46
"2018-03-03",55
"2018-03-04",51
"2018-03-05",44
"2018-03-06",49
"2018-03-07",43
"2018-03-08",53
"2018-03-09",45
"2018-03-10",48
"2018-03-11",61
"2018-03-12",46
"2018-03-13",55
"2018-03-14",47
"2018-03-15",51
"2018-03-16",54
"2018-03-17",52
"2018-03-18",69
"2018-03-19",43
"2018-03-20",53
"2018-03-21",48
"2018-03-22",47
"2018-03-23",48
"2018-03-24",58
"2018-03-25",65
"2018-03-26",55
"2018-03-27",48
"2018-03-28",41
"2018-03-29",42
"2018-03-30",43
"2018-03-31",44
"2018-04-01",57
"2018-04-02",47
"2018-04-03",47
"2018-04-04",47
"2018-04-05",35
"2018-04-06",28
"2018-04-07",41
"2018-04-08",37
"2018-04-09",38
"2018-04-10",41
"2018-04-11",42
"2018-04-12",38
"2018-04-13",36
"2018-04-14",33
"2018-04-15",46
"2018-04-16",31
"2018-04-17",37
"2018-04-18",42
"2018-04-19",38
