네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","섀도우팔레트"
"2017-08-01",32
"2017-08-02",45
"2017-08-03",33
"2017-08-04",26
"2017-08-05",30
"2017-08-06",37
"2017-08-07",38
"2017-08-08",31
"2017-08-09",35
"2017-08-10",38
"2017-08-11",30
"2017-08-12",30
"2017-08-13",33
"2017-08-14",36
"2017-08-15",39
"2017-08-16",31
"2017-08-17",42
"2017-08-18",27
"2017-08-19",34
"2017-08-20",56
"2017-08-21",30
"2017-08-22",38
"2017-08-23",30
"2017-08-24",36
"2017-08-25",34
"2017-08-26",29
"2017-08-27",36
"2017-08-28",25
"2017-08-29",29
"2017-08-30",27
"2017-08-31",25
"2017-09-01",32
"2017-09-02",37
"2017-09-03",36
"2017-09-04",27
"2017-09-05",24
"2017-09-06",27
"2017-09-07",31
"2017-09-08",29
"2017-09-09",34
"2017-09-10",44
"2017-09-11",28
"2017-09-12",36
"2017-09-13",27
"2017-09-14",31
"2017-09-15",34
"2017-09-16",35
"2017-09-17",36
"2017-09-18",29
"2017-09-19",29
"2017-09-20",29
"2017-09-21",36
"2017-09-22",25
"2017-09-23",30
"2017-09-24",42
"2017-09-25",39
"2017-09-26",41
"2017-09-27",40
"2017-09-28",44
"2017-09-29",33
"2017-09-30",43
"2017-10-01",65
"2017-10-02",47
"2017-10-03",61
"2017-10-04",68
"2017-10-05",55
"2017-10-06",66
"2017-10-07",65
"2017-10-08",59
"2017-10-09",56
"2017-10-10",43
"2017-10-11",36
"2017-10-12",31
"2017-10-13",29
"2017-10-14",36
"2017-10-15",38
"2017-10-16",28
"2017-10-17",32
"2017-10-18",32
"2017-10-19",32
"2017-10-20",33
"2017-10-21",40
"2017-10-22",52
"2017-10-23",34
"2017-10-24",43
"2017-10-25",38
"2017-10-26",33
"2017-10-27",37
"2017-10-28",31
"2017-10-29",45
"2017-10-30",37
"2017-10-31",29
"2017-11-01",40
"2017-11-02",43
"2017-11-03",45
"2017-11-04",45
"2017-11-05",50
"2017-11-06",51
"2017-11-07",41
"2017-11-08",46
"2017-11-09",42
"2017-11-10",37
"2017-11-11",57
"2017-11-12",57
"2017-11-13",44
"2017-11-14",43
"2017-11-15",38
"2017-11-16",53
"2017-11-17",38
"2017-11-18",53
"2017-11-19",61
"2017-11-20",55
"2017-11-21",52
"2017-11-22",75
"2017-11-23",79
"2017-11-24",54
"2017-11-25",66
"2017-11-26",76
"2017-11-27",73
"2017-11-28",48
"2017-11-29",54
"2017-11-30",53
"2017-12-01",56
"2017-12-02",68
"2017-12-03",78
"2017-12-04",71
"2017-12-05",70
"2017-12-06",72
"2017-12-07",68
"2017-12-08",72
"2017-12-09",76
"2017-12-10",92
"2017-12-11",55
"2017-12-12",59
"2017-12-13",58
"2017-12-14",73
"2017-12-15",63
"2017-12-16",77
"2017-12-17",85
"2017-12-18",63
"2017-12-19",65
"2017-12-20",69
"2017-12-21",54
"2017-12-22",61
"2017-12-23",74
"2017-12-24",87
"2017-12-25",62
"2017-12-26",55
"2017-12-27",64
"2017-12-28",66
"2017-12-29",72
"2017-12-30",66
"2017-12-31",67
"2018-01-01",67
"2018-01-02",62
"2018-01-03",70
"2018-01-04",69
"2018-01-05",68
"2018-01-06",71
"2018-01-07",85
"2018-01-08",87
"2018-01-09",81
"2018-01-10",75
"2018-01-11",60
"2018-01-12",67
"2018-01-13",66
"2018-01-14",66
"2018-01-15",72
"2018-01-16",53
"2018-01-17",51
"2018-01-18",56
"2018-01-19",55
"2018-01-20",58
"2018-01-21",58
"2018-01-22",68
"2018-01-23",62
"2018-01-24",56
"2018-01-25",57
"2018-01-26",70
"2018-01-27",61
"2018-01-28",73
"2018-01-29",65
"2018-01-30",75
"2018-01-31",73
"2018-02-01",61
"2018-02-02",65
"2018-02-03",63
"2018-02-04",77
"2018-02-05",73
"2018-02-06",50
"2018-02-07",68
"2018-02-08",64
"2018-02-09",52
"2018-02-10",64
"2018-02-11",67
"2018-02-12",53
"2018-02-13",66
"2018-02-14",63
"2018-02-15",69
"2018-02-16",68
"2018-02-17",100
"2018-02-18",78
"2018-02-19",70
"2018-02-20",68
"2018-02-21",52
"2018-02-22",65
"2018-02-23",53
"2018-02-24",53
"2018-02-25",66
"2018-02-26",64
"2018-02-27",78
"2018-02-28",76
"2018-03-01",90
"2018-03-02",60
"2018-03-03",75
"2018-03-04",72
"2018-03-05",68
"2018-03-06",57
"2018-03-07",48
"2018-03-08",60
"2018-03-09",48
"2018-03-10",60
"2018-03-11",81
"2018-03-12",66
"2018-03-13",51
"2018-03-14",49
"2018-03-15",59
"2018-03-16",49
"2018-03-17",69
"2018-03-18",61
"2018-03-19",62
"2018-03-20",47
"2018-03-21",61
"2018-03-22",67
"2018-03-23",42
"2018-03-24",57
"2018-03-25",73
"2018-03-26",53
"2018-03-27",42
"2018-03-28",51
"2018-03-29",44
"2018-03-30",47
"2018-03-31",51
"2018-04-01",66
"2018-04-02",51
"2018-04-03",55
"2018-04-04",51
"2018-04-05",51
"2018-04-06",55
"2018-04-07",56
"2018-04-08",78
"2018-04-09",63
"2018-04-10",54
"2018-04-11",62
"2018-04-12",69
"2018-04-13",66
"2018-04-14",76
"2018-04-15",98
"2018-04-16",68
"2018-04-17",64
"2018-04-18",61
"2018-04-19",69
