네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에스티로더더블웨어파운데이션"
"2017-08-01",36
"2017-08-02",38
"2017-08-03",33
"2017-08-04",26
"2017-08-05",24
"2017-08-06",29
"2017-08-07",32
"2017-08-08",34
"2017-08-09",35
"2017-08-10",31
"2017-08-11",31
"2017-08-12",26
"2017-08-13",30
"2017-08-14",30
"2017-08-15",36
"2017-08-16",30
"2017-08-17",36
"2017-08-18",29
"2017-08-19",31
"2017-08-20",31
"2017-08-21",37
"2017-08-22",32
"2017-08-23",34
"2017-08-24",36
"2017-08-25",31
"2017-08-26",27
"2017-08-27",35
"2017-08-28",29
"2017-08-29",31
"2017-08-30",35
"2017-08-31",30
"2017-09-01",33
"2017-09-02",27
"2017-09-03",33
"2017-09-04",36
"2017-09-05",33
"2017-09-06",35
"2017-09-07",37
"2017-09-08",30
"2017-09-09",28
"2017-09-10",42
"2017-09-11",36
"2017-09-12",32
"2017-09-13",34
"2017-09-14",34
"2017-09-15",26
"2017-09-16",30
"2017-09-17",33
"2017-09-18",36
"2017-09-19",34
"2017-09-20",35
"2017-09-21",29
"2017-09-22",27
"2017-09-23",25
"2017-09-24",32
"2017-09-25",41
"2017-09-26",37
"2017-09-27",25
"2017-09-28",22
"2017-09-29",17
"2017-09-30",19
"2017-10-01",23
"2017-10-02",23
"2017-10-03",21
"2017-10-04",28
"2017-10-05",28
"2017-10-06",38
"2017-10-07",47
"2017-10-08",44
"2017-10-09",52
"2017-10-10",46
"2017-10-11",48
"2017-10-12",41
"2017-10-13",31
"2017-10-14",31
"2017-10-15",34
"2017-10-16",33
"2017-10-17",33
"2017-10-18",31
"2017-10-19",29
"2017-10-20",25
"2017-10-21",24
"2017-10-22",33
"2017-10-23",35
"2017-10-24",34
"2017-10-25",33
"2017-10-26",34
"2017-10-27",24
"2017-10-28",27
"2017-10-29",30
"2017-10-30",30
"2017-10-31",29
"2017-11-01",38
"2017-11-02",33
"2017-11-03",28
"2017-11-04",31
"2017-11-05",32
"2017-11-06",36
"2017-11-07",29
"2017-11-08",32
"2017-11-09",27
"2017-11-10",28
"2017-11-11",28
"2017-11-12",33
"2017-11-13",33
"2017-11-14",28
"2017-11-15",27
"2017-11-16",24
"2017-11-17",21
"2017-11-18",20
"2017-11-19",28
"2017-11-20",29
"2017-11-21",32
"2017-11-22",28
"2017-11-23",27
"2017-11-24",23
"2017-11-25",25
"2017-11-26",33
"2017-11-27",33
"2017-11-28",30
"2017-11-29",31
"2017-11-30",25
"2017-12-01",27
"2017-12-02",25
"2017-12-03",31
"2017-12-04",33
"2017-12-05",31
"2017-12-06",31
"2017-12-07",25
"2017-12-08",24
"2017-12-09",23
"2017-12-10",28
"2017-12-11",30
"2017-12-12",28
"2017-12-13",29
"2017-12-14",27
"2017-12-15",27
"2017-12-16",29
"2017-12-17",30
"2017-12-18",31
"2017-12-19",32
"2017-12-20",27
"2017-12-21",27
"2017-12-22",21
"2017-12-23",21
"2017-12-24",24
"2017-12-25",27
"2017-12-26",28
"2017-12-27",26
"2017-12-28",27
"2017-12-29",24
"2017-12-30",21
"2017-12-31",23
"2018-01-01",28
"2018-01-02",31
"2018-01-03",31
"2018-01-04",31
"2018-01-05",30
"2018-01-06",30
"2018-01-07",33
"2018-01-08",37
"2018-01-09",34
"2018-01-10",34
"2018-01-11",32
"2018-01-12",27
"2018-01-13",27
"2018-01-14",35
"2018-01-15",37
"2018-01-16",44
"2018-01-17",35
"2018-01-18",30
"2018-01-19",24
"2018-01-20",27
"2018-01-21",33
"2018-01-22",36
"2018-01-23",35
"2018-01-24",34
"2018-01-25",31
"2018-01-26",25
"2018-01-27",29
"2018-01-28",34
"2018-01-29",34
"2018-01-30",39
"2018-01-31",32
"2018-02-01",33
"2018-02-02",32
"2018-02-03",37
"2018-02-04",40
"2018-02-05",40
"2018-02-06",35
"2018-02-07",33
"2018-02-08",34
"2018-02-09",27
"2018-02-10",30
"2018-02-11",35
"2018-02-12",23
"2018-02-13",16
"2018-02-14",14
"2018-02-15",16
"2018-02-16",16
"2018-02-17",25
"2018-02-18",27
"2018-02-19",31
"2018-02-20",30
"2018-02-21",29
"2018-02-22",25
"2018-02-23",24
"2018-02-24",21
"2018-02-25",25
"2018-02-26",23
"2018-02-27",25
"2018-02-28",22
"2018-03-01",31
"2018-03-02",26
"2018-03-03",25
"2018-03-04",33
"2018-03-05",30
"2018-03-06",29
"2018-03-07",27
"2018-03-08",25
"2018-03-09",21
"2018-03-10",23
"2018-03-11",28
"2018-03-12",29
"2018-03-13",30
"2018-03-14",28
"2018-03-15",26
"2018-03-16",24
"2018-03-17",28
"2018-03-18",28
"2018-03-19",29
"2018-03-20",32
"2018-03-21",32
"2018-03-22",24
"2018-03-23",22
"2018-03-24",25
"2018-03-25",32
"2018-03-26",32
"2018-03-27",30
"2018-03-28",30
"2018-03-29",58
"2018-03-30",100
"2018-03-31",81
"2018-04-01",84
"2018-04-02",75
"2018-04-03",70
"2018-04-04",65
"2018-04-05",49
"2018-04-06",41
"2018-04-07",39
"2018-04-08",48
"2018-04-09",63
"2018-04-10",58
"2018-04-11",61
"2018-04-12",61
"2018-04-13",43
"2018-04-14",43
"2018-04-15",49
"2018-04-16",48
"2018-04-17",46
"2018-04-18",49
"2018-04-19",41
