네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","랑방에끌라드아르페쥬"
"2017-08-01",17
"2017-08-02",22
"2017-08-03",22
"2017-08-04",20
"2017-08-05",18
"2017-08-06",24
"2017-08-07",28
"2017-08-08",21
"2017-08-09",26
"2017-08-10",26
"2017-08-11",19
"2017-08-12",21
"2017-08-13",24
"2017-08-14",21
"2017-08-15",23
"2017-08-16",23
"2017-08-17",24
"2017-08-18",21
"2017-08-19",20
"2017-08-20",24
"2017-08-21",26
"2017-08-22",25
"2017-08-23",29
"2017-08-24",22
"2017-08-25",26
"2017-08-26",20
"2017-08-27",22
"2017-08-28",24
"2017-08-29",31
"2017-08-30",33
"2017-08-31",32
"2017-09-01",25
"2017-09-02",24
"2017-09-03",24
"2017-09-04",23
"2017-09-05",28
"2017-09-06",25
"2017-09-07",70
"2017-09-08",29
"2017-09-09",23
"2017-09-10",24
"2017-09-11",22
"2017-09-12",24
"2017-09-13",25
"2017-09-14",24
"2017-09-15",21
"2017-09-16",20
"2017-09-17",24
"2017-09-18",25
"2017-09-19",29
"2017-09-20",23
"2017-09-21",25
"2017-09-22",28
"2017-09-23",21
"2017-09-24",23
"2017-09-25",28
"2017-09-26",26
"2017-09-27",22
"2017-09-28",18
"2017-09-29",17
"2017-09-30",16
"2017-10-01",23
"2017-10-02",25
"2017-10-03",20
"2017-10-04",18
"2017-10-05",17
"2017-10-06",33
"2017-10-07",26
"2017-10-08",30
"2017-10-09",32
"2017-10-10",32
"2017-10-11",29
"2017-10-12",29
"2017-10-13",24
"2017-10-14",22
"2017-10-15",25
"2017-10-16",24
"2017-10-17",26
"2017-10-18",23
"2017-10-19",24
"2017-10-20",20
"2017-10-21",17
"2017-10-22",23
"2017-10-23",25
"2017-10-24",23
"2017-10-25",22
"2017-10-26",19
"2017-10-27",19
"2017-10-28",19
"2017-10-29",23
"2017-10-30",22
"2017-10-31",22
"2017-11-01",23
"2017-11-02",21
"2017-11-03",24
"2017-11-04",19
"2017-11-05",31
"2017-11-06",33
"2017-11-07",31
"2017-11-08",27
"2017-11-09",24
"2017-11-10",25
"2017-11-11",25
"2017-11-12",20
"2017-11-13",23
"2017-11-14",24
"2017-11-15",24
"2017-11-16",20
"2017-11-17",20
"2017-11-18",17
"2017-11-19",19
"2017-11-20",24
"2017-11-21",30
"2017-11-22",26
"2017-11-23",32
"2017-11-24",25
"2017-11-25",21
"2017-11-26",25
"2017-11-27",33
"2017-11-28",27
"2017-11-29",26
"2017-11-30",30
"2017-12-01",27
"2017-12-02",31
"2017-12-03",32
"2017-12-04",35
"2017-12-05",31
"2017-12-06",34
"2017-12-07",28
"2017-12-08",26
"2017-12-09",23
"2017-12-10",29
"2017-12-11",38
"2017-12-12",39
"2017-12-13",36
"2017-12-14",28
"2017-12-15",100
"2017-12-16",38
"2017-12-17",40
"2017-12-18",47
"2017-12-19",37
"2017-12-20",37
"2017-12-21",31
"2017-12-22",22
"2017-12-23",19
"2017-12-24",23
"2017-12-25",30
"2017-12-26",25
"2017-12-27",22
"2017-12-28",19
"2017-12-29",23
"2017-12-30",19
"2017-12-31",18
"2018-01-01",21
"2018-01-02",23
"2018-01-03",22
"2018-01-04",22
"2018-01-05",20
"2018-01-06",25
"2018-01-07",25
"2018-01-08",26
"2018-01-09",26
"2018-01-10",37
"2018-01-11",36
"2018-01-12",37
"2018-01-13",22
"2018-01-14",32
"2018-01-15",26
"2018-01-16",31
"2018-01-17",27
"2018-01-18",23
"2018-01-19",24
"2018-01-20",25
"2018-01-21",25
"2018-01-22",32
"2018-01-23",30
"2018-01-24",28
"2018-01-25",32
"2018-01-26",31
"2018-01-27",29
"2018-01-28",33
"2018-01-29",34
"2018-01-30",35
"2018-01-31",39
"2018-02-01",45
"2018-02-02",48
"2018-02-03",41
"2018-02-04",52
"2018-02-05",48
"2018-02-06",53
"2018-02-07",53
"2018-02-08",54
"2018-02-09",45
"2018-02-10",43
"2018-02-11",43
"2018-02-12",43
"2018-02-13",36
"2018-02-14",39
"2018-02-15",37
"2018-02-16",41
"2018-02-17",46
"2018-02-18",51
"2018-02-19",70
"2018-02-20",51
"2018-02-21",57
"2018-02-22",51
"2018-02-23",43
"2018-02-24",31
"2018-02-25",51
"2018-02-26",46
"2018-02-27",34
"2018-02-28",39
"2018-03-01",44
"2018-03-02",40
"2018-03-03",39
"2018-03-04",43
"2018-03-05",40
"2018-03-06",45
"2018-03-07",42
"2018-03-08",43
"2018-03-09",43
"2018-03-10",41
"2018-03-11",52
"2018-03-12",48
"2018-03-13",55
"2018-03-14",55
"2018-03-15",35
"2018-03-16",34
"2018-03-17",34
"2018-03-18",41
"2018-03-19",35
"2018-03-20",26
"2018-03-21",29
"2018-03-22",31
"2018-03-23",25
"2018-03-24",26
"2018-03-25",27
"2018-03-26",29
"2018-03-27",30
"2018-03-28",28
"2018-03-29",25
"2018-03-30",20
"2018-03-31",23
"2018-04-01",27
"2018-04-02",31
"2018-04-03",36
"2018-04-04",32
"2018-04-05",34
"2018-04-06",29
"2018-04-07",28
"2018-04-08",32
"2018-04-09",34
"2018-04-10",31
"2018-04-11",30
"2018-04-12",31
"2018-04-13",21
"2018-04-14",24
"2018-04-15",32
"2018-04-16",28
"2018-04-17",26
"2018-04-18",28
"2018-04-19",28
