네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키엘수분크림"
"2017-08-01",20
"2017-08-02",18
"2017-08-03",18
"2017-08-04",16
"2017-08-05",15
"2017-08-06",17
"2017-08-07",24
"2017-08-08",20
"2017-08-09",21
"2017-08-10",22
"2017-08-11",19
"2017-08-12",17
"2017-08-13",22
"2017-08-14",23
"2017-08-15",27
"2017-08-16",26
"2017-08-17",20
"2017-08-18",19
"2017-08-19",15
"2017-08-20",24
"2017-08-21",23
"2017-08-22",23
"2017-08-23",19
"2017-08-24",20
"2017-08-25",19
"2017-08-26",17
"2017-08-27",22
"2017-08-28",26
"2017-08-29",28
"2017-08-30",36
"2017-08-31",34
"2017-09-01",26
"2017-09-02",20
"2017-09-03",26
"2017-09-04",35
"2017-09-05",24
"2017-09-06",26
"2017-09-07",23
"2017-09-08",21
"2017-09-09",18
"2017-09-10",26
"2017-09-11",35
"2017-09-12",33
"2017-09-13",30
"2017-09-14",26
"2017-09-15",26
"2017-09-16",18
"2017-09-17",33
"2017-09-18",28
"2017-09-19",29
"2017-09-20",33
"2017-09-21",26
"2017-09-22",21
"2017-09-23",18
"2017-09-24",21
"2017-09-25",34
"2017-09-26",34
"2017-09-27",31
"2017-09-28",26
"2017-09-29",23
"2017-09-30",24
"2017-10-01",25
"2017-10-02",19
"2017-10-03",20
"2017-10-04",25
"2017-10-05",27
"2017-10-06",35
"2017-10-07",32
"2017-10-08",34
"2017-10-09",41
"2017-10-10",46
"2017-10-11",39
"2017-10-12",48
"2017-10-13",29
"2017-10-14",36
"2017-10-15",45
"2017-10-16",65
"2017-10-17",73
"2017-10-18",66
"2017-10-19",48
"2017-10-20",27
"2017-10-21",27
"2017-10-22",43
"2017-10-23",67
"2017-10-24",70
"2017-10-25",75
"2017-10-26",53
"2017-10-27",52
"2017-10-28",50
"2017-10-29",58
"2017-10-30",77
"2017-10-31",74
"2017-11-01",75
"2017-11-02",71
"2017-11-03",58
"2017-11-04",59
"2017-11-05",70
"2017-11-06",81
"2017-11-07",68
"2017-11-08",67
"2017-11-09",80
"2017-11-10",66
"2017-11-11",57
"2017-11-12",76
"2017-11-13",81
"2017-11-14",72
"2017-11-15",75
"2017-11-16",84
"2017-11-17",66
"2017-11-18",64
"2017-11-19",79
"2017-11-20",100
"2017-11-21",93
"2017-11-22",83
"2017-11-23",82
"2017-11-24",71
"2017-11-25",60
"2017-11-26",72
"2017-11-27",77
"2017-11-28",67
"2017-11-29",78
"2017-11-30",74
"2017-12-01",82
"2017-12-02",69
"2017-12-03",77
"2017-12-04",87
"2017-12-05",86
"2017-12-06",80
"2017-12-07",66
"2017-12-08",62
"2017-12-09",62
"2017-12-10",73
"2017-12-11",92
"2017-12-12",79
"2017-12-13",78
"2017-12-14",68
"2017-12-15",60
"2017-12-16",60
"2017-12-17",68
"2017-12-18",77
"2017-12-19",79
"2017-12-20",68
"2017-12-21",68
"2017-12-22",53
"2017-12-23",50
"2017-12-24",54
"2017-12-25",69
"2017-12-26",77
"2017-12-27",63
"2017-12-28",58
"2017-12-29",49
"2017-12-30",50
"2017-12-31",51
"2018-01-01",62
"2018-01-02",70
"2018-01-03",65
"2018-01-04",61
"2018-01-05",51
"2018-01-06",60
"2018-01-07",69
"2018-01-08",63
"2018-01-09",68
"2018-01-10",64
"2018-01-11",56
"2018-01-12",58
"2018-01-13",62
"2018-01-14",65
"2018-01-15",77
"2018-01-16",68
"2018-01-17",47
"2018-01-18",57
"2018-01-19",52
"2018-01-20",58
"2018-01-21",58
"2018-01-22",63
"2018-01-23",73
"2018-01-24",67
"2018-01-25",68
"2018-01-26",52
"2018-01-27",66
"2018-01-28",88
"2018-01-29",89
"2018-01-30",85
"2018-01-31",78
"2018-02-01",89
"2018-02-02",67
"2018-02-03",58
"2018-02-04",74
"2018-02-05",71
"2018-02-06",75
"2018-02-07",77
"2018-02-08",66
"2018-02-09",49
"2018-02-10",39
"2018-02-11",53
"2018-02-12",40
"2018-02-13",40
"2018-02-14",28
"2018-02-15",28
"2018-02-16",27
"2018-02-17",36
"2018-02-18",46
"2018-02-19",52
"2018-02-20",40
"2018-02-21",47
"2018-02-22",39
"2018-02-23",34
"2018-02-24",28
"2018-02-25",42
"2018-02-26",36
"2018-02-27",46
"2018-02-28",33
"2018-03-01",39
"2018-03-02",39
"2018-03-03",27
"2018-03-04",36
"2018-03-05",37
"2018-03-06",30
"2018-03-07",33
"2018-03-08",31
"2018-03-09",21
"2018-03-10",25
"2018-03-11",30
"2018-03-12",46
"2018-03-13",41
"2018-03-14",42
"2018-03-15",38
"2018-03-16",36
"2018-03-17",31
"2018-03-18",46
"2018-03-19",55
"2018-03-20",47
"2018-03-21",50
"2018-03-22",65
"2018-03-23",43
"2018-03-24",35
"2018-03-25",49
"2018-03-26",45
"2018-03-27",51
"2018-03-28",57
"2018-03-29",53
"2018-03-30",41
"2018-03-31",36
"2018-04-01",42
"2018-04-02",58
"2018-04-03",48
"2018-04-04",48
"2018-04-05",53
"2018-04-06",44
"2018-04-07",52
"2018-04-08",61
"2018-04-09",64
"2018-04-10",77
"2018-04-11",76
"2018-04-12",63
"2018-04-13",51
"2018-04-14",54
"2018-04-15",62
"2018-04-16",67
"2018-04-17",59
"2018-04-18",60
"2018-04-19",50
