네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","입생로랑따뚜아쥬꾸뛰르"
"2017-08-24",
"2017-08-25",1
"2017-08-26",
"2017-08-27",
"2017-08-28",10
"2017-08-29",19
"2017-08-30",48
"2017-08-31",78
"2017-09-01",80
"2017-09-02",82
"2017-09-03",88
"2017-09-04",91
"2017-09-05",79
"2017-09-06",62
"2017-09-07",56
"2017-09-08",63
"2017-09-09",56
"2017-09-10",59
"2017-09-11",51
"2017-09-12",48
"2017-09-13",42
"2017-09-14",43
"2017-09-15",43
"2017-09-16",44
"2017-09-17",48
"2017-09-18",51
"2017-09-19",62
"2017-09-20",47
"2017-09-21",40
"2017-09-22",35
"2017-09-23",38
"2017-09-24",38
"2017-09-25",46
"2017-09-26",47
"2017-09-27",51
"2017-09-28",43
"2017-09-29",33
"2017-09-30",31
"2017-10-01",44
"2017-10-02",42
"2017-10-03",35
"2017-10-04",33
"2017-10-05",45
"2017-10-06",62
"2017-10-07",76
"2017-10-08",100
"2017-10-09",76
"2017-10-10",98
"2017-10-11",87
"2017-10-12",80
"2017-10-13",48
"2017-10-14",46
"2017-10-15",53
"2017-10-16",57
"2017-10-17",57
"2017-10-18",47
"2017-10-19",53
"2017-10-20",40
"2017-10-21",39
"2017-10-22",37
"2017-10-23",40
"2017-10-24",40
"2017-10-25",44
"2017-10-26",36
"2017-10-27",33
"2017-10-28",29
"2017-10-29",30
"2017-10-30",31
"2017-10-31",32
"2017-11-01",45
"2017-11-02",35
"2017-11-03",23
"2017-11-04",21
"2017-11-05",24
"2017-11-06",24
"2017-11-07",22
"2017-11-08",18
"2017-11-09",17
"2017-11-10",15
"2017-11-11",16
"2017-11-12",17
"2017-11-13",16
"2017-11-14",16
"2017-11-15",14
"2017-11-16",13
"2017-11-17",12
"2017-11-18",15
"2017-11-19",15
"2017-11-20",14
"2017-11-21",13
"2017-11-22",13
"2017-11-23",16
"2017-11-24",10
"2017-11-25",9
"2017-11-26",12
"2017-11-27",11
"2017-11-28",11
"2017-11-29",11
"2017-11-30",9
"2017-12-01",10
"2017-12-02",11
"2017-12-03",13
"2017-12-04",12
"2017-12-05",16
"2017-12-06",13
"2017-12-07",11
"2017-12-08",11
"2017-12-09",10
"2017-12-10",10
"2017-12-11",14
"2017-12-12",10
"2017-12-13",9
"2017-12-14",10
"2017-12-15",12
"2017-12-16",9
"2017-12-17",14
"2017-12-18",11
"2017-12-19",12
"2017-12-20",15
"2017-12-21",12
"2017-12-22",9
"2017-12-23",8
"2017-12-24",10
"2017-12-25",11
"2017-12-26",11
"2017-12-27",14
"2017-12-28",8
"2017-12-29",10
"2017-12-30",10
"2017-12-31",10
"2018-01-01",10
"2018-01-02",12
"2018-01-03",12
"2018-01-04",11
"2018-01-05",10
"2018-01-06",15
"2018-01-07",12
"2018-01-08",15
"2018-01-09",14
"2018-01-10",14
"2018-01-11",14
"2018-01-12",14
"2018-01-13",12
"2018-01-14",14
"2018-01-15",14
"2018-01-16",15
"2018-01-17",13
"2018-01-18",12
"2018-01-19",11
"2018-01-20",10
"2018-01-21",15
"2018-01-22",13
"2018-01-23",18
"2018-01-24",15
"2018-01-25",14
"2018-01-26",13
"2018-01-27",14
"2018-01-28",14
"2018-01-29",13
"2018-01-30",16
"2018-01-31",14
"2018-02-01",14
"2018-02-02",12
"2018-02-03",15
"2018-02-04",17
"2018-02-05",16
"2018-02-06",15
"2018-02-07",14
"2018-02-08",12
"2018-02-09",9
"2018-02-10",12
"2018-02-11",13
"2018-02-12",10
"2018-02-13",9
"2018-02-14",10
"2018-02-15",9
"2018-02-16",12
"2018-02-17",13
"2018-02-18",16
"2018-02-19",13
"2018-02-20",12
"2018-02-21",11
"2018-02-22",10
"2018-02-23",10
"2018-02-24",11
"2018-02-25",10
"2018-02-26",11
"2018-02-27",13
"2018-02-28",10
"2018-03-01",10
"2018-03-02",10
"2018-03-03",11
"2018-03-04",11
"2018-03-05",10
"2018-03-06",10
"2018-03-07",11
"2018-03-08",10
"2018-03-09",9
"2018-03-10",8
"2018-03-11",10
"2018-03-12",10
"2018-03-13",9
"2018-03-14",9
"2018-03-15",9
"2018-03-16",7
"2018-03-17",7
"2018-03-18",9
"2018-03-19",7
"2018-03-20",7
"2018-03-21",9
"2018-03-22",6
"2018-03-23",6
"2018-03-24",7
"2018-03-25",7
"2018-03-26",6
"2018-03-27",6
"2018-03-28",6
"2018-03-29",6
"2018-03-30",6
"2018-03-31",6
"2018-04-01",8
"2018-04-02",5
"2018-04-03",4
"2018-04-04",5
"2018-04-05",5
"2018-04-06",5
"2018-04-07",6
"2018-04-08",6
"2018-04-09",5
"2018-04-10",6
"2018-04-11",5
"2018-04-12",4
"2018-04-13",4
"2018-04-14",5
"2018-04-15",6
"2018-04-16",7
"2018-04-17",5
"2018-04-18",5
"2018-04-19",4
