네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슈에무라립스틱"
"2017-08-01",28
"2017-08-02",31
"2017-08-03",30
"2017-08-04",21
"2017-08-05",37
"2017-08-06",36
"2017-08-07",27
"2017-08-08",29
"2017-08-09",29
"2017-08-10",27
"2017-08-11",37
"2017-08-12",34
"2017-08-13",49
"2017-08-14",47
"2017-08-15",41
"2017-08-16",34
"2017-08-17",46
"2017-08-18",43
"2017-08-19",53
"2017-08-20",60
"2017-08-21",44
"2017-08-22",52
"2017-08-23",58
"2017-08-24",49
"2017-08-25",53
"2017-08-26",55
"2017-08-27",48
"2017-08-28",41
"2017-08-29",37
"2017-08-30",32
"2017-08-31",45
"2017-09-01",40
"2017-09-02",35
"2017-09-03",33
"2017-09-04",35
"2017-09-05",36
"2017-09-06",39
"2017-09-07",36
"2017-09-08",47
"2017-09-09",37
"2017-09-10",43
"2017-09-11",34
"2017-09-12",42
"2017-09-13",29
"2017-09-14",27
"2017-09-15",34
"2017-09-16",27
"2017-09-17",30
"2017-09-18",31
"2017-09-19",44
"2017-09-20",33
"2017-09-21",32
"2017-09-22",33
"2017-09-23",29
"2017-09-24",31
"2017-09-25",46
"2017-09-26",53
"2017-09-27",48
"2017-09-28",40
"2017-09-29",34
"2017-09-30",39
"2017-10-01",53
"2017-10-02",48
"2017-10-03",45
"2017-10-04",32
"2017-10-05",48
"2017-10-06",58
"2017-10-07",49
"2017-10-08",68
"2017-10-09",66
"2017-10-10",54
"2017-10-11",51
"2017-10-12",40
"2017-10-13",35
"2017-10-14",42
"2017-10-15",61
"2017-10-16",41
"2017-10-17",42
"2017-10-18",41
"2017-10-19",38
"2017-10-20",49
"2017-10-21",46
"2017-10-22",44
"2017-10-23",46
"2017-10-24",38
"2017-10-25",39
"2017-10-26",36
"2017-10-27",26
"2017-10-28",35
"2017-10-29",42
"2017-10-30",33
"2017-10-31",26
"2017-11-01",43
"2017-11-02",36
"2017-11-03",29
"2017-11-04",24
"2017-11-05",34
"2017-11-06",27
"2017-11-07",32
"2017-11-08",31
"2017-11-09",53
"2017-11-10",49
"2017-11-11",46
"2017-11-12",36
"2017-11-13",38
"2017-11-14",44
"2017-11-15",32
"2017-11-16",30
"2017-11-17",30
"2017-11-18",28
"2017-11-19",34
"2017-11-20",32
"2017-11-21",35
"2017-11-22",34
"2017-11-23",39
"2017-11-24",38
"2017-11-25",27
"2017-11-26",35
"2017-11-27",35
"2017-11-28",31
"2017-11-29",33
"2017-11-30",32
"2017-12-01",31
"2017-12-02",34
"2017-12-03",46
"2017-12-04",41
"2017-12-05",41
"2017-12-06",36
"2017-12-07",33
"2017-12-08",32
"2017-12-09",41
"2017-12-10",53
"2017-12-11",44
"2017-12-12",38
"2017-12-13",42
"2017-12-14",39
"2017-12-15",40
"2017-12-16",41
"2017-12-17",53
"2017-12-18",41
"2017-12-19",40
"2017-12-20",32
"2017-12-21",49
"2017-12-22",30
"2017-12-23",41
"2017-12-24",33
"2017-12-25",39
"2017-12-26",39
"2017-12-27",39
"2017-12-28",30
"2017-12-29",29
"2017-12-30",24
"2017-12-31",30
"2018-01-01",40
"2018-01-02",29
"2018-01-03",38
"2018-01-04",36
"2018-01-05",41
"2018-01-06",42
"2018-01-07",41
"2018-01-08",32
"2018-01-09",40
"2018-01-10",35
"2018-01-11",40
"2018-01-12",29
"2018-01-13",31
"2018-01-14",37
"2018-01-15",40
"2018-01-16",41
"2018-01-17",33
"2018-01-18",29
"2018-01-19",30
"2018-01-20",26
"2018-01-21",39
"2018-01-22",35
"2018-01-23",29
"2018-01-24",35
"2018-01-25",34
"2018-01-26",26
"2018-01-27",38
"2018-01-28",36
"2018-01-29",43
"2018-01-30",37
"2018-01-31",44
"2018-02-01",45
"2018-02-02",34
"2018-02-03",27
"2018-02-04",41
"2018-02-05",38
"2018-02-06",36
"2018-02-07",37
"2018-02-08",33
"2018-02-09",53
"2018-02-10",58
"2018-02-11",50
"2018-02-12",51
"2018-02-13",51
"2018-02-14",48
"2018-02-15",52
"2018-02-16",72
"2018-02-17",79
"2018-02-18",100
"2018-02-19",96
"2018-02-20",80
"2018-02-21",64
"2018-02-22",73
"2018-02-23",45
"2018-02-24",50
"2018-02-25",67
"2018-02-26",58
"2018-02-27",66
"2018-02-28",48
"2018-03-01",60
"2018-03-02",47
"2018-03-03",51
"2018-03-04",57
"2018-03-05",42
"2018-03-06",56
"2018-03-07",46
"2018-03-08",46
"2018-03-09",35
"2018-03-10",58
"2018-03-11",56
"2018-03-12",44
"2018-03-13",35
"2018-03-14",35
"2018-03-15",40
"2018-03-16",36
"2018-03-17",34
"2018-03-18",44
"2018-03-19",39
"2018-03-20",31
"2018-03-21",37
"2018-03-22",34
"2018-03-23",27
"2018-03-24",37
"2018-03-25",45
"2018-03-26",34
"2018-03-27",27
"2018-03-28",31
"2018-03-29",27
"2018-03-30",31
"2018-03-31",30
"2018-04-01",37
"2018-04-02",26
"2018-04-03",29
"2018-04-04",30
"2018-04-05",36
"2018-04-06",34
"2018-04-07",28
"2018-04-08",29
"2018-04-09",29
"2018-04-10",28
"2018-04-11",35
"2018-04-12",49
"2018-04-13",27
"2018-04-14",35
"2018-04-15",41
"2018-04-16",39
"2018-04-17",32
"2018-04-18",40
"2018-04-19",38
