네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","립밤"
"2017-08-01",11
"2017-08-02",13
"2017-08-03",8
"2017-08-04",6
"2017-08-05",8
"2017-08-06",7
"2017-08-07",8
"2017-08-08",13
"2017-08-09",7
"2017-08-10",10
"2017-08-11",9
"2017-08-12",8
"2017-08-13",12
"2017-08-14",9
"2017-08-15",9
"2017-08-16",12
"2017-08-17",10
"2017-08-18",13
"2017-08-19",11
"2017-08-20",15
"2017-08-21",13
"2017-08-22",17
"2017-08-23",9
"2017-08-24",8
"2017-08-25",13
"2017-08-26",12
"2017-08-27",16
"2017-08-28",16
"2017-08-29",19
"2017-08-30",27
"2017-08-31",27
"2017-09-01",22
"2017-09-02",22
"2017-09-03",30
"2017-09-04",24
"2017-09-05",18
"2017-09-06",20
"2017-09-07",16
"2017-09-08",14
"2017-09-09",15
"2017-09-10",21
"2017-09-11",16
"2017-09-12",16
"2017-09-13",18
"2017-09-14",17
"2017-09-15",19
"2017-09-16",21
"2017-09-17",26
"2017-09-18",34
"2017-09-19",22
"2017-09-20",24
"2017-09-21",24
"2017-09-22",25
"2017-09-23",21
"2017-09-24",25
"2017-09-25",22
"2017-09-26",27
"2017-09-27",21
"2017-09-28",27
"2017-09-29",24
"2017-09-30",32
"2017-10-01",28
"2017-10-02",21
"2017-10-03",24
"2017-10-04",24
"2017-10-05",30
"2017-10-06",30
"2017-10-07",26
"2017-10-08",24
"2017-10-09",24
"2017-10-10",31
"2017-10-11",29
"2017-10-12",38
"2017-10-13",27
"2017-10-14",39
"2017-10-15",50
"2017-10-16",64
"2017-10-17",50
"2017-10-18",45
"2017-10-19",40
"2017-10-20",34
"2017-10-21",35
"2017-10-22",40
"2017-10-23",41
"2017-10-24",51
"2017-10-25",43
"2017-10-26",38
"2017-10-27",31
"2017-10-28",28
"2017-10-29",42
"2017-10-30",48
"2017-10-31",56
"2017-11-01",51
"2017-11-02",54
"2017-11-03",48
"2017-11-04",47
"2017-11-05",68
"2017-11-06",71
"2017-11-07",62
"2017-11-08",50
"2017-11-09",45
"2017-11-10",45
"2017-11-11",49
"2017-11-12",61
"2017-11-13",55
"2017-11-14",51
"2017-11-15",57
"2017-11-16",69
"2017-11-17",67
"2017-11-18",73
"2017-11-19",96
"2017-11-20",100
"2017-11-21",80
"2017-11-22",74
"2017-11-23",82
"2017-11-24",57
"2017-11-25",47
"2017-11-26",74
"2017-11-27",56
"2017-11-28",52
"2017-11-29",54
"2017-11-30",52
"2017-12-01",53
"2017-12-02",61
"2017-12-03",69
"2017-12-04",66
"2017-12-05",63
"2017-12-06",66
"2017-12-07",56
"2017-12-08",53
"2017-12-09",51
"2017-12-10",66
"2017-12-11",67
"2017-12-12",69
"2017-12-13",68
"2017-12-14",73
"2017-12-15",62
"2017-12-16",51
"2017-12-17",72
"2017-12-18",69
"2017-12-19",63
"2017-12-20",53
"2017-12-21",47
"2017-12-22",46
"2017-12-23",43
"2017-12-24",54
"2017-12-25",49
"2017-12-26",48
"2017-12-27",45
"2017-12-28",47
"2017-12-29",40
"2017-12-30",44
"2017-12-31",33
"2018-01-01",46
"2018-01-02",46
"2018-01-03",43
"2018-01-04",42
"2018-01-05",41
"2018-01-06",42
"2018-01-07",55
"2018-01-08",48
"2018-01-09",48
"2018-01-10",43
"2018-01-11",46
"2018-01-12",41
"2018-01-13",31
"2018-01-14",44
"2018-01-15",49
"2018-01-16",37
"2018-01-17",37
"2018-01-18",32
"2018-01-19",30
"2018-01-20",28
"2018-01-21",42
"2018-01-22",38
"2018-01-23",42
"2018-01-24",48
"2018-01-25",44
"2018-01-26",45
"2018-01-27",48
"2018-01-28",53
"2018-01-29",52
"2018-01-30",48
"2018-01-31",57
"2018-02-01",42
"2018-02-02",44
"2018-02-03",36
"2018-02-04",54
"2018-02-05",49
"2018-02-06",57
"2018-02-07",52
"2018-02-08",45
"2018-02-09",37
"2018-02-10",31
"2018-02-11",39
"2018-02-12",33
"2018-02-13",30
"2018-02-14",28
"2018-02-15",20
"2018-02-16",21
"2018-02-17",30
"2018-02-18",37
"2018-02-19",43
"2018-02-20",32
"2018-02-21",32
"2018-02-22",38
"2018-02-23",45
"2018-02-24",37
"2018-02-25",28
"2018-02-26",31
"2018-02-27",35
"2018-02-28",32
"2018-03-01",33
"2018-03-02",24
"2018-03-03",20
"2018-03-04",31
"2018-03-05",27
"2018-03-06",29
"2018-03-07",26
"2018-03-08",28
"2018-03-09",25
"2018-03-10",31
"2018-03-11",29
"2018-03-12",30
"2018-03-13",28
"2018-03-14",27
"2018-03-15",21
"2018-03-16",21
"2018-03-17",18
"2018-03-18",23
"2018-03-19",27
"2018-03-20",20
"2018-03-21",29
"2018-03-22",26
"2018-03-23",24
"2018-03-24",26
"2018-03-25",34
"2018-03-26",24
"2018-03-27",21
"2018-03-28",20
"2018-03-29",15
"2018-03-30",17
"2018-03-31",21
"2018-04-01",30
"2018-04-02",18
"2018-04-03",22
"2018-04-04",18
"2018-04-05",19
"2018-04-06",14
"2018-04-07",20
"2018-04-08",27
"2018-04-09",27
"2018-04-10",27
"2018-04-11",28
"2018-04-12",24
"2018-04-13",21
"2018-04-14",22
"2018-04-15",22
"2018-04-16",22
"2018-04-17",19
"2018-04-18",22
"2018-04-19",20
