네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","클렌징오일"
"2017-08-01",52
"2017-08-02",40
"2017-08-03",43
"2017-08-04",33
"2017-08-05",36
"2017-08-06",51
"2017-08-07",42
"2017-08-08",51
"2017-08-09",57
"2017-08-10",32
"2017-08-11",53
"2017-08-12",33
"2017-08-13",47
"2017-08-14",45
"2017-08-15",57
"2017-08-16",48
"2017-08-17",39
"2017-08-18",39
"2017-08-19",38
"2017-08-20",63
"2017-08-21",55
"2017-08-22",44
"2017-08-23",45
"2017-08-24",37
"2017-08-25",28
"2017-08-26",28
"2017-08-27",41
"2017-08-28",35
"2017-08-29",50
"2017-08-30",39
"2017-08-31",46
"2017-09-01",49
"2017-09-02",42
"2017-09-03",44
"2017-09-04",44
"2017-09-05",49
"2017-09-06",43
"2017-09-07",35
"2017-09-08",34
"2017-09-09",28
"2017-09-10",47
"2017-09-11",38
"2017-09-12",44
"2017-09-13",44
"2017-09-14",42
"2017-09-15",30
"2017-09-16",31
"2017-09-17",44
"2017-09-18",60
"2017-09-19",39
"2017-09-20",43
"2017-09-21",36
"2017-09-22",28
"2017-09-23",29
"2017-09-24",43
"2017-09-25",48
"2017-09-26",55
"2017-09-27",54
"2017-09-28",39
"2017-09-29",31
"2017-09-30",32
"2017-10-01",39
"2017-10-02",27
"2017-10-03",27
"2017-10-04",38
"2017-10-05",35
"2017-10-06",42
"2017-10-07",45
"2017-10-08",63
"2017-10-09",78
"2017-10-10",79
"2017-10-11",79
"2017-10-12",79
"2017-10-13",49
"2017-10-14",58
"2017-10-15",84
"2017-10-16",77
"2017-10-17",79
"2017-10-18",76
"2017-10-19",64
"2017-10-20",56
"2017-10-21",52
"2017-10-22",76
"2017-10-23",73
"2017-10-24",88
"2017-10-25",77
"2017-10-26",60
"2017-10-27",47
"2017-10-28",50
"2017-10-29",67
"2017-10-30",78
"2017-10-31",72
"2017-11-01",69
"2017-11-02",69
"2017-11-03",59
"2017-11-04",58
"2017-11-05",71
"2017-11-06",85
"2017-11-07",79
"2017-11-08",86
"2017-11-09",67
"2017-11-10",58
"2017-11-11",53
"2017-11-12",72
"2017-11-13",85
"2017-11-14",78
"2017-11-15",70
"2017-11-16",80
"2017-11-17",60
"2017-11-18",49
"2017-11-19",64
"2017-11-20",83
"2017-11-21",70
"2017-11-22",62
"2017-11-23",61
"2017-11-24",51
"2017-11-25",59
"2017-11-26",55
"2017-11-27",76
"2017-11-28",65
"2017-11-29",65
"2017-11-30",59
"2017-12-01",60
"2017-12-02",53
"2017-12-03",77
"2017-12-04",75
"2017-12-05",75
"2017-12-06",68
"2017-12-07",66
"2017-12-08",56
"2017-12-09",58
"2017-12-10",67
"2017-12-11",86
"2017-12-12",79
"2017-12-13",57
"2017-12-14",70
"2017-12-15",55
"2017-12-16",54
"2017-12-17",69
"2017-12-18",69
"2017-12-19",67
"2017-12-20",65
"2017-12-21",64
"2017-12-22",46
"2017-12-23",36
"2017-12-24",59
"2017-12-25",72
"2017-12-26",60
"2017-12-27",66
"2017-12-28",68
"2017-12-29",45
"2017-12-30",46
"2017-12-31",49
"2018-01-01",73
"2018-01-02",99
"2018-01-03",87
"2018-01-04",80
"2018-01-05",59
"2018-01-06",75
"2018-01-07",94
"2018-01-08",91
"2018-01-09",94
"2018-01-10",100
"2018-01-11",79
"2018-01-12",59
"2018-01-13",55
"2018-01-14",77
"2018-01-15",83
"2018-01-16",84
"2018-01-17",79
"2018-01-18",81
"2018-01-19",68
"2018-01-20",66
"2018-01-21",73
"2018-01-22",87
"2018-01-23",72
"2018-01-24",72
"2018-01-25",60
"2018-01-26",63
"2018-01-27",58
"2018-01-28",89
"2018-01-29",76
"2018-01-30",76
"2018-01-31",73
"2018-02-01",85
"2018-02-02",65
"2018-02-03",58
"2018-02-04",78
"2018-02-05",86
"2018-02-06",77
"2018-02-07",83
"2018-02-08",75
"2018-02-09",74
"2018-02-10",60
"2018-02-11",61
"2018-02-12",53
"2018-02-13",45
"2018-02-14",29
"2018-02-15",38
"2018-02-16",39
"2018-02-17",43
"2018-02-18",73
"2018-02-19",83
"2018-02-20",72
"2018-02-21",85
"2018-02-22",66
"2018-02-23",56
"2018-02-24",58
"2018-02-25",89
"2018-02-26",85
"2018-02-27",77
"2018-02-28",77
"2018-03-01",75
"2018-03-02",60
"2018-03-03",68
"2018-03-04",73
"2018-03-05",70
"2018-03-06",64
"2018-03-07",63
"2018-03-08",72
"2018-03-09",52
"2018-03-10",54
"2018-03-11",72
"2018-03-12",71
"2018-03-13",65
"2018-03-14",67
"2018-03-15",64
"2018-03-16",61
"2018-03-17",50
"2018-03-18",81
"2018-03-19",71
"2018-03-20",62
"2018-03-21",68
"2018-03-22",74
"2018-03-23",59
"2018-03-24",63
"2018-03-25",75
"2018-03-26",61
"2018-03-27",74
"2018-03-28",70
"2018-03-29",63
"2018-03-30",49
"2018-03-31",54
"2018-04-01",87
"2018-04-02",77
"2018-04-03",75
"2018-04-04",63
"2018-04-05",62
"2018-04-06",57
"2018-04-07",49
"2018-04-08",68
"2018-04-09",79
"2018-04-10",92
"2018-04-11",79
"2018-04-12",70
"2018-04-13",54
"2018-04-14",64
"2018-04-15",80
"2018-04-16",85
"2018-04-17",81
"2018-04-18",81
"2018-04-19",71
