네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키스미마스카라"
"2017-08-01",31
"2017-08-02",37
"2017-08-03",33
"2017-08-04",27
"2017-08-05",27
"2017-08-06",26
"2017-08-07",33
"2017-08-08",29
"2017-08-09",27
"2017-08-10",26
"2017-08-11",20
"2017-08-12",17
"2017-08-13",17
"2017-08-14",27
"2017-08-15",22
"2017-08-16",30
"2017-08-17",36
"2017-08-18",29
"2017-08-19",20
"2017-08-20",32
"2017-08-21",33
"2017-08-22",28
"2017-08-23",28
"2017-08-24",30
"2017-08-25",27
"2017-08-26",33
"2017-08-27",32
"2017-08-28",37
"2017-08-29",37
"2017-08-30",29
"2017-08-31",25
"2017-09-01",18
"2017-09-02",18
"2017-09-03",17
"2017-09-04",29
"2017-09-05",19
"2017-09-06",29
"2017-09-07",23
"2017-09-08",10
"2017-09-09",23
"2017-09-10",21
"2017-09-11",20
"2017-09-12",28
"2017-09-13",27
"2017-09-14",16
"2017-09-15",24
"2017-09-16",21
"2017-09-17",29
"2017-09-18",27
"2017-09-19",25
"2017-09-20",32
"2017-09-21",26
"2017-09-22",18
"2017-09-23",29
"2017-09-24",29
"2017-09-25",46
"2017-09-26",38
"2017-09-27",39
"2017-09-28",37
"2017-09-29",21
"2017-09-30",27
"2017-10-01",23
"2017-10-02",18
"2017-10-03",17
"2017-10-04",19
"2017-10-05",22
"2017-10-06",26
"2017-10-07",35
"2017-10-08",39
"2017-10-09",45
"2017-10-10",60
"2017-10-11",52
"2017-10-12",41
"2017-10-13",42
"2017-10-14",37
"2017-10-15",54
"2017-10-16",50
"2017-10-17",50
"2017-10-18",50
"2017-10-19",47
"2017-10-20",28
"2017-10-21",37
"2017-10-22",35
"2017-10-23",44
"2017-10-24",36
"2017-10-25",51
"2017-10-26",51
"2017-10-27",29
"2017-10-28",27
"2017-10-29",27
"2017-10-30",58
"2017-10-31",50
"2017-11-01",59
"2017-11-02",50
"2017-11-03",52
"2017-11-04",47
"2017-11-05",58
"2017-11-06",65
"2017-11-07",79
"2017-11-08",58
"2017-11-09",43
"2017-11-10",46
"2017-11-11",41
"2017-11-12",50
"2017-11-13",69
"2017-11-14",59
"2017-11-15",50
"2017-11-16",70
"2017-11-17",49
"2017-11-18",31
"2017-11-19",49
"2017-11-20",55
"2017-11-21",50
"2017-11-22",46
"2017-11-23",47
"2017-11-24",47
"2017-11-25",42
"2017-11-26",41
"2017-11-27",65
"2017-11-28",59
"2017-11-29",49
"2017-11-30",43
"2017-12-01",49
"2017-12-02",36
"2017-12-03",48
"2017-12-04",57
"2017-12-05",55
"2017-12-06",51
"2017-12-07",44
"2017-12-08",43
"2017-12-09",44
"2017-12-10",49
"2017-12-11",65
"2017-12-12",52
"2017-12-13",58
"2017-12-14",43
"2017-12-15",38
"2017-12-16",38
"2017-12-17",53
"2017-12-18",58
"2017-12-19",43
"2017-12-20",73
"2017-12-21",49
"2017-12-22",33
"2017-12-23",34
"2017-12-24",32
"2017-12-25",32
"2017-12-26",35
"2017-12-27",37
"2017-12-28",40
"2017-12-29",29
"2017-12-30",33
"2017-12-31",34
"2018-01-01",43
"2018-01-02",50
"2018-01-03",54
"2018-01-04",53
"2018-01-05",62
"2018-01-06",68
"2018-01-07",70
"2018-01-08",85
"2018-01-09",79
"2018-01-10",72
"2018-01-11",79
"2018-01-12",70
"2018-01-13",59
"2018-01-14",60
"2018-01-15",67
"2018-01-16",55
"2018-01-17",63
"2018-01-18",81
"2018-01-19",56
"2018-01-20",46
"2018-01-21",44
"2018-01-22",80
"2018-01-23",73
"2018-01-24",64
"2018-01-25",73
"2018-01-26",66
"2018-01-27",63
"2018-01-28",68
"2018-01-29",90
"2018-01-30",83
"2018-01-31",95
"2018-02-01",69
"2018-02-02",57
"2018-02-03",63
"2018-02-04",66
"2018-02-05",65
"2018-02-06",74
"2018-02-07",90
"2018-02-08",75
"2018-02-09",54
"2018-02-10",43
"2018-02-11",73
"2018-02-12",57
"2018-02-13",39
"2018-02-14",34
"2018-02-15",37
"2018-02-16",39
"2018-02-17",60
"2018-02-18",73
"2018-02-19",93
"2018-02-20",100
"2018-02-21",91
"2018-02-22",93
"2018-02-23",64
"2018-02-24",53
"2018-02-25",93
"2018-02-26",87
"2018-02-27",77
"2018-02-28",86
"2018-03-01",85
"2018-03-02",78
"2018-03-03",67
"2018-03-04",70
"2018-03-05",74
"2018-03-06",68
"2018-03-07",72
"2018-03-08",62
"2018-03-09",65
"2018-03-10",49
"2018-03-11",70
"2018-03-12",70
"2018-03-13",57
"2018-03-14",51
"2018-03-15",60
"2018-03-16",54
"2018-03-17",43
"2018-03-18",51
"2018-03-19",67
"2018-03-20",66
"2018-03-21",62
"2018-03-22",48
"2018-03-23",41
"2018-03-24",49
"2018-03-25",67
"2018-03-26",64
"2018-03-27",73
"2018-03-28",51
"2018-03-29",42
"2018-03-30",47
"2018-03-31",37
"2018-04-01",63
"2018-04-02",63
"2018-04-03",65
"2018-04-04",62
"2018-04-05",51
"2018-04-06",37
"2018-04-07",38
"2018-04-08",50
"2018-04-09",68
"2018-04-10",48
"2018-04-11",61
"2018-04-12",57
"2018-04-13",41
"2018-04-14",44
"2018-04-15",50
"2018-04-16",65
"2018-04-17",64
"2018-04-18",49
"2018-04-19",47
