네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","설화수기초세트"
"2017-08-01",20
"2017-08-02",18
"2017-08-03",17
"2017-08-04",16
"2017-08-05",12
"2017-08-06",12
"2017-08-07",21
"2017-08-08",20
"2017-08-09",18
"2017-08-10",19
"2017-08-11",15
"2017-08-12",14
"2017-08-13",16
"2017-08-14",22
"2017-08-15",20
"2017-08-16",18
"2017-08-17",18
"2017-08-18",16
"2017-08-19",14
"2017-08-20",18
"2017-08-21",17
"2017-08-22",21
"2017-08-23",18
"2017-08-24",14
"2017-08-25",18
"2017-08-26",14
"2017-08-27",20
"2017-08-28",20
"2017-08-29",21
"2017-08-30",26
"2017-08-31",24
"2017-09-01",28
"2017-09-02",28
"2017-09-03",24
"2017-09-04",30
"2017-09-05",32
"2017-09-06",20
"2017-09-07",22
"2017-09-08",29
"2017-09-09",23
"2017-09-10",28
"2017-09-11",32
"2017-09-12",40
"2017-09-13",40
"2017-09-14",35
"2017-09-15",30
"2017-09-16",28
"2017-09-17",31
"2017-09-18",37
"2017-09-19",44
"2017-09-20",41
"2017-09-21",35
"2017-09-22",36
"2017-09-23",33
"2017-09-24",43
"2017-09-25",54
"2017-09-26",50
"2017-09-27",46
"2017-09-28",32
"2017-09-29",20
"2017-09-30",20
"2017-10-01",21
"2017-10-02",17
"2017-10-03",18
"2017-10-04",25
"2017-10-05",25
"2017-10-06",30
"2017-10-07",31
"2017-10-08",28
"2017-10-09",31
"2017-10-10",38
"2017-10-11",32
"2017-10-12",23
"2017-10-13",28
"2017-10-14",18
"2017-10-15",25
"2017-10-16",42
"2017-10-17",25
"2017-10-18",31
"2017-10-19",31
"2017-10-20",28
"2017-10-21",19
"2017-10-22",24
"2017-10-23",43
"2017-10-24",32
"2017-10-25",28
"2017-10-26",27
"2017-10-27",20
"2017-10-28",18
"2017-10-29",25
"2017-10-30",28
"2017-10-31",30
"2017-11-01",48
"2017-11-02",26
"2017-11-03",27
"2017-11-04",20
"2017-11-05",22
"2017-11-06",27
"2017-11-07",25
"2017-11-08",28
"2017-11-09",26
"2017-11-10",22
"2017-11-11",16
"2017-11-12",23
"2017-11-13",23
"2017-11-14",31
"2017-11-15",25
"2017-11-16",23
"2017-11-17",23
"2017-11-18",23
"2017-11-19",29
"2017-11-20",34
"2017-11-21",30
"2017-11-22",33
"2017-11-23",29
"2017-11-24",24
"2017-11-25",20
"2017-11-26",29
"2017-11-27",46
"2017-11-28",44
"2017-11-29",36
"2017-11-30",42
"2017-12-01",27
"2017-12-02",26
"2017-12-03",38
"2017-12-04",41
"2017-12-05",39
"2017-12-06",35
"2017-12-07",36
"2017-12-08",39
"2017-12-09",25
"2017-12-10",27
"2017-12-11",36
"2017-12-12",59
"2017-12-13",38
"2017-12-14",29
"2017-12-15",27
"2017-12-16",47
"2017-12-17",37
"2017-12-18",36
"2017-12-19",44
"2017-12-20",30
"2017-12-21",31
"2017-12-22",35
"2017-12-23",34
"2017-12-24",27
"2017-12-25",33
"2017-12-26",33
"2017-12-27",33
"2017-12-28",27
"2017-12-29",23
"2017-12-30",26
"2017-12-31",24
"2018-01-01",39
"2018-01-02",59
"2018-01-03",41
"2018-01-04",50
"2018-01-05",39
"2018-01-06",27
"2018-01-07",29
"2018-01-08",40
"2018-01-09",35
"2018-01-10",44
"2018-01-11",47
"2018-01-12",35
"2018-01-13",33
"2018-01-14",37
"2018-01-15",59
"2018-01-16",38
"2018-01-17",37
"2018-01-18",25
"2018-01-19",26
"2018-01-20",32
"2018-01-21",34
"2018-01-22",58
"2018-01-23",41
"2018-01-24",34
"2018-01-25",34
"2018-01-26",41
"2018-01-27",28
"2018-01-28",40
"2018-01-29",47
"2018-01-30",51
"2018-01-31",54
"2018-02-01",60
"2018-02-02",51
"2018-02-03",49
"2018-02-04",64
"2018-02-05",100
"2018-02-06",74
"2018-02-07",64
"2018-02-08",62
"2018-02-09",52
"2018-02-10",35
"2018-02-11",36
"2018-02-12",52
"2018-02-13",43
"2018-02-14",33
"2018-02-15",27
"2018-02-16",27
"2018-02-17",28
"2018-02-18",37
"2018-02-19",41
"2018-02-20",46
"2018-02-21",27
"2018-02-22",46
"2018-02-23",26
"2018-02-24",23
"2018-02-25",18
"2018-02-26",37
"2018-02-27",25
"2018-02-28",22
"2018-03-01",30
"2018-03-02",25
"2018-03-03",25
"2018-03-04",26
"2018-03-05",36
"2018-03-06",32
"2018-03-07",36
"2018-03-08",28
"2018-03-09",15
"2018-03-10",21
"2018-03-11",22
"2018-03-12",29
"2018-03-13",37
"2018-03-14",31
"2018-03-15",28
"2018-03-16",19
"2018-03-17",16
"2018-03-18",26
"2018-03-19",37
"2018-03-20",25
"2018-03-21",24
"2018-03-22",26
"2018-03-23",30
"2018-03-24",18
"2018-03-25",27
"2018-03-26",34
"2018-03-27",23
"2018-03-28",19
"2018-03-29",22
"2018-03-30",22
"2018-03-31",17
"2018-04-01",23
"2018-04-02",39
"2018-04-03",33
"2018-04-04",30
"2018-04-05",29
"2018-04-06",26
"2018-04-07",21
"2018-04-08",24
"2018-04-09",44
"2018-04-10",31
"2018-04-11",32
"2018-04-12",27
"2018-04-13",23
"2018-04-14",30
"2018-04-15",30
"2018-04-16",45
"2018-04-17",38
"2018-04-18",46
"2018-04-19",31
