네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","정샘물에센셜스킨누더쿠션"
"2017-08-01",4
"2017-08-02",4
"2017-08-03",3
"2017-08-04",3
"2017-08-05",2
"2017-08-06",3
"2017-08-07",6
"2017-08-08",4
"2017-08-09",4
"2017-08-10",6
"2017-08-11",5
"2017-08-12",3
"2017-08-13",5
"2017-08-14",4
"2017-08-15",3
"2017-08-16",4
"2017-08-17",5
"2017-08-18",6
"2017-08-19",5
"2017-08-20",8
"2017-08-21",8
"2017-08-22",8
"2017-08-23",8
"2017-08-24",4
"2017-08-25",3
"2017-08-26",3
"2017-08-27",4
"2017-08-28",4
"2017-08-29",5
"2017-08-30",5
"2017-08-31",6
"2017-09-01",6
"2017-09-02",8
"2017-09-03",13
"2017-09-04",11
"2017-09-05",11
"2017-09-06",9
"2017-09-07",7
"2017-09-08",8
"2017-09-09",15
"2017-09-10",20
"2017-09-11",16
"2017-09-12",14
"2017-09-13",9
"2017-09-14",9
"2017-09-15",9
"2017-09-16",11
"2017-09-17",11
"2017-09-18",8
"2017-09-19",11
"2017-09-20",12
"2017-09-21",9
"2017-09-22",7
"2017-09-23",8
"2017-09-24",8
"2017-09-25",11
"2017-09-26",13
"2017-09-27",12
"2017-09-28",6
"2017-09-29",5
"2017-09-30",5
"2017-10-01",8
"2017-10-02",8
"2017-10-03",7
"2017-10-04",8
"2017-10-05",11
"2017-10-06",12
"2017-10-07",19
"2017-10-08",13
"2017-10-09",19
"2017-10-10",20
"2017-10-11",17
"2017-10-12",19
"2017-10-13",22
"2017-10-14",20
"2017-10-15",21
"2017-10-16",19
"2017-10-17",25
"2017-10-18",23
"2017-10-19",19
"2017-10-20",13
"2017-10-21",15
"2017-10-22",27
"2017-10-23",23
"2017-10-24",22
"2017-10-25",23
"2017-10-26",20
"2017-10-27",19
"2017-10-28",18
"2017-10-29",21
"2017-10-30",17
"2017-10-31",19
"2017-11-01",25
"2017-11-02",27
"2017-11-03",17
"2017-11-04",13
"2017-11-05",22
"2017-11-06",24
"2017-11-07",19
"2017-11-08",19
"2017-11-09",16
"2017-11-10",23
"2017-11-11",32
"2017-11-12",26
"2017-11-13",27
"2017-11-14",24
"2017-11-15",17
"2017-11-16",18
"2017-11-17",18
"2017-11-18",18
"2017-11-19",25
"2017-11-20",25
"2017-11-21",24
"2017-11-22",21
"2017-11-23",21
"2017-11-24",22
"2017-11-25",20
"2017-11-26",25
"2017-11-27",28
"2017-11-28",35
"2017-11-29",25
"2017-11-30",25
"2017-12-01",23
"2017-12-02",15
"2017-12-03",21
"2017-12-04",24
"2017-12-05",27
"2017-12-06",23
"2017-12-07",23
"2017-12-08",18
"2017-12-09",15
"2017-12-10",18
"2017-12-11",25
"2017-12-12",20
"2017-12-13",17
"2017-12-14",19
"2017-12-15",15
"2017-12-16",16
"2017-12-17",22
"2017-12-18",25
"2017-12-19",32
"2017-12-20",46
"2017-12-21",30
"2017-12-22",25
"2017-12-23",32
"2017-12-24",23
"2017-12-25",26
"2017-12-26",29
"2017-12-27",49
"2017-12-28",34
"2017-12-29",30
"2017-12-30",32
"2017-12-31",75
"2018-01-01",54
"2018-01-02",52
"2018-01-03",62
"2018-01-04",50
"2018-01-05",39
"2018-01-06",49
"2018-01-07",43
"2018-01-08",46
"2018-01-09",50
"2018-01-10",51
"2018-01-11",42
"2018-01-12",31
"2018-01-13",31
"2018-01-14",33
"2018-01-15",35
"2018-01-16",45
"2018-01-17",100
"2018-01-18",54
"2018-01-19",44
"2018-01-20",39
"2018-01-21",52
"2018-01-22",52
"2018-01-23",48
"2018-01-24",48
"2018-01-25",38
"2018-01-26",30
"2018-01-27",36
"2018-01-28",53
"2018-01-29",40
"2018-01-30",34
"2018-01-31",34
"2018-02-01",41
"2018-02-02",28
"2018-02-03",28
"2018-02-04",40
"2018-02-05",38
"2018-02-06",27
"2018-02-07",33
"2018-02-08",31
"2018-02-09",22
"2018-02-10",24
"2018-02-11",26
"2018-02-12",28
"2018-02-13",22
"2018-02-14",19
"2018-02-15",22
"2018-02-16",23
"2018-02-17",25
"2018-02-18",38
"2018-02-19",44
"2018-02-20",36
"2018-02-21",34
"2018-02-22",29
"2018-02-23",27
"2018-02-24",25
"2018-02-25",24
"2018-02-26",31
"2018-02-27",31
"2018-02-28",27
"2018-03-01",39
"2018-03-02",29
"2018-03-03",31
"2018-03-04",33
"2018-03-05",33
"2018-03-06",34
"2018-03-07",31
"2018-03-08",38
"2018-03-09",21
"2018-03-10",26
"2018-03-11",26
"2018-03-12",31
"2018-03-13",30
"2018-03-14",30
"2018-03-15",26
"2018-03-16",15
"2018-03-17",16
"2018-03-18",30
"2018-03-19",29
"2018-03-20",18
"2018-03-21",28
"2018-03-22",25
"2018-03-23",24
"2018-03-24",20
"2018-03-25",30
"2018-03-26",27
"2018-03-27",26
"2018-03-28",24
"2018-03-29",24
"2018-03-30",19
"2018-03-31",15
"2018-04-01",22
"2018-04-02",33
"2018-04-03",23
"2018-04-04",28
"2018-04-05",24
"2018-04-06",19
"2018-04-07",15
"2018-04-08",23
"2018-04-09",22
"2018-04-10",21
"2018-04-11",18
"2018-04-12",16
"2018-04-13",14
"2018-04-14",12
"2018-04-15",17
"2018-04-16",18
"2018-04-17",18
"2018-04-18",18
"2018-04-19",16
