네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","바디워시"
"2017-08-01",64
"2017-08-02",62
"2017-08-03",58
"2017-08-04",49
"2017-08-05",51
"2017-08-06",67
"2017-08-07",77
"2017-08-08",80
"2017-08-09",61
"2017-08-10",59
"2017-08-11",52
"2017-08-12",36
"2017-08-13",69
"2017-08-14",68
"2017-08-15",100
"2017-08-16",68
"2017-08-17",67
"2017-08-18",69
"2017-08-19",51
"2017-08-20",67
"2017-08-21",93
"2017-08-22",64
"2017-08-23",66
"2017-08-24",58
"2017-08-25",49
"2017-08-26",37
"2017-08-27",62
"2017-08-28",55
"2017-08-29",59
"2017-08-30",57
"2017-08-31",53
"2017-09-01",45
"2017-09-02",34
"2017-09-03",52
"2017-09-04",59
"2017-09-05",57
"2017-09-06",54
"2017-09-07",55
"2017-09-08",29
"2017-09-09",36
"2017-09-10",57
"2017-09-11",61
"2017-09-12",52
"2017-09-13",49
"2017-09-14",41
"2017-09-15",41
"2017-09-16",34
"2017-09-17",62
"2017-09-18",54
"2017-09-19",50
"2017-09-20",43
"2017-09-21",37
"2017-09-22",27
"2017-09-23",24
"2017-09-24",37
"2017-09-25",49
"2017-09-26",51
"2017-09-27",43
"2017-09-28",27
"2017-09-29",24
"2017-09-30",21
"2017-10-01",19
"2017-10-02",22
"2017-10-03",17
"2017-10-04",21
"2017-10-05",30
"2017-10-06",33
"2017-10-07",37
"2017-10-08",53
"2017-10-09",79
"2017-10-10",82
"2017-10-11",75
"2017-10-12",51
"2017-10-13",45
"2017-10-14",40
"2017-10-15",53
"2017-10-16",64
"2017-10-17",66
"2017-10-18",66
"2017-10-19",49
"2017-10-20",39
"2017-10-21",38
"2017-10-22",60
"2017-10-23",63
"2017-10-24",64
"2017-10-25",64
"2017-10-26",57
"2017-10-27",54
"2017-10-28",46
"2017-10-29",52
"2017-10-30",61
"2017-10-31",63
"2017-11-01",59
"2017-11-02",65
"2017-11-03",40
"2017-11-04",42
"2017-11-05",60
"2017-11-06",64
"2017-11-07",63
"2017-11-08",57
"2017-11-09",63
"2017-11-10",50
"2017-11-11",46
"2017-11-12",56
"2017-11-13",68
"2017-11-14",54
"2017-11-15",61
"2017-11-16",53
"2017-11-17",40
"2017-11-18",46
"2017-11-19",54
"2017-11-20",72
"2017-11-21",71
"2017-11-22",49
"2017-11-23",50
"2017-11-24",42
"2017-11-25",42
"2017-11-26",58
"2017-11-27",77
"2017-11-28",70
"2017-11-29",59
"2017-11-30",53
"2017-12-01",56
"2017-12-02",71
"2017-12-03",67
"2017-12-04",61
"2017-12-05",65
"2017-12-06",67
"2017-12-07",60
"2017-12-08",39
"2017-12-09",43
"2017-12-10",65
"2017-12-11",67
"2017-12-12",72
"2017-12-13",54
"2017-12-14",52
"2017-12-15",40
"2017-12-16",48
"2017-12-17",61
"2017-12-18",69
"2017-12-19",60
"2017-12-20",63
"2017-12-21",51
"2017-12-22",34
"2017-12-23",42
"2017-12-24",37
"2017-12-25",59
"2017-12-26",72
"2017-12-27",59
"2017-12-28",47
"2017-12-29",46
"2017-12-30",42
"2017-12-31",40
"2018-01-01",67
"2018-01-02",78
"2018-01-03",75
"2018-01-04",67
"2018-01-05",56
"2018-01-06",40
"2018-01-07",72
"2018-01-08",87
"2018-01-09",78
"2018-01-10",76
"2018-01-11",55
"2018-01-12",48
"2018-01-13",50
"2018-01-14",74
"2018-01-15",71
"2018-01-16",88
"2018-01-17",73
"2018-01-18",76
"2018-01-19",57
"2018-01-20",61
"2018-01-21",76
"2018-01-22",82
"2018-01-23",75
"2018-01-24",66
"2018-01-25",72
"2018-01-26",54
"2018-01-27",51
"2018-01-28",67
"2018-01-29",64
"2018-01-30",69
"2018-01-31",70
"2018-02-01",69
"2018-02-02",67
"2018-02-03",50
"2018-02-04",73
"2018-02-05",73
"2018-02-06",71
"2018-02-07",64
"2018-02-08",52
"2018-02-09",38
"2018-02-10",38
"2018-02-11",64
"2018-02-12",45
"2018-02-13",33
"2018-02-14",26
"2018-02-15",20
"2018-02-16",27
"2018-02-17",44
"2018-02-18",74
"2018-02-19",83
"2018-02-20",76
"2018-02-21",84
"2018-02-22",88
"2018-02-23",58
"2018-02-24",52
"2018-02-25",72
"2018-02-26",77
"2018-02-27",76
"2018-02-28",62
"2018-03-01",64
"2018-03-02",57
"2018-03-03",60
"2018-03-04",79
"2018-03-05",87
"2018-03-06",60
"2018-03-07",61
"2018-03-08",46
"2018-03-09",37
"2018-03-10",49
"2018-03-11",72
"2018-03-12",59
"2018-03-13",64
"2018-03-14",56
"2018-03-15",61
"2018-03-16",47
"2018-03-17",40
"2018-03-18",61
"2018-03-19",75
"2018-03-20",76
"2018-03-21",56
"2018-03-22",53
"2018-03-23",51
"2018-03-24",48
"2018-03-25",75
"2018-03-26",65
"2018-03-27",57
"2018-03-28",59
"2018-03-29",48
"2018-03-30",43
"2018-03-31",40
"2018-04-01",60
"2018-04-02",79
"2018-04-03",81
"2018-04-04",70
"2018-04-05",62
"2018-04-06",51
"2018-04-07",41
"2018-04-08",55
"2018-04-09",58
"2018-04-10",81
"2018-04-11",66
"2018-04-12",67
"2018-04-13",52
"2018-04-14",58
"2018-04-15",63
"2018-04-16",74
"2018-04-17",79
"2018-04-18",64
"2018-04-19",57
