네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","존바바토스아티산"
"2017-08-01",24
"2017-08-02",25
"2017-08-03",22
"2017-08-04",21
"2017-08-05",19
"2017-08-06",33
"2017-08-07",33
"2017-08-08",31
"2017-08-09",30
"2017-08-10",31
"2017-08-11",27
"2017-08-12",20
"2017-08-13",26
"2017-08-14",26
"2017-08-15",25
"2017-08-16",28
"2017-08-17",26
"2017-08-18",22
"2017-08-19",14
"2017-08-20",23
"2017-08-21",28
"2017-08-22",29
"2017-08-23",28
"2017-08-24",25
"2017-08-25",19
"2017-08-26",20
"2017-08-27",27
"2017-08-28",26
"2017-08-29",34
"2017-08-30",27
"2017-08-31",28
"2017-09-01",30
"2017-09-02",27
"2017-09-03",32
"2017-09-04",36
"2017-09-05",40
"2017-09-06",43
"2017-09-07",32
"2017-09-08",28
"2017-09-09",34
"2017-09-10",32
"2017-09-11",38
"2017-09-12",35
"2017-09-13",29
"2017-09-14",24
"2017-09-15",24
"2017-09-16",25
"2017-09-17",26
"2017-09-18",31
"2017-09-19",33
"2017-09-20",28
"2017-09-21",30
"2017-09-22",24
"2017-09-23",19
"2017-09-24",25
"2017-09-25",38
"2017-09-26",35
"2017-09-27",39
"2017-09-28",24
"2017-09-29",23
"2017-09-30",18
"2017-10-01",16
"2017-10-02",23
"2017-10-03",20
"2017-10-04",20
"2017-10-05",26
"2017-10-06",35
"2017-10-07",21
"2017-10-08",28
"2017-10-09",32
"2017-10-10",52
"2017-10-11",39
"2017-10-12",55
"2017-10-13",26
"2017-10-14",19
"2017-10-15",27
"2017-10-16",46
"2017-10-17",37
"2017-10-18",33
"2017-10-19",30
"2017-10-20",22
"2017-10-21",19
"2017-10-22",27
"2017-10-23",30
"2017-10-24",33
"2017-10-25",31
"2017-10-26",32
"2017-10-27",38
"2017-10-28",22
"2017-10-29",28
"2017-10-30",34
"2017-10-31",43
"2017-11-01",32
"2017-11-02",100
"2017-11-03",33
"2017-11-04",22
"2017-11-05",29
"2017-11-06",54
"2017-11-07",78
"2017-11-08",39
"2017-11-09",98
"2017-11-10",32
"2017-11-11",25
"2017-11-12",31
"2017-11-13",37
"2017-11-14",34
"2017-11-15",27
"2017-11-16",29
"2017-11-17",24
"2017-11-18",18
"2017-11-19",27
"2017-11-20",34
"2017-11-21",39
"2017-11-22",24
"2017-11-23",29
"2017-11-24",24
"2017-11-25",21
"2017-11-26",26
"2017-11-27",31
"2017-11-28",30
"2017-11-29",33
"2017-11-30",33
"2017-12-01",22
"2017-12-02",24
"2017-12-03",29
"2017-12-04",41
"2017-12-05",35
"2017-12-06",39
"2017-12-07",31
"2017-12-08",31
"2017-12-09",27
"2017-12-10",37
"2017-12-11",59
"2017-12-12",52
"2017-12-13",33
"2017-12-14",32
"2017-12-15",30
"2017-12-16",35
"2017-12-17",41
"2017-12-18",50
"2017-12-19",47
"2017-12-20",55
"2017-12-21",37
"2017-12-22",26
"2017-12-23",31
"2017-12-24",22
"2017-12-25",35
"2017-12-26",34
"2017-12-27",22
"2017-12-28",23
"2017-12-29",22
"2017-12-30",18
"2017-12-31",18
"2018-01-01",28
"2018-01-02",36
"2018-01-03",38
"2018-01-04",37
"2018-01-05",24
"2018-01-06",22
"2018-01-07",22
"2018-01-08",41
"2018-01-09",30
"2018-01-10",32
"2018-01-11",32
"2018-01-12",26
"2018-01-13",23
"2018-01-14",36
"2018-01-15",37
"2018-01-16",48
"2018-01-17",32
"2018-01-18",35
"2018-01-19",31
"2018-01-20",29
"2018-01-21",36
"2018-01-22",35
"2018-01-23",32
"2018-01-24",27
"2018-01-25",26
"2018-01-26",22
"2018-01-27",22
"2018-01-28",30
"2018-01-29",38
"2018-01-30",31
"2018-01-31",37
"2018-02-01",43
"2018-02-02",37
"2018-02-03",39
"2018-02-04",51
"2018-02-05",51
"2018-02-06",62
"2018-02-07",55
"2018-02-08",61
"2018-02-09",55
"2018-02-10",59
"2018-02-11",46
"2018-02-12",56
"2018-02-13",39
"2018-02-14",48
"2018-02-15",32
"2018-02-16",23
"2018-02-17",32
"2018-02-18",42
"2018-02-19",48
"2018-02-20",43
"2018-02-21",38
"2018-02-22",37
"2018-02-23",30
"2018-02-24",30
"2018-02-25",36
"2018-02-26",44
"2018-02-27",40
"2018-02-28",41
"2018-03-01",35
"2018-03-02",32
"2018-03-03",27
"2018-03-04",32
"2018-03-05",30
"2018-03-06",38
"2018-03-07",33
"2018-03-08",30
"2018-03-09",21
"2018-03-10",23
"2018-03-11",27
"2018-03-12",33
"2018-03-13",27
"2018-03-14",29
"2018-03-15",22
"2018-03-16",20
"2018-03-17",17
"2018-03-18",28
"2018-03-19",37
"2018-03-20",34
"2018-03-21",26
"2018-03-22",28
"2018-03-23",21
"2018-03-24",23
"2018-03-25",28
"2018-03-26",26
"2018-03-27",30
"2018-03-28",23
"2018-03-29",25
"2018-03-30",22
"2018-03-31",20
"2018-04-01",28
"2018-04-02",34
"2018-04-03",27
"2018-04-04",30
"2018-04-05",28
"2018-04-06",29
"2018-04-07",26
"2018-04-08",28
"2018-04-09",27
"2018-04-10",34
"2018-04-11",30
"2018-04-12",27
"2018-04-13",20
"2018-04-14",21
"2018-04-15",29
"2018-04-16",42
"2018-04-17",30
"2018-04-18",27
"2018-04-19",28
